新成安乐宫（唐·陈子良）　　五言律诗　押东韵	春色照兰宫，秦女坐窗中。柳叶来眉上，桃花落脸红。拂尘开扇匣，卷帐却薰笼。衫薄偏憎日，裙轻更畏风。
夏晚寻于政世置酒赋韵（唐·陈子良）　　五言律诗　押侵韵	聊从嘉遁所，酌醴共抽簪。以兹山水地，留连风月心。长榆落照尽，高柳暮蝉吟。一返桃源路，别后难追寻。
入蜀秋夜宿江渚（唐·陈子良）　　五言律诗　押尤韵	我行逢日暮，弭棹独维舟。水雾一边起，风林两岸秋。山阴黑断碛，月影素寒流。故乡千里外，何以慰羁愁。
赋得妓（唐·陈子良）　　五言律诗　押微韵	金谷多欢宴，佳丽正芳菲。流霞席上满，回雪掌中飞。明月临歌扇，行云接舞衣。何必桃将李，别有待①春晖。
詶萧侍中春园听妓（唐·陈子良）　　五言律诗　押微韵	微雨散芳菲，中园照落晖。红树摇①歌扇，绿珠飘②舞衣。繁弦调对酒，杂引动思归。愁人当此夕，羞见落花飞。
于塞北春日思归（唐·陈子良）　　七言律诗　押侵韵	我家吴会青山远，他乡关塞白云深。为许羁愁长下泪，那堪春色更伤心。惊鸟屡飞恒失侣，落花一去不归林。如何此日嗟迟暮，悲来还作白头吟。
送别（唐·陈子良）　　五言绝句　押微韵	落叶聚还散，征禽去不归。以我穷途泣，沾君出塞衣。
七夕看新妇隔巷停车（唐·陈子良）　　五言绝句　押支韵	隔巷遥停幰，非复为来迟。只言更尚浅，未是渡河时。
咏春雪（唐·陈子良）　　五言绝句　押东韵	光映妆楼月，花承歌扇风。欲妒梅将柳，故落早春中①。
游侠篇（唐·陈子良）　　五言排律　押微韵	洛阳丽春色，游侠骋轻肥。水逐车轮转，尘随马足飞。云影遥临盖，花气近薰衣。东郊斗鸡罢，南皮射雉归。日暮河桥上，扬鞭惜晚晖。
春晚看群公朝还人为八韵（唐·陈子良）　　五言排律　押灰韵	游子惜春暮，策杖出蒿莱。正直康庄晚，群公谒帝回。履度南宫至，车从北阙来。珂影傍明月，笳声动落梅。迎风采旄转，照日绶花开。红尘掩鹤盖，翠柳拂龙媒。绮云临舞阁，丹霞薄吹台。轻肥宁所羡，未若反山隈。
赞德上越国公杨素（唐·陈子良）　　押庚韵	君侯称上宰，命世挺才英。本超骐骥足，复蕴风云情。摅藻掞锦绮，育德润瑶琼。已踵四知举，非无三杰名。济世同舟楫，匡政本阿衡。雍容入青锁，肃穆侍丹楹。桂宫擅鸣佩，槐路独飞缨。高门罗虎戟，绮阁丽彫甍。金樽酌湛湛，歌扇掩盈盈。匈奴轶燕蓟，烽火照幽并。天子名薄伐，受脤事专征。七德播雄略，十万骋行兵。雁行蔽虏甸，鱼贯出长城。交河方饮马，瀚海盛扬旌。拔剑倚天外，蒙犀辉日精。弯弧穿伏石，挥戈斩大鲸。鼓鼙朝作气，刁斗夜偏鸣。六郡多壮士，三边岂足平。岭云朝合阵，山月夜临营。胡尘暗马色，芳树动笳声。关云未尽散，塞雾常自生。川长蔓草绿，峰迥杂花明。小人愧王氏，雕文惭马卿。滥此叨书记，何以谢过荣。高山徒仰止，终是恨才轻。
乐府杂曲 鼓吹曲辞 上之回（唐·陈子良）　　押灰韵	承平重游乐，诏跸上之回。属车响流水，清笳转落梅。岭云盖道转，岩花映绶开。下辇便高宴，何如在瑶台。
