谢和崇阳旧诗（宋·任希夷）　　五言律诗　押先韵	若效飞凫客，多惭击剑仙。闲吟五字句，近得故人编。方愧雷门鼓，俄挥草圣烟。侍郎诗思敏，百斛似泉渊。
与毛茶干赵司法游东湖四首（宋·任希夷）　　五言律诗　押寒韵	野迥尘襟豁，湖平望眼宽。山蹊新雪润，木叶半霜乾。岁晚成三友，清游集四难。乐哉忘尔汝，臭味本芝兰。
湖口县斋即事（宋·任希夷）　　五言律诗　押麻韵	门直九江水，人闲五柳家。晓看沙上雾，暮对淮南霞。几席堕山影，轩窗临浪花。悠悠寄食客，坐愁霜鬓华①。
请御明堂斋殿（宋·任希夷）　　七言律诗	肇举明禋预戒期，请临斋殿御帘帷。廊头万旅皆花帽，殿下千官尽绛衣。玉辂时严三岁礼，庆霄遥望五云飞。小臣头白供笾豆，亲见虞廷览德辉。
元日班贺（宋·任希夷）　　七言律诗　押虞韵	百华照晓岁更初，黼座当中列辟趋。舞蹈三回严赞唱，虔恭百拜听传呼。麾旗簇仗朝仪肃，韎韐班庭远意孚。元会五逢叨侍从，欲陈嘉颂愧才粗。
上寿大宴二首（宋·任希夷）　　七言律诗　押萧韵	昔年玉瑞下层霄，今日瑶池预祝尧。负扆当阳天子坐，称觞颛面宰臣朝。九重陛下听鸣跸，万岁山前看舞韶。持橐五人沾镐饮，独怜蒲柳望秋凋。
赴御宴（宋·任希夷）　　七言律诗　押庚韵	新元六日三陪宴，黼扆前头御榻横。紫袖旁阑宣乐节，金貂当殿赐杯行。四夷来致三呼祝，万舞驩同九奏声。谬忝词臣无补报，丰年惟愿稼如京。
宿直（宋·任希夷）　　七言律诗　押庚韵	金门攒点鼓初停，禁柝犹传第四声。不省人閒一回夜，如何天上两般更。书生持被苦无寐，圣主求衣率未明。惭愧论思真忝窃，何时边徼尽销兵。
郊祀庆成三首（宋·任希夷）　　七言律诗　押阳韵	紫坛熙事乐高张，天胙皇家福简穰。六奏声中来象物，万灯明处望龙章。星珠月璧清宵丽，风马云车碧落翔。屡有诏书崇简约，只将诚意动苍苍。
明堂庆成五首（宋·任希夷）　　七言律诗　押微韵	国重明禋预戒期，九筵宏敞肃宗祈。阶前万旅皆花帽，庭下千官尽绛衣。三日斋心严殿宿，一声清跸响帘帏。圣躬靡恃皇天眷，夙夜寅恭但畏威。
接盏天兴殿（宋·任希夷）　　七言律诗　押先韵	遥望黄袍赭色鲜，微臣先已立钧天。褥旁跪接金杯酒，衣上浓熏宝篆烟。阊阖才回红曲盖，琐扉亟骤锦鞍鞯。今晨特为君王霁，羽仗方停又沛然。
摄鼓院（宋·任希夷）　　七言律诗　押东韵	分曹正在壁门东，兼假犹惭两院通。谏鼓无声谁讼枉，匦函有疏为平戎。柳分御路晓烟碧，花绕宫墙初日红。退食心閒了无补，西风吹影鬓如蓬。
礼闱奏号毕呈天官侍郎（宋·任希夷）　　七言律诗　押真韵	奉诏程文阅四旬，纷来万卷日横陈。怜渠灯火勤三岁，恼我帘帷度一春。胜日莺花辜乐事，它年桃李识何人。遥知吏部寻春遍，红紫芳菲得句新。
太乙宫迎驾（宋·任希夷）　　七言律诗　押文韵	侵夕犹烦雨洒尘，銮舆才御霁光分。龙颜喜动双黄伞，花帽装成五采云。清跸一声天下喜，箫韶九奏世閒闻。侍臣扈从沾天宴，亲举尧觞更一欣。
海棠（宋·任希夷）　　五言绝句　押删韵	山碧花尤好，径长人自閒。锦围春照耀，红雨暮阑斑。
竹 其二（宋·任希夷）　　五言绝句　押侵韵	挺挺霜中节，沉沉日下阴。试裁苍玉管，吹作紫鸾音①。
宴玉津园江楼七首（宋·任希夷）　　五言绝句　押歌韵	风静潮痕减，江空夕照多。星星波上艇，隐隐岸边莎。
小亭（宋·任希夷）　　七言绝句　押先韵	幅巾清晓入西园，春动园林物物鲜。却想小亭才日出，海棠花发麝香眠①。
花（宋·任希夷）　　七言绝句　押元韵	今年轻作东风客，愁紫愁红满故园。邂逅妖娆成一笑，待归端有几枝存。
牡丹（宋·任希夷）　　七言绝句　押真韵	沉香亭北露华春，曾识霓裳第一人。千载不归罗袜梦，绿枝红艳只如新。
