禁中庭树（宋·刘筠）　　五言律诗　押阳韵	羽叶笼盘石，虬枝拂画堂。夜声含素瑟，晓影逼扶桑。好借鸾为瑞，无容麝损香。宁知千载后，祇美召公棠。
槿花（宋·刘筠）　　五言律诗　押萧韵	紫雾函灯檠，彤霞逼绮寮。吴宫何薄命，楚梦不终朝。半被曾羞问，邻墙却悔招。莫移风雨怨，更嘱鹊为桥。
夕阳（宋·刘筠）　　五言律诗　押寒韵	夕阳堪极目，况复近秋残。塞迥横烟紫，江清照叶丹。伍胥嗟路远，潘子念行难。更有芜城恨，城空逼夜寒。
霜月（宋·刘筠）　　五言律诗　押寒韵	霜晓月仍残，桐疏凤更单。已伤春寂寂，还踏夜漫漫。冻合仙槎路，薰馀侍史兰。那知荀奉倩，体薄不胜寒。
即日（宋·刘筠）　　五言律诗　押阳韵	地僻无车辙，心灰欲坐忘。疾雷徒破柱，幽草不迎凉。日烈蝉遗蜕，花休蜜满房。覆觞知已久，宁有次公狂。
偶怀（宋·刘筠）　　五言律诗　押尤韵	不才甘客难，多病岂旬休。可待乘轩宠，终惭舐痔求。渚兰薰露夕，江橘富霜秋。养拙宁无地，千波一叶舟。
直夜二首 其一（宋·刘筠）　　五言律诗　押侵韵	琼蕊滋晨饮，青缣拥夜衾。万年宫省树，五色帝家禽。诏草裁蕂①角，薰炉烬水沉。浴堂还独对，鸣佩有清音。
奉和圣制上元（宋·刘筠）　　五言律诗　押微韵	瑞荚盈端月，神灯灿宝辉。执金停徼骑，坐狄敞朝扉。激徵清歌歇，晞阳醉客归。可封家自乐，不独在轻肥①。
奉和御制中和节（宋·刘筠）　　五言律诗　押庚韵	载阳临仲序，初吉协嘉名。国授民时正，天资植物荣。草薰翔泽雉，风暖度林莺。尧思存稽古，洋洋播颂声①。
奉和圣制寒食五七言二首 其一（宋·刘筠）　　五言律诗　押鱼韵	垣禁申严日，馀萌尽达初。踏青游骑远，浮枣禊波舒。饧市喧箫吹，鸡场隘酒车。俗康春更乐，绮榭焕晴虚。
中秋馆宿（宋·刘筠）　　五言律诗　押阳韵	馀欢惊社过，独直奈宵长。月向蓬山满，风来桂殿凉。睡轻同警鹤，吟苦伴啼螀。耿耿迷遥思，残星下建章①。
送张无梦归天台（宋·刘筠）　　五言律诗　押萧韵	抗节在丛霄，谈玄屡对尧。风回列子驭，霞建赤城标。白石泥丹灶，红泉涤酒瓢。天章耀行色，鹤态自逍遥。
送僧归护国寺（宋·刘筠）　　五言律诗　押先韵	暂寄长安寺，时闻宝偈传。南归宗派盛，外护帝臣贤。桂色陵庵雪，芝腴助茗泉。离怀杳何许，凤刹际霞天①。
奉和真宗御制后苑杂花海棠（宋·刘筠）　　五言律诗　押萧韵	迟景烘初绽，鲜风惜未飘。蝶魂迷密径，莺语近新条。芳蕙薰宫锦，丹浆晕海绡。惟时奉宸唱，赓奉愧咎繇①。
南朝（宋·刘筠）　　七言律诗　押庚韵	华林酒满劝长星，青漆楼高未称情。麝壁灯回偏照昼①，雀航波涨欲浮城。钟声但恐严妆晚，衣带那知敌国轻。千古风流佳丽地，尽供哀思与兰成。
休沐端居有怀希圣少卿学士（宋·刘筠）　　七言律诗　押阳韵	䡾䡾风檐乳燕翔，浴兰衣绤簟流黄。云容倏变千峰险，草色相沿百带长。旋制紫荷供橐笔，暗移神蔡忍支床。思君祇欲倾家酿，待警同谁赋柏梁。
代意（宋·刘筠）　　七言律诗　押东韵	华池阿阁不相容，浊水清尘恨莫穷。明月自新班女扇，行云无柰楚王风。乳莺啼晓销兰炷，媚蝶伤春失蕙丛。纵使多才如子建，祇能援笔赋惊鸿。
汉武（宋·刘筠）　　七言律诗　押歌韵	汉武高台切绛河，半涵非雾郁嵯峨。桑田欲看他年变，瓠①子先成此日歌。夏鼎几迁空象物，秦桥未就已沉波。相如作赋徒能讽，却助飘飘逸气多。
馆中新蝉（宋·刘筠）　　七言律诗　押支韵	庭中嘉树发华滋，可要螳螂共此时。翼薄乍舒宫女鬓，蜕轻全解羽人尸。风来玉女乌先转，露下金茎鹤未知。日永声长兼夜思，肯容潘岳到秋悲。
鹤（宋·刘筠）　　七言律诗　押庚韵	碧树阴浓扣砌平，华亭归梦晓频惊。仙经若未标奇相，琴操何因寄恨声。养气自怜鸡善胜，全身却许雁能鸣。芝田玉水春云伴，可得乘轩是所荣。
