送馀姚知县陈最寺丞（宋·叶清臣）　　五言律诗　押鱼韵	旧见恩初渥，新游刃久虚。官曹鹊树下，民版象耕馀。山迥人逢麂，江清客厌鱼。送君多怅望，云外是亲居①。
送梵才大师归天台（宋·叶清臣）　　五言律诗　押微韵	江水望不极，杨花江面飞。春风自无定，远客又言归。景胜诗逾老，心冥语亦稀。从来林下意，为谢北山薇①。
得请宣城府（宋·叶清臣）　　五言律诗　押尤韵	理剧惭心计，承颜念远游。时情自轻外，天幸复临州。霜馆残梨晓，风淮水桂秋。官勤诗意减，先愧谢公楼①。
先照寺（宋·叶清臣）　　七言律诗　押冬韵	一径凉飙响万松，青霞紫雾秘灵峰。寒生列洞①前溪雨，声到诸天午夜钟。仙顶月高犹驾鹤，阴潭云起旧降龙。出尘境界无多地，已上金庭第七重。
国清寺（宋·叶清臣）　　七言绝句　押庚韵	绀宇初成国已清，千灵慈护属仁明。山僧了得真空观，好续炉薰傲太平。
大慈寺（宋·叶清臣）　　七言绝句　押庚韵	佛陇光沉茂草平，树林①犹作诵经声。一心三观休分别，秋净山高海月明②。
题石桥（宋·叶清臣）　　押寘韵	觉雄示入灭，尊者俱授记。现彼声闻身，护此浊恶地。他方自感通，此地真灵秘。一路指桥西，谁明导师意①。
游摄山栖霞寺（宋·叶清臣）	仙峰多灵草，近在东北维。僧绍昔舍宅，总持尝作碑。高风一缅邈，废宇亦陵迟。清泉漱白石，霏雾蒙紫芝。松萝日萧寂，猿鸟自追随。游人鲜或诣，隐者谁与期。支郎笃清尚，千里孤云飞。览古玩青简，寻幽穷翠微。顾予荷戟守，出宿简书违。凭师访陈迹，剩作摄山诗①。
东池诗（宋·叶清臣）　　押药韵	园林日将暮，缅怀池上酌。轻烟隐孤屿，绿水摇虚阁。人闲山鸟静，风馀岸花落。稚子晚荡归，扁舟自飘泊①。
累日前伏蒙袖书临访并小文编及明堂图披玩寻绎弥增景服偶书二百四十言以伸谢臆伏惟采览（宋·叶清臣）	进士不读书，明经不根义。诟病君子儒，于今作文弊。礼部右词赋，诸生窃科第。从道不违人，追趋斯近利。李生何为者，力学务逊志。羞耻事章句，深湛刺经艺。常惟天子贵，无大明堂位。邈焉三代风，鲜矣百世继。去圣日逾远，攻端非其致。公玉既妄图，戴德亦缪记。汉唐盛容典，规画不足示。其间区区者，何暇盛德事。确论无甚高，阔讲寖而坠。披文会今古，援笔考同异。面势本周官，纤悉探吕氏。俛拾林甫长，仰擿康成盩。昭发老生矇，冥符作者意。圣期接千统，缛礼恢万祀。无文既已秩，同节此云备。宁当总章法，未揽云台议。废兴有时合，聪明自民视。成厦繄众材，至理岂一士。南阙朝奏书，中朝夕鸣佩。行矣无自遗，日中今可熭①。
江南好/忆江南（宋·叶清臣）　　押删韵	丞相有才裨造化，圣皇宽诏养疏顽。赢取十年闲。
贺圣朝 留别（宋·叶清臣）	满斟绿醑留君住。莫匆匆归去。三分春色二分愁，更一分风雨。花开花谢、都来几许。且高歌休诉。不知来岁牡丹时，再相逢何处。
