谩书（宋·周邦彦）　　五言律诗　押庚韵	窗影蝇飞见，帘花日照成。汗馀胡粉薄，香度越罗轻。书叶蚕头密，调笙凤咮鸣。情来愁不语，极目雁南征。
天启惠酥（宋·周邦彦）　　七言律诗　押虞韵	金城良牸不当车，特为人间作好酥。馀湩尚供肥犊子，小奁先入太官厨。邺中鹿尾空名目，吴地莼羹谩僻迂。欲比君家好兄弟，不知谁可作醍醐。
楚村道中 其一（宋·周邦彦）　　七言律诗	林栖野啄散鸦群，极目风霾乱日曛。短麦离离乾忆雨，远峰黯黯细输云。愁逢杂路寻车辙，赖有高林出酒巾。辄得问津凡父老，不应看客废锄耘。
元夕（宋·周邦彦）　　七言律诗　押真韵	翠华临阙巷无人，曼衍鱼龙触眼新。羽蝶低昂万人醉，木山綵错九城春。闲坊厌听粻䊗鼓，晓漏犹飞轣辘尘。谁解招邀狂处士，掺挝惊倒坐中宾①。
寿宋守（宋·周邦彦）　　七言律诗　押删韵	珥笔曾趋殿两间，冰姿清彻照朝班。民讴在处思廉范，谏疏何人忆贾山。竹简翻经秋闭阁，玉棋欢客夜留关。直须剩饮邦人寿，天上如今欲赐环①。
寿陈运干（宋·周邦彦）　　七言律诗　押覃韵	节过中和日有三，台星一点下江南。因仍睿算疏恩宠，多少春风在笑谈。颂祝椒花随以柏，恩袍欺草绿于蓝。儿孙更祝无穷寿，齐指庄椿愿与参①。
曝日（宋·周邦彦）　　五言绝句　押虞韵	冬曦如村酿，奇温止须臾。行行正须此，恋恋忽已无①。
竹城（宋·周邦彦）　　五言绝句	竹城何檀栾，属翠分雉堞。王封尽四堑，同有岁寒节①。
春帖子（宋·周邦彦）　　七言绝句　押寒韵	鸾辂青旂殿阁宽，祠官奠璧下春坛。晓开鱼钥朝衣集，綵胜飘扬百辟冠①。
春雨（宋·周邦彦）　　七言绝句　押尤韵	耕人扶耒语林丘，花外时时落一鸥。欲验春来多少雨，野塘漫水可回舟①。
凤凰台（宋·周邦彦）　　七言绝句　押麻韵	危台飘尽碧梧花，胜地凄凉属梵家。凤入紫云招不得，木鱼堂殿下饥鸦①。
谩成 其二（宋·周邦彦）　　七言绝句　押麻韵	河声连底卷黄沙，回首方惊去国赊。唯有客情无尽处，暗随春水涨桃花。
谩书 其三（宋·周邦彦）　　七言绝句　押麻韵	丽日烘帘幔影斜，酒馀春思托韶华。高楼不隔东南望，苦雾游云莫谩遮。
偶成（宋·周邦彦）　　七言绝句　押支韵	窗风猎猎举绡衣，睡美唯应枕簟知。忽有黄鹂深树语，宛如春尽绿阴时①。
二月十四日至越州置酒泛湖欲往诸刹风作不能前（宋·周邦彦）　　七言绝句　押尤韵	青山定厌俗人游，萝帐云屏到即收。更欲凌波访幽刹，疾风已②戒早回舟①。
投子山（宋·周邦彦）	缅怀鲁将军，兵败携部曲。来投衲子衣，解甲饭戎菽。谁令名此山，异代有馀辱①。
赠常熟贺公叔隐士（宋·周邦彦）	怀珠崖不枯，韫玉山有辉。隐翳不言德，人自知神奇。公叔季贞后，不为世网縻。浮沉里闾间，身晦道同违。弓旌搜俊良，圭衡略无遗。难偕集雍鹭，宁作曳尾龟。慈仁盖天性，惠泽施鳏嫠。倒囷食流冗，死葬病有医。人今泣遗爱，若见岘首碑。肯构有材子，修德亦庶几。高风自兹显，岂病知者希①。
仙杏山（宋·周邦彦）	仙人药光明夜烛，种杏碧山如种玉。春风裂石①凤收花，赤颊离离照山谷。卿云承日作阴润，猛虎守山防采斸。高真筐篚入时贡，拜望通明荐新熟。珠旒颔首一破颜，气压蟠桃羞若木。自从移植近星榆，山水无光灵鬼哭。长松枯倒流液尽，棹赖牵藤多朴樕。我思百年访灵异，羽褐虽存言语俗。本非民土宰官身，欲断人间烟火谷。行寻幽洞觅丹砂，傥见臞仙骑白鹿。便应执帚洗仙坛，不用纤纤扫尘竹②。
过左伯桃羊角哀墓（宋·周邦彦）	古交久沦丧，末世尤反覆。谷风歌焚轮，黄鸟譬伐木。永怀羊与左，重义踰血属。客行干楚王，冬雪无斗粟。倾粮活一士，誓不俱死辱。风云为惨变，鸟兽同踯躅。角哀哭前途，伯桃槁空谷。终乘大夫车，千骑下棺椟。子长何所疑，旧史刊不录。独行贵苟难，义侠轻杀戮。虽云匪中制，要可兴薄俗。荒坟邻万鬼，溘死皆碌碌。何事荆将军，操戈相窘逐①。
薛侯马（宋·周邦彦）	薛侯俊健如生猱，不识中原生土豪。蛇矛丈八常在手，骆马蕃鞍云锦袍。往属嫖姚探虎穴，狐鸣萧萧风立发。短鞯淋血斩将归，夜斲坚冰濡马渴。中都久住武城坊，屋头养骆如养羊。枯萁不饱篱壁尽，狭巷怒蹄盆盎伤。只今栖栖守环堵，五月樵风吹宿莽。千金夜出酬市儿，客帐昼眠听戏鼓。边人视死亦寻常，笑里辞家登战场。铨劳定次屈壮士，两眼荧荧收泪光。齿坚食肉何曾老，骑马身轻飞一鸟。焉知不将万人行，横槊秋风贺兰道。
