小园（宋·易士达）　　五言律诗　押麻韵	小园名涉趣，趣不在园花。乐水撑孤艇，爱山乘小车。浅深随种艺，红紫任交加。胸次藩篱剖，八荒同一家①。
山居自道（宋·易士达）　　五言律诗　押鱼韵	山林清富贵，何在玉堂居。诗积囊中锦，家多几上书。碑文堪帐壁，薇蕨当盘蔬。安分箪瓢乐，虽贫绰有馀①。
游东湖（宋·易士达）　　七言律诗　押麻韵	好是东湖近物华，微吟去路亦何赊。两堤柳影澹台墓，十里荷香孺子家。淡淡烟笼僧寺静，飘飘风飐酒旗斜。重来徙倚阑干久，天末残阳噪暮鸦①。
和梅花韵（宋·易士达）　　七言律诗　押肴韵	生爱梅兄是淡交，每相逢处更吟嘲。暗香疏影名千古，冷艳孤光雪几梢。东阁诗才犹腹稿，西湖人物尚衡茅。风前有恨曾知否，不得随泥上燕巢①。
花朝燃灯（宋·易士达）　　七言律诗　押先韵	唤起园丁葺小园，喜逢社友访林泉。莺花世界春方半，灯火楼台月正圆。闲不待偷皆乐地，趣随所得到吟边。丁宁莫刬庭前翠，留与游人伴醉眠①。
题云石耕夫道院（宋·易士达）　　七言律诗	片云块石一耕夫，耕得情田数亩馀。不用木金为耒耜，祇将纸墨当菑畬。塞茅心撤犹芟草，翻水文成若决渠。三岁一番供贡籍，平时不用纳王租①。
苔钱（宋·易士达）　　七言律诗　押庚韵	造化为炉巧冶成，儿童指似五铢轻。买春无算空流地，润屋何心望满籯。祇恐痴人思宿债，枉教处士负贪声。汉皇不吝铜山赐，羞杀申屠恶妒生①。
和朋溪探梅韵（宋·易士达）　　七言律诗　押虞韵	锦囊分付与溪奴，江路寻幽属野夫。暖信已传春到未，暗香还动月明无。妆因底事偏清雅，态为何人转瘠癯。惹起诗魂禁不得，恍然飞越亦忘吾①。
春闺（宋·易士达）　　七言律诗　押东韵	燕语莺啼触拨侬，院深懒傍绣帘栊。一年春事半晴雨，万里云帆几夕风。柳欠温存牵怨恨，萍无拘束自西东。此情莫向桃花说，说与桃花也落红①。
和李润父资圣寺壁间韵（宋·易士达）　　七言律诗　押侵韵	古径萦迂碧藓深，瘦藤得得叩丛林。雪浮茗枕陪僧话，风度松窗奏法音。断壁剔虫伤古画，拂尘挥兔断清吟。留衣尚有重来约，一笑何妨载酒寻①。
和宦叔送往临川（宋·易士达）　　七言律诗　押灰韵	征衣何惜染尘埃，款段搜诗亦快哉。百里亭长与亭短，一天云合复云开。倾茅柴酒和馀粕，弹接䍦巾去薄塺。不是剡溪清兴尽，声声杜宇劝归来①。
梅花（宋·易士达）　　七言绝句　押灰韵	搜诗索笑傍檐梅，冷蕊疏花带雪开。莫把枯梢容易折，留看笑②影上窗来①。
杜鹃花（宋·易士达）　　七言绝句　押歌韵	轻剪梢头薄薄罗，子规湔血恨难磨。园林莫道香飞尽，嫩绿枝头不用多①。
虞美人草（宋·易士达）　　七言绝句　押青韵	霸业将衰汉业兴，佳人玉帐醉难醒。可怜血染原头草，直至如今舞不停①。
闲步西湖（宋·易士达）　　七言绝句　押麻韵	西湖风景绝繁华，两岸荷香十万家。除却孤山林处士，后来谁肯种梅花①。
题邓氏船斋（宋·易士达）　　七言绝句　押阳韵	平生心乐水云乡，卜得书窗瞰碧塘。自有济川勋业在，不劳两柁与风樯①。
化人台（宋·易士达）　　七言绝句　押真韵	富贵功名一窖尘，白头人送黑头人。若教总识玄玄理，劫火何曾焚法身①。
莫愁村（宋·易士达）　　七言绝句　押尤韵	千古行人说莫愁，荒村依旧石城头。不知艇子今何在，汉水滔滔空自流①。
夜宿合塘铺借壁间韵（宋·易士达）　　七言绝句　押寒韵	对床风雨话辛酸，客枕凄凉寐不安。须信在家贫亦乐，征衫赢得带围宽。
草屦（宋·易士达）　　七言绝句　押庚韵	崎岖只惯识羁情，足下忙穿子更轻。近世宦途如纸薄，当知险处不须行①。
