叠綵岩登越亭（宋·朱晞颜）　　五言律诗　押东韵	不到越亭久，榴花今已红。江流寒泻玉，山色翠浮空。百粤薰风里，三湘夕照中。行藏仗忠信，六合本同风。
题大安壁（宋·朱晞颜）　　五言律诗　押侵韵	万里同为客，秋悲未易禁。萍蓬乡国梦，松竹岁寒心。霜叶青红乱，云山紫翠深。何时锦屏下，樽酒话尘襟。
烟波阁（宋·朱晞颜）　　五言律诗　押阳韵	小立烟波上，江湖兴未忘。败梧风舞叶，寒菊露滋香。目逐去云断，愁随流水长。莼鲈秋正好，飞棹访沧浪①。
朝阳洞（宋·朱晞颜）　　七言律诗　押尤韵	湖上初惊八月秋，岭头又见桂香浮。巾车几忆陶彭泽，竹马多惭郭细侯。未遣灵泉还旧隐，且同岩壑访真游。一枰胜负人何在，试问樵柯已烂否。
游壶天观泛舟过龙隐洞小酌至月上而归（宋·朱晞颜）　　七言律诗　押阳韵	浪道湘南是瘴乡，玉壶银阙四时凉。卧龙不逐①葭灰动，爱日空惊绣缕长。浮蚁且同佳节醉，探梅不作少年狂。暮归惭愧山头月，照我骎骎两鬓霜。
伏波岩（宋·朱晞颜）　　七言律诗　押删韵	天斲神剜不记年，洞中风景异尘寰。江波荡漾青罗带，崖石虚明碧玉环。地接三山真迹在，天连合浦宝珠还。重来恍似乘槎到，惭愧云门夜不关。
弹丸山（宋·朱晞颜）　　七言律诗　押先韵	伤弓枉木漫猜嫌，岩石棱棱弹样圆。雕鹗横空秋凛凛，凫鸥渡水晚翩翩。私心灰冷慵思缴，蹇步尘劳不受鞭。挟弹张弓付年少，归欤趁取菊花天。
洞底石间得枯木一株花叶咸无而枝干峭拔扣之铿然有声因成鄙（原作都，据《粤西金石略》卷一○改）句刻之岩石间（宋·朱晞颜）　　七言律诗　押阳韵	天教海若效珍祥，不与千林春竞芳。掷地遗音清戛玉，凌云直干凛凝霜。谁浮鲸海星槎到，犹带蟾宫月桂香。冶叶浮花①埽除尽，坚高直欲共天长。
假（原作暇，据《粤西金石略》卷一○改）日过龙隐山有以千叶白梅献者辄成鄙句（宋·朱晞颜）　　七言律诗　押蒸韵	素艳重重叠雪轻，先春不怕雪霜凝。人言五岭地皆热，谁折一枝寒欲冰。似笑疏花太孤瘦，故教密叶拥千层。湘南别有新春样，拚醉花前唤不应。
庆元改元寒食日陪都运寺丞游白龙洞时牡丹盛开小酌岩下夕阳西度并辔而归（宋·朱晞颜）　　七言律诗　押删韵	小溪漱碧响潺潺，路入龙宫杳霭间。佳节漫添新白发，故人赖有旧青山。花朝①几共湘南醉，萍迹何年②岭北还。归路连镳红日晚，多惭龙卧白云閒。
石柏（宋·朱晞颜）　　七言律诗　押支韵	海物难穷造化奇，后凋惟有岁寒知。谁将修月黄金斧，斲就凌云紫玉枝。直干岂容尘点涴，灵根偏与石相宜。天然不假栽培力，肯逐春风盛与衰①。
白岳寄怀（宋·朱晞颜）　　七言律诗　押支韵	林间留我住多时，似与烟霞夙有期。野老烹茶来献客，岩猿偷果去呼儿。静思世上千年事，不值山中一局棋。欲说行藏舒卷意，洞天惟有白云知①。
龙隐洞石壁玉立□门虚明目□江流□贯其中上□□□□如印泥然亦异矣暇日携家泛舟来游（宋·朱晞颜）　　七言律诗　押东韵	翠壁峥嵘百仞雄，玉龙飞下水晶宫。禹门激浪纵三级，□□□云仅一弓。银阙交辉天不夜，全鳞倒影水浮空。卷怀霖雨沈潜久，会有惊雷□岁丰①。
龙隐岩（宋·朱晞颜）　　七言绝句　押先韵	圣主龙飞已在天，洞中犹有老龙眠。便须吸尽西江水，霈作商霖大有年。
韶音洞（宋·朱晞颜）　　七言绝句　押阳韵	曾按薰弦天一方，埽除民愠变清凉。遗音凛凛犹闻耳，不独当年味可忘①。
南歌子（宋·朱晞颜）	影落三秋月，寒生六月霜。是谁幻出玉筼筜。乞与一枝和雪、钓漓湘。劲节依琳馆，虚心陋草堂。笔端元自有雌黄。疑是化龙蜚到、葛仙旁。
