递中得先之兄书取邕钦宜柳归约十二月到此年节已近未闻来朝寄奉（宋·李师中）　　五言律诗　押侵韵	我在漓江上，君行瘴海浔。因劳南去梦，暂望北归心。别后年华改，新来雨露深。凭栏望书信，一字抵千金。
题太空子隐居（宋·李师中）　　五言律诗	可道非常道，真空本不空。荒郊自生草，閒地又栽松。无欲更何虑，有为终必穷。风云上天去，老子信犹龙。
留题龙隐岩寺（宋·李师中）　　五言律诗　押灰韵	绝顶神灵宅，危空宝榻开。层□□□□，□德出氛埃。□□□□□，岩光□□来。□□□一息，鸣鸟共徘徊。
自和（宋·李师中）　　五言律诗　押灰韵	翠壁凌云耸，禅□面水开。岩高□□□，地胜隔尘埃。□□檐前□，江□□□来。□□无限景，得意几徘徊。
送桂州安抚余靖侍郎还京（宋·李师中）　　七言律诗　押微韵	诏从东海付南麾，戎乘前驱上将威。异俗已传吾父至，斯文更咏我公归。岁时职贡还朱绂，昼日恩光赐衮衣。昔往今来亦何速，长亭杨柳尚依依。
和李明叔理定道中（宋·李师中）　　七言律诗　押青韵	幽居日日数归程，已写华严两帙经。门外初寒江气白，岭头多雨晓①痕青。曾逢饭颗嘲山笠，应载鸱夷笑井瓶。客土相思空引望，天涯风景似新亭。
送唐介（影印《诗渊》页四三五八下有之贬所三字）进退韵（宋·李师中）　　七言律诗	孤忠①自许众不与，独立敢言人所难。去国一身轻似叶，高名千古重于山。并游英俊颜何厚，未死奸谀骨已寒②。天为吾君扶社稷③，肯教夫子不生还。
天目山（宋·李师中）　　七言律诗　押微韵	坏壁摩娑少旧题，高情应怪赏音稀。烟霞正自无今古，云水从教远是非。丹井金龙藏洞府，杞丛花犬荡霞扉。登临未学神仙事，老树閒看独鸟归①。
唐州太守（宋·李师中）　　七言律诗　押侵韵	时属艰危应有系，天于名教岂无心。大都狂贼终须灭，未杀忠臣祸不深。太尉有灵朱泚败，中丞传旨禄山擒。曾谁鼓舞康州事，儿女常情泪满襟①。
中隐岩 其一（宋·李师中）　　七言律诗　押先韵	访隐寻幽缓著鞭，梅花初试小春天。孤峰上下分三洞，一水萦纡溉万田。好向忙中抛俗事，却来闲处觅神仙。清虚不似人间世，野鹤飞云绕槛前。
偶题（宋·李师中）　　五言绝句　押微韵	燕子知时节，还寻旧宇归。新人方按曲，不许傍帘飞。
过严关有感（宋·李师中）　　七言绝句	大抵孤忠报国难，古今共是一长叹。玉关还路春无绿，定远归来鬓已斑。
龙隐岩（宋·李师中）　　七言绝句　押真韵	轩冕傥来仍假借，功名难立更因循。非才不系苍生望，收取林泉自在身。
赠韩迥（宋·李师中）　　七言绝句	未衰前已得悬车，骨立清风八十馀。松竹最宜贫宅舍，江山遍照白髭须。
客有写真者见予因以三诗赠之 其二（宋·李师中）　　七言绝句　押先韵	文命力能平水土，阿衡功亦格皇天。形容不上麒麟阁，当日君臣任自然。
颍国庞公挽词（宋·李师中）　　七言绝句　押真韵	独立无朋但任真，不持身势掩君亲。若将坤体论臣道，公是朝廷第一人。
麦积山（宋·李师中）　　七言绝句　押删韵	路入青松翠霭间，斜阳倒影入溪湾。此中猿鹤休相笑，谢傅东归自有山。
韩魏公席上为官妓贾爱卿作（宋·李师中）　　七言绝句　押庚韵	愿得貔貅十万兵，犬戎巢穴一时平。归来不用封侯印，只问君王乞爱卿①。
昭陵挽词（宋·李师中）　　七言绝句　押支韵	尧民丧考无生意，杞国忧天有坏时。闻道宗祧归圣嗣，一时收泪贺重熙①。
咏松（宋·李师中）　　七言绝句　押寒韵	半依岩岫倚云端，独立亭亭耐岁寒。一事颇为清节累，秦时曾作大夫官①。
