鹤冲天（宋·杜安世）	清明天气。永日愁如醉。台榭绿阴浓，薰风细。燕子巢方就，盆池小，新荷蔽。恰是逍遥际。单夹衣裳，半栊软玉肌体。石榴美艳，一撮红绡比。窗外数修篁，寒相倚。有个关心处，难相见、空凝睇。行坐深闺里。懒更妆梳，自知新来憔悴。
两同心（宋·杜安世）	巍巍剑外，寒霜覆林枝。望衰柳、尚色依依。暮天静、雁阵高飞。入碧云际。江山秋色，遣客心悲。蜀道嵰崄行迟。瞻京都迢递。听巴峡、数声猿啼。惟独个、未有归计。谩空怅望，每每无言，独对斜晖。
玉阑干（宋·杜安世）	珠帘怕卷春残景。小雨牡丹零欲尽。庭轩悄悄燕高空，风飘絮、绿苔侵径。欲将幽恨传愁信。想后期、无个凭定。几回独睡不思量，还悠悠、梦里寻趁。
浣溪沙（宋·杜安世）	模样偏宜掌上怜。云如双鬓玉如颜。身材轻妙眼儿单。幽会未成双怅望，深情欲诉两艰难。空教魂梦到巫山。
惜春令（宋·杜安世）	春梦无凭犹懒起。银烛尽、画帘低垂。小庭杨柳黄金翠，桃脸两三枝。妆阁慵梳洗。闷无绪、玉箫抛掷。絮飘纷纷人疏远，空对日迟迟。
踏莎行 其二（宋·杜安世）	夜雨朝晴，东风微冷。雕梁燕子闲相并。后园次第数芳菲，千香百艳年年定。步险楼高，人赊途迥。烟芜冉冉斜阳暝。红笺写尽寄无因，想伊不信人成病。
端正好（宋·杜安世）	栏菊愁烟沾秋露。天微冷、双燕辞去。月明空照别离苦。透素光、穿朱户。夜来西风雕寒树。凭阑望、迢遥长路。花笺写就此情绪。特寄传、知何处。
少年游（宋·杜安世）	小轩深院是秋时。风叶堕高枝。疏帘静永，薄帷清夜，暑退觉寒微。凄凉天气离愁意，音书杳难期。多情成病不须医。更憔悴、转寻思。
菩萨蛮（宋·杜安世）	游丝欲坠还重上。春残日永人相望。花共燕争飞。青梅细雨枝。离愁终未解。忘了依前在。拟待不寻思。刚眠梦见伊。
凤衔杯 其一（宋·杜安世）	人生不似月初圆。叹分飞、容易经年。凄惨断云片雨、□□□。□□□、□□□。金钵小，玉槽悭。想至今、谁为相怜。多少旧欢往事、一潸然。空牵惹、病缠绵。
山亭柳（宋·杜安世）	晓来风雨，万花飘落。叹韶光虚过。却芳草萋萋，映楼台、淡烟漠漠。纷纷絮飞院宇，燕子过朱阁。玉容淡妆添寂寞。檀郎孤愿太情薄。数归期，绝信约。暗添春宵恨，平康恣迷欢乐。时时闷饮绿醑，甚转转、思量著。
玉楼春（宋·杜安世）	玉烛光明正旦好。斗柄东回春太早。岭寒犹锁去年梅，江暖新催今岁草。蜀国熙熙冬令杪。更喜寿阳新梦觉。玉杯齐举乐音谐，遥想金阶天仗晓。
合欢带（宋·杜安世）	楼台高下玲珑。斗芳草、绿阴浓。芍药孤栖香艳晚，见樱桃、万颗初红。巢喧乳燕，珠帘镂曳，满户香风。罩纱帏、象床屏枕，昼眠才似朦胧。起来无语更兼慵。念分明、事成空。被你厌厌牵系我，怪纤腰、绣带宽松。春来早是，分飞两处，长恨西东。到如今、扇移明月，簟铺寒浪与谁同。
河满子（宋·杜安世）	细雨裛开红杏，新妆粉面鲜明。东君何事交来早，更无绿叶同荣。独倚青楼吟赏，目前无限轻盈。命薄不依栏槛，或占郊坰。清香繁艳真堪爱，枉教寂寞凋零。相次牡丹芍药，王孙谁道多情。
胡捣练（宋·杜安世）	数枝半敛半开时，洞阁晓、宝妆新注。香格艳姿天赋。甘被群芳妒。狂风横雨且相饶，又恐有、彩云迎去。牵破少年心情，无计为长主。
少年游（宋·杜安世）	小楼归燕又黄昏。寂寞锁高门。轻风细雨，惜花天气，相次过春分。画堂无绪，初燃绛蜡，罗帐掩馀薰。多情不解怨王孙。任薄倖、一从君。
更漏子（宋·杜安世）	雪肌轻，花脸薄。愁困不忺梳掠。眉翠袅，眼波长。偎人言语香。看难厌，怜不足。苦恨别离何速。珠树远，彩鸾孤。今生重见无。
凤栖梧/蝶恋花（宋·杜安世）	别浦迟留恋清浅。菱蔓荷花，尽日妨钩线。向晚澄江静如练。风送归帆飞似箭。鸥鹭相将是家眷。坐对云山，一任炎凉变。定是寰区又清宴。不见龙骧波上战。
凤栖梧/蝶恋花（宋·杜安世）	闲上江楼初雨过。满袖清风，微散谁知我。莲脸佳人颜未破。沙洲两两鸳鸯卧。时有渔歌相应和。叠秀危横，黛拨山千朵。一片凄凉无计那。离愁还有些些个。
凤栖梧/蝶恋花（宋·杜安世）	整顿云鬟初睡起。庭院无风，尽日帘垂地。画阁巢新燕声喜。杨花狂散无拘系。近来早是添憔悴。金缕衣宽，赛过宫腰细。苒苒光阴似流水。春残莺老人千里。
