劫权（宋·杨绘）　　五言律诗　押先韵	对敌常观势，临机便得先。安危心不动，杀活手能专。勿以欺为行，须知劫是权。旁人烂柯看，当局是神仙①。
荷花借字诗（宋·杨绘）　　五言律诗　押歌韵	香艳怜渠好，无端杂芰窠。向来因藕断，特地见丝多。实有终成的，露摇争奈何。深房莲底味，心里苦相和。
中秋月（宋·杨绘）　　五言律诗　押东韵	素月玉寒空，乾坤灏气通。光华一夕满，节候九秋中。万里天衢峻，四方人望同。妖邪无处匿，方显照临功①。
游春（宋·杨绘）　　七言律诗　押先韵	倾城追逐艳阳天，上巳清明节序连。桃李光阴足骀荡，湖山风月更鲜妍。谷中答响飘新曲，波底妆光飏綵船。迟日未西人已醉，绿杨柔弱舞秋千①。
落花（宋·杨绘）　　七言律诗　押阳韵	夜来经雨学啼妆，今日摧红怨夕阳。已落旋随春水急，强留还怯晚风狂。应将别恨凭莺语①，更把归期趁②蝶忙。谁谓多情消不得，梦魂犹惜满栏香③。
诗寄东坡（宋·杨绘）　　七言律诗　押东韵	仙舟游漾霅溪风，三奏琵琶一舰红。闻望喜传新政异，梦魂犹忆旧欢同。二南籍里知谁在，六客堂中已半空。细问人间为宰相，争如愿住水晶宫①。
送淳用长老归邛州（宋·杨绘）　　七言律诗　押灰韵	曾扣禅扉喜接陪，师将境物谕轮回。灯笼不灭心中火，香印空残死后灰。绵邑难留真锡驻，临邛还庆法堂开。临邛绵邑何分别，无去无来无去来①。
凌霄花（宋·杨绘）　　七言绝句　押庚韵	直饶枝干凌霄去，犹有根原与地平。不道花依他树发，强攀红日斗鲜明①。
柳花（宋·杨绘）　　七言绝句　押支韵	春光①未老杨花飞，游子此情伤别离。扳折杨柳②赠离别，骎骎匹马归何时③。
寿山（宋·杨绘）　　七言绝句　押庚韵	寿山北耸侵隋碧，涢水南流接汉清。宋玉阳台犹暮雨，子虚梦泽半春耕①。
醉蓬莱 夏寿太守（宋·杨绘）	对亭台幽雅，水竹清虚，嫩凉轻透。碧沼红蕖，送香风盈袖。白首冯唐，诞辰同庆，上百分仙酎。鳌禁词垣，乌台谏省，昔游俱旧。千里长沙，五年湓浦，近捧丝纶，更藩移守。桂苑馀芳，有孙枝新秀。罗绮雍容，管弦松脆，愿拜延椿寿。岁岁年年，今朝启宴，欢荣良久。
句（宋·杨绘）　　押支韵	高骖黄鹤望天飞，千载谁能继费祎（黄鹤楼）。
