汴中书事三首（宋·汪藻）　　五言律诗　押支韵	永日钩帘坐，乘流颇自怡。手邀飞絮住，目送远花移。官牒吾何有，邮签汝漫知。关心淹速事，无复少年时。
题余氏幽光亭二首（宋·汪藻）　　五言律诗　押青韵	缥缈风烟上，谁栽柏满庭。诸郎浑玉雪，前哲想丹青。举国思人鉴，重泉掩德星。空馀千载事，寒露泣秋萤。
常山道中闻诸将屡捷（宋·汪藻）　　五言律诗　押灰韵	一雨四十日，羲和安在哉。路忧石头滑，云怕天心开。隔水唤舟渡，逢人骑马来。闻言江北好，一笑为传杯。
己酉乱后寄常州使君侄四首（宋·汪藻）　　五言律诗　押微韵	汾水游仍远，瑶池宴未归。航迁群庙主，矢及近臣衣。胡①马窥天堑，边烽断日畿。百年淮海地，回首复成非。
次韵桂林经略李尚书投赠之句三首（宋·汪藻）　　五言律诗　押鱼韵	方隅谋帅重，帝岂贾生疏。绝域须高枕，中朝辍引裾。边城雄鼓角，幕府省文书。暂作骖鸾去，群公叹不如。
次韵蔡少张遣兴四首（宋·汪藻）　　五言律诗　押庚韵	南纪安耕凿，平时不受兵。边陲忘宇覆，江汉忽尘生。潮卷妖星落，春归玉帐明。将军谈笑事，一笴定聊城。
次韵郑固道（原作通，聚珍本作道，卷一有《郑固道累书求寓屋诗走笔封寄》，当作道）侍郎见寄长句二首（宋·汪藻）　　五言律诗　押阳韵	一作班荆别，秋风几度凉。论文隔尊俎，得句梦池塘。岁晚思倾盖，情亲比陟冈。若为生羽翼，千里到君旁。
舟行遣兴五首（宋·汪藻）　　五言律诗　押庚韵	拥衲无馀事，时闻起柁声。水烟犹作暝，霜鹊已嬉晴。淼淼人归路，悠悠岁晚情。秖应江海外，随处著馀生。
过临平二首（宋·汪藻）　　五言律诗　押微韵	一别九霄路，风烟长满衣。已成身老大，无复世轻肥。天阔鸟双下，山寒人独归①。晓来何似雨，春水半岩扉。
天长道中三首（宋·汪藻）　　五言律诗　押真韵	山行逢浅夏，浓绿屡低巾。地冷犹衣裌，村香已食新。菰蒲浑欲老，鱼鸟自相亲。倚杖看孤月，悠悠何处人。
水晶数珠诗（宋·汪藻）　　五言律诗　押侵韵	犹带他山润，来依宴坐深。谁云秋露滴，能节海潮音。积数尘难尽，微穿蚁可寻。但随君语默，用舍我何心。
食虾（宋·汪藻）　　五言律诗　押东韵	久忆南烹好，今朝放箸空。短箱倾碎碧，纤指剥轻红。腰折宜赊死，须长不疗穷。吴儿方献纳，应与䱥鱼同。
山奥寺（宋·汪藻）　　五言律诗　押蒸韵	已怯惊潮渡，还忧复岭登。逢人多问数，投宿只寻僧。野饭农夫怪，山行稚子能。朝来那得尔，前路好①飞腾。
悼往二首（宋·汪藻）　　五言律诗　押阳韵	宿草纵横绿，春归有底忙。百年知有尽，万感要难忘。欲语如他日，犹疑在我旁。人生今至此，不拟惜流光。
起居方舍人挽诗二首（严陵人）（宋·汪藻）　　五言律诗　押真韵	汉殿胪传处，回头四十春。共嗟香案吏，归作钓台人。意气林泉老，名声日月新。贾生方拟召，鵩鸟在承尘。
河中使君莫少卿挽诗二首（宋·汪藻）　　五言律诗　押真韵	表表今词伯，邕邕古德人。翱翔初画省，邂逅老朱轮。阅世深泾渭，传家得凤麟。悬知他日大，时望属平津。
挽毛奉议诗二首（宋·汪藻）　　五言律诗　押文韵	不信儒冠误，长年自濯薰。乡评推秀孝，墨客诵诗文。仕早收朝迹，材终壅上闻。晚全冰壑趣，造物似知君。
致政鲁奉议挽诗二首（宋·汪藻）　　五言律诗　押青韵	泽国今耆旧，于君见典刑。居乡乘款段，生子得宁馨。綵服供春酌，银章慰暮龄。谁知云雾里，忽失少微星。
鲁国太夫人杨氏挽诗三首（宋·汪藻）　　五言律诗　押阳韵	有子升台衮，承颜况日长。鱼轩开大国，鹤发老高堂。忽报栽萱陨，空馀扇枕凉。他年黄阁地，谁举伯仁觞。
隆祐太后挽词二首（宋·汪藻）　　五言律诗　押真韵	庆源由魏国，奉祀及宣仁。盛德仪中壸，私恩绝外亲。长秋期不老，厚夜忽无晨。来岁柔桑绿，谁临茧馆春。
