挽曾东轩二首（宋·王梦应）　　五言律诗　押东韵	健笔千夫畏，长才四海空。飞腾须掌制，危急逐乘骢。国事笺天疏，臣心救日弓。故人牛斗上，相见气如虹。
东归（宋·王梦应）　　五言律诗　押庚韵	一揖①仍为别，他乡复避兵。客随风雨老，春著鼓鼙轻。宇宙关何事，艰危得此生。门前一溪水，几日到江城。
甲申元日（宋·王梦应）　　五言律诗　押微韵	上日仍漂寄，尊前客又非。乡心眠听雨，病骨晚添衣。街鼓春将动，帘灯寒未归。梅花经一雪，几片不曾飞①。
晚望（宋·王梦应）　　七言律诗　押文韵	望尽西南一隙明，荒荒野色弄微醺。青烟白骨行人老，苦竹黄芦细路分。寒雁不来秋似水，故园何处草如云。高怀久为凭阑尽，更遣西风化白纷。
和清明上冢韵（宋·王梦应）　　七言律诗　押庚韵	酒壶花担发双明，陌上携扶笑语声。桑叶影稠春欲暗，楝花寒退雨初晴。宫官记梦曾传烛，□客无诗定罚觥。老影年年霜露感，牛羊踯躅乱孤茔。
呈李书史四首（宋·王梦应）　　七言绝句　押侵韵	林塘万绿压沈沈，云满吟窝足靓深。几朵青山成畏友，一窗白日照初心。
太白仙人下岷峨谣（寿李仁山）（宋·王梦应）　　押歌韵	太白仙人下岷峨，飞凌素烟紫琼珂。天风万里吹银河，手挼瑶草光逶迤。琅琅太清绿云攲，下弄倒影笑羲娥。锦袍淋漓金叵罗，醉围婵娟玉颜酡。金庭昔日乘鸾过，不肯上天著朝靴。下界弱水飞尘多，公为星精辟兵戈。愿见瀛海秋澄波，绿鬓纚纚吞天和，后天不老公所哦①。
摸鱼儿 寿王尉癸未冬至后五日（宋·王梦应）	问谁歌、暗香疏影，此花堪照人世。起持霜月为花寿，天亦愿花千岁。谁有意。著如此人间，更著花如此。高寒洒洒。看浩荡刚风，跨虬飞佩，玉影乱如水。行春处，一笑人间紫翠。纷纷窥此天地。寿如川至。□好是、涧翁兹岁喜。荣沾南儒恩例。捧觞更喜郎君美。任夜来归侍。见说生辰，恰逢本命，寿筵且未。听老聃孙子。祝公耆艾，祝公富贵。
锦堂春/锦堂春慢 寿李仁山（宋·王梦应）	浅帻分秋，凉尊试月，西风未雁犹蝉。看芙蓉影里，绿鬓年年。日上云帆压海，尘清玉马行天。更烟楼凤举，风幕麟游，锦后珠前。绿阴池馆如画，记晴春药径，雨晓芝田。已办十年笑语，小聚云边。舞称香围艳雪，歌迟酒落红船。早群仙归去，柳掖花扶，似雾非烟。
念奴娇（宋·王梦应）	欲霜更雨，记青云篱落，东风前此。帘外客秋人共老，雁与愁飞千里。水郭烟明，竹陂波小，万叶寒声起。凭高那更，九嶷吹尽云气。婉娩空复多情，年年晋梦，花与柴桑是。谁解意消风日晚，短笛孤舟林水。江蟹笼新，露萸斟浅，浇得乡关思。平芜天远，一痕黄抹秋霁。
疏影（宋·王梦应）	瞢腾晓被，听堕冰屋角，晴哢仍未。土湿烟生，庭掩寒青，障泥懒为春试。东风旧与花飞去，料记得、年年沙际。忍落梅、万点苔根，化作一窗离思。犹忆蔫红稚绿，断桥雪未扫，天近春易。老对荒寒，事旧人新，雁后不成情味。人间解有花如海，待一片、不教随水。但玉香、酥影玲珑，逐日暖红云里。
醉太平 送人入湘（宋·王梦应）	寒窗月晴。寒梢露明。一痕归影灯青。又分携短亭。蘅皋佩云。蒸溪酒春。有谁勤说归程。是峰头雁声。
绵（贺抱孙）（宋·王梦应）	绵绵瓜瓞，施于中林。顾于烝尝，匪今斯今。既庶既繁，既多受祉。厥胤维何，宜兄宜弟。兄弟求矣，以燕翼子。子兮子兮，继序其皇之。螟蛉有子，式谷似之。建尔元子，勿替引之。谷旦于差，惠于宗公。工祝致告，神罔时恫。是烝是飨，何天之宠。酒醴维醹，殽核维旅。吹笙鼓篁，和乐且孺。式序在位，以速诸父。天锡公纯嘏，洵美且仁。如南山之寿，展也大成。从以孙子，绳其祖武。自今以始，日就月将。遹观厥成，为龙为光，长发其祥。兄及弟矣，乃生男子。维其有之，是以似之①。
