书院即事（宋·胡宏）　　五言律诗　押齐韵	为无经济学，万里筑幽栖。波涨青冥阔，柳垂春色低。烟花薰小院，风竹掩丹梯。便是神仙宅，世人应未迷。
碧泉独步（宋·胡宏）　　五言律诗　押删韵	淅淅秋风动，前桥晚步还。小鱼冲岸侧，白鸟立溪湾。明月照秋水，淡烟笼远山。此时知造物，怜我一身閒。
双井咏水仙有妃子尘袜盈盈体素倾城之文予作台种此花当天寒风冽草木萎尽而孤根独秀不畏霜雪时有异香来袭襟袖超然意适若与善人君子处而与之俱化乃知双井未尝得水仙真趣也辄成四十字为之刷耻所病词不能达诸君一笑（宋·胡宏）　　五言律诗	万木凋伤后，孤丛嫩碧生。花开飞雪底，香袭冷风行。高并青松操，坚逾翠竹真。挺然凝大节，谁说貌盈盈。
感兴 其一（宋·胡宏）　　五言律诗　押支韵	昨夜看梅枝，风光异昔时。感时期献策，出语偶成诗。乾健将来巽，蒙昏许及离。启篷凝立处，心事付谁知。
梅花呈孙奇父诸公（宋·胡宏）　　七言律诗　押阳韵	万里春回过短墙，孤标亦似殿年芳。萧疏月下天然瘦，澹宕风前自在香。寒色重时花正发，暖烟才禁实先尝。越人不向梁台路，画角一声堪断肠。
题友人养素轩（宋·胡宏）　　七言律诗　押尤韵	少时情意在沧洲，壮岁还知学孔丘。万事只嫌心有病，百年不作梦中游。紫泥诏下人须在，黄卷人①开我自收。耻向红尘浪奔走，看云消尽意横秋。
春日郊行（宋·胡宏）　　七言律诗　押真韵	东郊野马烂氛氲，聊驾柴车问讯春。远草绿沉烟雾里，高花红照绮罗新。迎风柳占莺啼处，带雨泥融燕觜匀。动植自私还自足，天边愁杀踏青人。
和韩叔夏碧泉（宋·胡宏）　　七言律诗　押庚韵	灵源一派似河倾，隐映长天万古情。林影淡摇秋月冷，涧翻先凝玉壶清。旧栽沿岸柳阴合，新种数株梅子成。谁引人来问消息，只缘山外有流声。
题法轮寺（宋·胡宏）　　七言律诗　押庚韵	春色初收夏气清，路分松桧入峥嵘。深盘岣嵝千峰下，远抱潇湘一线明。大众总迷身在处，三关除却道方平。山林若是有情住，何异红尘争利名。
郭氏嘉山亭（宋·胡宏）　　七言律诗　押鱼韵	衡山何似洛城居，不久从来亦不馀。赤县人希①旧勋业，清閒身自富时书。搜罗神化观周易，略去玄黄陋太初。最是忘机湘水上，风轻日淡看游鱼。
湘中馆（宋·胡宏）　　七言律诗　押真韵	馆瞰潇湘画不成，波澜入海是通津。风吹枕席清无梦，烟覆江城晓变春。柳色几回轻别首，梅花偏见远征人。谁能不逐红尘去，到处分明认得身。
和范公授（宋·胡宏）　　七言律诗　押侵韵	贫病离居莫厌侵，满床黄卷静披寻。情通不碍天机妙，行到方知学海深。宇宙一身虽小小，乾坤万象总森森。分明此意人难会，长望青衿肯嗣音。
紫盖峰前作小圃日亲圃事情见乎辞呈伯氏兼简彦达先生（宋·胡宏）　　七言律诗　押尤韵	有志从来不浪忧，只忧心不似前脩。敷菑未竟已头白，待穫忘情在晚秋。自觉才疏胜北海，又无经学震西州。甘为稼圃南山下，长谢周公愧孔丘。
和伯氏（宋·胡宏）　　七言律诗　押鱼韵	为园非是学樊须，锄罢归来又读书。董子不窥缘底事，陶公成趣爱吾庐。华枝瘦日应抬举，草色回春莫刬除。长遣个中消息在，此生何处不安居。
水石（宋·胡宏）　　七言律诗　押先韵	水石平生性所便，栽花种柳亦天然。春风花发游人见，秋月云收照我员。玩意陇云情自逸，放怀天理道无偏。坐消白日①千峰下，长啸一声箕斗边。
碧泉九日有感（宋·胡宏）　　七言律诗	祝融地势东南俯，西北星辰拱汉关。冷落山河凭玉几，凋残名物损朱颜。西风凛凛鹏空抟，朔雪飘飘雁亦寒。正恐中原消息断，问谁曾到五陵间。
吴承远讥登山（宋·胡宏）　　七言律诗　押先韵	胸中无滞是神仙，行止由来各有天。洞里道人心快快，云间游子自翩翩。尘怀已逐山风扫，好意都从梅蕊传。回首七香车上客，大家归去莫流连。
和王师中（宋·胡宏）　　七言律诗　押阳韵	谁惊河冻履秋霜，今日金汤古坏墙。未见主人来北道，但闻群盗去南塘。忧时我不嗟留滞，访道公能适莽苍。绛帐早移收岁晚，吟风弄月动衡湘。
和人（宋·胡宏）　　七言律诗　押侵韵	天柱新诗缺嗣音，几回开卷静披寻。眇绵今古乾坤大，盘亘华夷海岳深。每爱踌躇兴事意，不将勉强会天心。中原未必生涯尽，只恐吾人老自侵。
谒虞帝祠（宋·胡宏）　　七言律诗　押元韵	有姚心妙赞乾坤，尧禹兴亡赖两存。蒲坂旧都西望远，苍梧陈迹事难论。九官效职群英聚，二女宜家圣德尊。万代君王模范表，吁嗟一庙破荒村。
