木犀（宋·许月卿）　　五言律诗　押阳韵	诗到黄初上，高标不肯唐①。分封在香国，筮仕得黄裳。锦昼②累金印，瑶英案玉皇。黄香天下士，谁得并清芳。
晓幄（宋·许月卿）　　五言律诗　押东韵	晓幄明初日，晨钟递北风。人生行乐著，天道好还同。我友诗三昧，吾衰酒一中。万间君雅志，突兀倚晴空。
云边（宋·许月卿）　　五言律诗　押尤韵	云边人种麦，天际我归舟。月色轻寒夜，笛声何处楼。久晴人渴雨，倦仕我思休。高士传闲看，东篱花正幽。
明月（宋·许月卿）　　五言律诗	明月天双鉴，清湖地万弓。人行杨柳外，身在画图中。天阔双眸快，楼高万象融。故山应更好，杨柳映芙蓉①。
吊程贡元（宋·许月卿）　　五言律诗	洒泪陈情表，何心贡泽宫。波平看跃鲤，浪急不成龙。花诰荣孀母，蓝袍付画工。无人俦孝友，烟树惨新封。
代仍六弟吊程贡元（宋·许月卿）　　五言律诗　押尤韵	仁者竟不寿，世事空悠悠。霜满人洪墓，月寒尊美楼。慈乌千载恨，荐鹗一生休。画史成何事，青山烱照眸。
挽番阳戴如曾贡士母金氏（宋·许月卿）　　五言律诗　押虞韵	霜气凛闺妹，严风老更癯。诗书谓有子，门户可无夫。雏凤横秋鹗，孤鸾啼夜乌。长松有风雨，枯草但平芜。
挽汪士洪（宋·许月卿）　　五言律诗　押尤韵	昔日杜小侄，中年马少游。不知身外事，祇觉鬓边秋。有子三株柳，同公荒草邱。梅溪一夜雪，片片逐寒流。
同滕推游朱绯堂二首（宋·许月卿）　　五言律诗	当日朱绯梦，荒烟化鹤城。斜阳边草色，深树里禽声。欲雨路微湿，出云山半青。神游应故里，只欠爱翁亭。
挽外舅二首（宋·许月卿）　　五言律诗　押真韵	人间三十二，名字几千春。慷慨汉游侠，孝慈周吉人。视物犹视己，顾亲宁顾身。山中当出相，嗣子世其仁。
有感（宋·许月卿）　　五言律诗　押先韵	一饮地黄酒，冤哉入九泉。云孤无葬地，雪霁有苍天。今岁难张咏，他年高董宣。视吾匣中剑，光射斗牛边。
住黛障（宋·许月卿）　　五言律诗　押灰韵	黛障地眉展，绿波天画开。鸳鸯长不散，翡翠去还来。坛杏颓垣里，陇梅荒草堆。山川浑似旧，不管曲声哀。
梦中作（宋·许月卿）　　五言律诗　押阳韵	我来烟水远，渔艇夜鸣榔。万仞巫山耸，一宵秋梦长。金翘何婀娜，玉佩遽叮当。月冷天鸡晓，空馀枕屏香。
閒赋（宋·许月卿）　　五言律诗	老大天谙练，殷勤月往还。岩峦有奇操，泉石亦清谈。隔浦飞秋叶，开窗看夕山。天心端正月，潭水夜深参。
次韵郑将士（宋·许月卿）　　五言律诗　押侵韵	何曾离日用，千古到如今。菊蕊霜全节，梅花月印心。韩公蕲竹咏，苏子楚山音①。谷口微吾子，风流何处寻。
霜日（宋·许月卿）　　五言律诗　押阳韵	霜日步行迟，云山履历长。芦花相逊揖，松树自宫商。竹动鸣珂里，桃成衣锦乡。水边篱落好，一夜玉为堂。
得（疑当作德）安道中（宋·许月卿）　　五言律诗　押青韵	洲渚但明月，人烟如晓星。春泥才故里，秋水又浮萍。衣破披蓑冷，厨空煮草腥。抱儿含笑语，衣里麦青青。
挽胡制机康侯（宋·许月卿）　　五言律诗　押阳韵	鹭点青松白，莺穿绿柳黄。儿时工对偶，老去更文章。诛意平生学，爰咨去路忙。酒边招隐操，我更忆山堂。
寄郭衢州（宋·许月卿）　　五言律诗　押尤韵	渤海潢池盗，龚卿奉诏忧。东轩继芳躅，西府踵清流。同榜黄扉匹，中峰皂盖俦。中斋同一笑，山屋好中秋。
重寄郭衢州（宋·许月卿）　　五言律诗　押尤韵	细数东京士，无如许郭优。山林异朝市，姓字欠书邮。久已巢由隐，难成李郭舟。三衢春有脚，山屋好中秋。
