摸鱼儿 怀云崖陈乘车东甫，时游湘潭（宋·谭宣子）	掩朱弦、住听金缕。天涯同是羁旅。多情记把香罗袖，残粉半粘荆树。还信否。便忍道、石台暗寂春无主。分明间阻。那睡鸭嘘云，翔鸳溜月，此际更休语。人间世，谁识缄愁最苦。轻帆重解烟雨。而今翻笑周郎误。挑剔寒缸寻谱。游倦处。果因甚、亭亭瘦影如前度。无由寄与。待谢却梅花，东风为我，吹梦过淮浦。
西窗烛 雨霁江行自度（宋·谭宣子）	春江骤涨，晓陌微乾，断云如梦相逐。料应怪我频来去，似千里迢遥，伤心极目。为楚腰、惯舞东风，芳草萋萋衬绿。燕飞独。知是谁家箫声多事，吹咽寻常怨曲。尽教衿袖香泥涴，君不见、扬州三生杜牧。待泪华、暗落铜盘，甚夜西窗剪烛。
侧犯（宋·谭宣子）	素秋渐爽，倚香曲枕情依旧。怀袖。浸数尺湘漪、簟纹皱。悲欢尽梦里，玉骨从消瘦。空又。思太液芙蓉未央柳。翔凤何在，乐府传孤奏。人病酒。有鸳鸯双字倩谁绣。拜月西楼，几声滴漏。应恐纨洁，已疏郎手。
春声碎 南浦送别自度腔（宋·谭宣子）	津馆贮轻寒，脉脉离情如水。东风不管，垂杨无力，总雨颦烟寐。栏干外。怕春燕掠天，疏鼓叠、春声碎。刘郎易憔悴。况是恹恹病起。蛮笺漫展，便写就新词，倩谁将寄。当此际。浑似梦峡啼湘，一寸相思千里。
浣溪沙 过高邮（宋·谭宣子）	欲展吴笺咏杜娘。为停楚棹觅秦郎。藕花三十六湖香。珠颗翠檠饶宿泪，玉痕红褪怯晨妆。小桥风月思凄凉。
长相思（宋·谭宣子）	去路遥。归路遥。灯月光中立小桥。魂萦紫玉箫。风萧萧。雨萧萧。此夜相思空寂寥。梅花落丽谯。
玲珑四犯 重过南楼用白石体赋（宋·谭宣子）	碧黯塞榆，黄销堤柳，危栏谁料重抚。才情犹未减，指点惊如许。当时共伊东顾。为辞家、怕吟鹦鹉。衮衮波光，悠悠云气，陶写几今古。生尘每怜微步。渺江空岁晚，知在何处。土花封玉树。恨极山阳赋。吹芗扇底馀欢断，怎忘得、阴移庭午。离别苦。那堪听、敲窗冻雨。
谒金门 其一（宋·谭宣子）	银漏滴。午夜平康巷陌。双掩兽环人语寂。馀香无处觅。回首旧游踪迹。绀碧染衣犹湿。一饷沉吟谁会得。月明春店笛。
鸣梭 自度（宋·谭宣子）　　押歌韵	织绡机上度鸣梭。年光容易过。萦萦情绪，似水烟山雾两相和。谩道当时何事，流盼动层波。巫影嵯峨。翠屏牵薜萝。不须微醉自颜酡。如今难恁么。烛花销艳，但替人、垂泪满铜荷。赋罢西城残梦，犹问夜如何。星耿斜河。候虫声更多。
江城子（宋·谭宣子）	嫩黄初染绿初描。倚春娇。索春饶。燕外莺边，想见万丝摇。便作无情终软美，天赋与，眼眉腰。短长亭外短长桥。驻金镳。系兰桡。可爱风流，年纪可怜宵。辨得重来攀折后，烟雨暗，不辞遥。
渔家傲（宋·谭宣子）	深意缠绵歌宛转。横波停眼灯前见。最忆来时门半掩。春不暖。梨花落尽成秋苑。叠鼓收声帆影乱。燕飞又趁东风软。目力漫长心力短。消息断。青山一点和烟远。
