次韵陈履常汝阴久雪赈饥（宋·赵令畤）　　七言律诗　押真韵	坎壈中年坐废人，老来貂鼎视埃尘。铁霜带面惟忧国，机阱当前不为身。发廪已康诸县命，蠲逋一洗几年贫。归来又扫宽民奏，惭愧毫端尔许春①。
初到长安（宋·赵令畤）　　七言律诗　押鱼韵	来往长安未定居，暂将僧舍当吾庐。空中说法凭铃语，枕上朝饥听木鱼。因果分明休问佛，行藏自信罢占书。眼前一物真堪羡，百尺长杨水满渠①。
赠陈处士（宋·赵令畤）　　七言律诗　押支韵	疏慵任过少年时，名利难交远近知。一洞落花春病酒，满楼明月夜吟诗。展编海曲菰蒲叶，杖剪嵩阳楖栗枝。却话东林拟重去，伴僧闲逸白莲池①。
江楼閒望（宋·赵令畤）　　七言律诗　押麻韵	红尘无处不諠哗，独上江楼四望赊。泥水僧归林下寺，待船人立渡头沙。云藏岛外啼猿树，竹锁桥边卖酒家。吟罢凭栏心更逸，海风吹断暮天霞①。
冬日居山（宋·赵令畤）　　七言律诗　押蒸韵	乱山深处过严凝，僻静门邻物外僧。送客踏穿松径雪，煮茶敲破石池冰。朝垂帘幕寒慵卷，夜锁楼台静懒登。只待春来归上国，杖藜吟出白云层①。
同官李仲益赠张思仲家歌人团茶因题其封（宋·赵令畤）　　五言绝句　押真韵	色映宫姝粉，香传汉殿春。团团明月魄，却赠月中人①。
次韵晁以道嘲陈叔易得官入京（宋·赵令畤）　　七言绝句　押麻韵	闻道诸公置齿牙，买鞯卖展趁年华。太平起隐无遗策，空尽嵩山处士家①。
秋（宋·赵令畤）　　七言绝句　押尤韵	白藕作花风已秋，不堪残睡更回头。晚云带雨归飞急，去作西窗一夜愁①。
被责三十年蒙恩召还行在方驻跸钱塘书呈子常侍郎（宋·赵令畤）　　七言绝句	三十馀年一梦同，向来朝士尽沈空。如今白首趋行阙，不是当年长乐钟①。
天仙子（宋·赵令畤）	宿雨洗空台榭莹。下尽珠帘寒未定。花开花落几番晴，春欲竟。愁未醒。池面杏花红透影。一纸短书言不尽。明月清风还记省。玉楼香断又添香，闲展兴。临好景。心似乱萍何处整。
浣溪沙（宋·赵令畤）	稳小弓鞋三寸罗。歌唇清韵一樱多。灯前秀艳总横波。指下鸣泉清杳渺，掌中回旋小婆娑。明朝归路奈情何。
蝶恋花 商调十二首（宋·赵令畤）	丽质仙娥生月殿。谪向人间，未免凡情乱。宋玉墙东流美盼。乱花深处曾相见。密意浓欢方有便。不奈浮名，旋遣轻分散。最恨多才情太浅。等闲不念离人怨。
好事近（宋·赵令畤）	急雨涨溪浑，小树带山秋色。轻棹暮天归路，袅芙蓉烟白。酒醒香冷梦回时，虫声正凄绝。只觉小窗风月，与昨宵都别。
西江月（宋·赵令畤）	人世一场大梦，我生魔了十年。明窗千古探遗编。不救饥寒一点。更被维摩老子，不教此处容言。炉薰清炷坐安禅。物物头头显现。
菩萨蛮（宋·赵令畤）	轻鸥欲下春塘浴。双双飞破春烟绿。两岸野蔷薇。翠笼薰绣衣。凭船闲弄水。中有相思意。忆得去年时。水边初别离。
满庭芳（宋·赵令畤）　　押尤韵	玉枕生凉，金缸传晓，败叶飞破清秋。雨馀翻浪，渺渺阻行舟。暂系汀洲侧畔，风夜起、荻叶添愁。银屏远，龙香渐尽，还是梦扬州。更筹。何太永，当年情事，今日堪酬。最苦恨红楼，笑我飘浮。为寄相思细字，教字字、愁蹙眉头。凄凉久，渔人唱晓，随月过横沟。
小重山（宋·赵令畤）	楼上风和玉漏迟。秋千庭院静，百花飞。午窗才起暖金卮。匀面了，阑畔看春池。何事苦颦眉。碧云春信断，尽来时。鸳鸯游戏镇相随。云雾敛，新月挂天西。
清平乐（宋·赵令畤）	春风依旧。著意随堤柳。搓得蛾儿黄欲就。天气清明时候。去年紫陌青门。今宵雨魄云魂。断送一生憔悴，只销几个黄昏。
鹧鸪天（宋·赵令畤）	素玉朝来有好怀。一枝梅粉照人开。晴云欲向怀中起，春色先从脸上来。深院落，小楼台。玉盘香篆看徘徊。须知月色撩人恨，数夜春寒不下阶。
临江仙 阿方初出（宋·赵令畤）	枝上粉香吹欲尽，依前庭院春风。更谁同绕摘芳丛。漏残金兽冷，信断锦屏空。看结灯花愁不睡，酒阑无梦相逢。凄凉长判一生中。不如云外月，永夜在房栊。
