咏兰（宋·赵以夫）　　七言绝句　押阳韵	一朵俄生几案光，尚如逸士气昂藏。秋风试与平章看，何似当时林下香①。
万年歌 庆元圣节（宋·赵以夫）	凤历开新，正微和乍转，丽景初晓。五荚蓂舒，光映玉阶瑶草。在在东风语笑。庆此日、虹流电绕。鲸波静，翠涌鳌山，嵩呼声动云表。绛节霓旌缥缈。望珠星灿烂，紫微深窈。琬液香浮，露湿蟠桃犹小。叠叠仙韶九奏，知春到、人间多少。蓬莱外，若木扶疏，万年枝上长好。
大酺 牡丹（宋·赵以夫）	正绿阴浓，莺声懒，庭院寒轻烟薄。天然花富贵，逞夭红殷紫，叠葩重萼。醉艳酣春，妍姿浥露，翠羽轻明如削。檀心鸦黄嫩，似离情愁绪，万丝交错。更银烛相辉，玉瓶微浸，宛然京洛。朝来风雨恶。怕僝僽、低张青油幕。便好倩、佳人插帽，贵客传笺，趁良辰、赏心行乐。四美难并也，须拼醉、莫辞杯勺。被花恼、情无著。长笛何处，一笑江头高阁。极目水云漠漠。
孤鸾 梅（宋·赵以夫）	江南春早。问江上寒梅，占春多少。自照疏星冷，祗许春风到。幽香不知甚处，但迢迢、满汀烟草。回首谁家竹外，有一枝斜好。记当年、曾共花前笑。念玉雪襟期，有谁知道。唤起罗浮梦，正参横月小。凄凉更吹塞管，漫相思，鬓华惊老。待觅西湖半曲，对霜天清晓。
金盏子 水仙（宋·赵以夫）	得水能仙，似汉皋遗佩，碧波涵月。蓝玉暖生烟，称缟袂黄冠，素姿芳洁。亭亭独立风前，照冰壶澄彻。当时事，琴心妙处谁传，顿成愁绝。六出自天然，更一味清香浑胜雪。西湖秋菊寒泉，似坡老风流，至今人说。殷勤折伴梅边，听玉龙吹裂。丁宁道，百年兄弟，相看晚节。
天香 牡丹（宋·赵以夫）	蜀锦移芳，巫云散彩，天孙剪取相寄。金屋看承，玉台凝盼，尚忆旧家风味。生香绝艳，说不尽、天然富贵。脸嫩浑疑看损，肌柔只愁吹起。花神为谁著意。把韶华、总归姝丽。可是老来心事，不成春思。却羡宫袍仙子。调曲曲清平似翻水。笑嘱东风，殷勤劝醉。
探春慢 其一 立春（宋·赵以夫）	南国收寒，东郊放暖，条风初回台榭。小燕横钗，闹蛾低鬓，根底吴娃妖冶。纤手传生菜，向人道、新春来也。莫须沈醉樽前，这些风景无价。长记年年此日，迎著个牛儿，彩鞭羞打。飐飐金幡，星星华发，得似家山闲暇。都把心期事，待问讯、柳边花下。箫鼓声中，温存小楼深夜。
探春慢 其二 四明除夜（宋·赵以夫）	屑璐飘寒，镂金献巧，妆成水晶亭榭。飞絮悠扬，散花零乱，绝胜翠娇红冶。粉艳嘻嘻道，尽飞上、使君须也。多情莫笑衰翁，旧时梁苑声价。窗外小梅羞涩，倩羯鼓尊前，慢敲轻打。鲸海停波，鹤谯宾月，赢得残年清暇。心事知谁会，但梦绕、越王城下。白玉青丝，且同醉吟春夜。
探春慢 其三 四明次黄玉泉（宋·赵以夫）	宝胜宾春，华灯照夜，穷冬浑然如客。炉焰鳞红，杯深翡翠，早减三分寒力。一笑团栾处，恰喜得、雪消风息。苔枝数蕊明珠，恍疑香麝初拆。懊恨东君无准，甚朝做重阴，暮还晴色。唤燕呼莺，雕花镂叶，机巧可曾休得。静里无穷意，漫看尽、纷纷红白。且听新腔，红牙玉纤低拍。
龙山会 其一 南丰登高（宋·赵以夫）	重整登高屐。群玉峰头，万里秋无极。远山青欲滴。新雁过、缥缈孤云天北。烟入小桥低，水痕退、寒流澄碧。对佳辰，惊心客里，鬓丝堪摘。风流晋宋诸贤，骑台龙山，俯仰皆陈迹。凭阑看落日。嗟往事、唯有黄花如昔。醉袖舞西风，任教笑、参差凫舄。但回首、东篱久负，有谁知得。
芙蓉月（宋·赵以夫）	黄叶舞碧空，临水处、照眼红苞齐吐。柔情媚态，伫立西风如诉。遥想仙家城阙，十万绿衣童女。云缥缈，玉娉婷，隐隐彩鸾飞舞。樽前更风度。记天香国色，曾占春暮。依然好在，还伴清霜凉露。一曲阑干敲遍，悄无语。空相顾。残月淡，酒阑时、满城钟鼓。
龙山会 其二（宋·赵以夫）	九日无风雨。一笑凭高，浩气横秋宇。群峰青可数。寒城小、一水萦回如缕。西北最关情，漫遥指、东徐南楚。黯销魂，斜阳冉冉，雁声悲苦。今朝黄菊依然，重上南楼，草草成欢聚。诗朋休浪赋。旧题处、俯仰已随尘土。莫放酒行疏，清漏短、凉蟾当午。也全胜、白衣未至，独醒凝伫。
夜飞鹊/夜飞鹊慢 七夕和方时父韵（宋·赵以夫）	微云拂斜月，万籁声沈。凉露暗坠桐阴。蛾眉乞得天孙巧，愔愔楼上穿针。佳期鹊相误，到年时此夕，欢浅愁深。人间儿女，说风流，直到如今。河汉几曾风浪，因景物牵情，自是人心。长记秋庭往事，钿花剪翠，钗股分金。道人无著，正萧然、竹枕綀衾。梦回时，天淡星稀，闲弄一曲瑶琴。
龙山会 其三 四明重阳泛舟月湖（宋·赵以夫）	佳节明朝九。彩舫凌虚，共醉西风酒。湖光蓝滴透。云浪碎、巧学波纹吹皱。碧落杳无边，但玉削，千峰寒瘦。留连久，秋容似洗，月华如昼。回头南楚东徐，暝霭苍烟，处处空刁斗。山公今健否。功名事、付与年时交旧。白发苦欺人，尚堪插、黄花盈首。归去也、东篱好在，觅渊明友。
