读本师语录（宋·释云岫）　　七言绝句	青旗斜出画桥西，杨柳飞花水满堤。一酌误人千日酒，醉埋荒冢不思归。
寄陈太傅（宋·释云岫）　　七言绝句　押咸韵	种竹栽花绕屋櫩，交僧也学著偏衫。时清曾见修文日，天子旁搜到傅岩。
西庵夜坐（宋·释云岫）　　七言绝句　押阳韵	一室寒灯坐夜长，八千里路到梅阳。西山固不如洋屿，也道薰风殿阁凉。
古月号（宋·释云岫）　　七言绝句	千年桂魄不肯死，夜夜在人头上飞。每爱中庭一方白，长天万里没云时。
题梓岩和尚吟卷（宋·释云岫）　　七言绝句	字字不因容易得，灯花曾落五更钟。东湖浪阔瓶声远，流出一溪霜叶风。
悼清藏主（宋·释云岫）　　七言绝句　押侵韵	修行众苦人难到，六指重来火后寻。遗恨百年消不得，一声杜宇一关心。
秋日山行（宋·释云岫）　　七言绝句　押麻韵	半坞夕阳红树叶，一村鸡犬野人家。牧童歌笑牛羊下，太古淳风尽属他。
问法（宋·释云岫）　　七言绝句	乾陀国里旧城河，遥忆河边枣树花。白象系来年代远，荣枯今日事如何。
金山头陀岩（宋·释云岫）　　七言绝句　押歌韵	半间石屋安禅地，盖代功高不易磨。白蟒化龙归海去，山中留得老头陀。
鹤林寺（宋·释云岫）　　七言绝句　押麻韵	夹山当日见船子，法眼无瑕亦有瑕。一棹朱泾风浪急，和根移却杜鹃花。
呈中竺雪屋和尚（宋·释云岫）　　七言绝句　押侵韵	重重法界华严境，烟柳满城春正深。弹指门开相见后，善财灰尽一生心。
访友人庵居（宋·释云岫）　　七言绝句　押灰韵	好山行尽眼重开，菜叶流金逐水来。莫谓閒门容易掩，松边有路不生苔。
蜾蠃（宋·释云岫）　　七言绝句　押元韵	借得桑虫足子孙，声声类我祝朝昏。只因祝得浑相似，代代不能高户门。
蜜蜂（宋·释云岫）　　七言绝句　押歌韵	生涯未足怕征科，一日园林几度过。股倦不嫌花粉重，年年只爱子孙多。
览明觉语（宋·释云岫）　　七言绝句	瀑雪一千馀丈白，洞庭七十二峰寒。当年若也收归藏，此录谁知是别传。
悼退岩讲主呈英宗师（宋·释云岫）　　七言绝句　押支韵	庵居曾结三年好，一住霞城会未期。见说即除天竺寺，讣闻肠断白头师。
天宁火后（宋·释云岫）　　七言绝句　押歌韵	劫火洞然俱坏了，随他去又不随他。春风吹转烧痕绿，楼阁依然有许多。
悼灵隐性侍者（宋·释云岫）　　七言绝句　押庚韵	三唤声中负不平，兴师百万欲干城。谁知菡萏峰前路，削木书名有伏兵。
礼净慈自得和尚塔（宋·释云岫）　　七言绝句　押歌韵	六牛图出新丰曲，妙唱难齐和转讹。慧命一丝门户重，不教衰泪落庭莎。
妙高台（宋·释云岫）　　七言绝句　押微韵	上到上头天渐低，更抬一步共谁归。胸中决得平生事，松树枝间独鹤飞。
