赠禅者（宋·释道行）　　五言绝句　押寒韵	句下出诸碍，翻身古剑寒。欲明如上事，须是髑髅乾。
颂二首（宋·释道行）　　押纸韵	我不会兮不如你，达磨当门缺两齿。满堂无限白蘋风，明明不自秋江起。
赞佛眼和尚（宋·释道行）	因我得礼你，玄沙出窼臼，龙门与荐灯后。咄①！
偈十首（宋·释道行）	动则万丈悬崖，不动则当处沈埋。千重万重关锁，一锤当面击开。伎死禅和无数，依前似鸭闻雷。
颂古三首（宋·释道行）　　押真韵	紫罗抹额绣腰裙，倾国风流宛胜秦。玉笛插藏人不见，夜深吹起凤楼春。
偈一首（宋·释道行）　　押真韵	溪声广长舌，山色清净身。八万四千偈，明明举似人①。
偈五首（宋·释道行）	会即便会，玉本无暇。若言不会，碓觜生花。试问九年面壁，何如大会拈华。南明恁么商确，也是顺风潵沙。
临终偈（宋·释道行）　　押敬韵	识则识自本心，见则见自本性。识得本心本性，正是宗门大病①。
颂古五首（宋·释道行）　　押豪韵	西天屠子气雄豪，欺负神洲罪莫逃。武帝当头轻一拶，果然提起活人刀。
颂古十七首（宋·释道行）　　押麻韵	枯树云充叶，凋梅雪作花。击桐成木响，蘸雪吃冬瓜。长天秋水，孤鹜落霞①。
颂古五首 其二（宋·释道行）	生死自怜同室穴，因何中路关山。一朝忽得亲儿证，趯踏方知盖覆。
