初夏病中（宋·钱易）　　五言律诗　押灰韵	抱病经清暑，空庭扫紫苔。花篱妨蝶过，桐井引禽来。徒有文园渴，更有漳浦才。可怜馀滞骨，无复动心灰。
中秋夜守让南厅玩月（宋·钱易）　　五言律诗　押侵韵	秋气元清切，明蟾千里心。金盘上河侧，玉水浸楼阴。闺怨有消歇，客愁无浅深。关山今夜里，星斗共沉沉。
中秋（宋·钱易）　　五言律诗　押微韵	天惨严霜厚，神清宿雨微。枝空蝉拟脱，巢冷燕谋归。白日莲塘梦，红纱水国衣。锦书知未了，轧轧弄鸣机①。
南兵（宋·钱易）　　五言律诗　押鱼韵	曾见南兵苦，征辽事亦如。金疮寒长肉，纸甲雨生蛆。山小齑霜骨，河枯臛腐鱼。黎元无处哭，丁户日相疏①。
咏华林书院（宋·钱易）　　五言律诗　押微韵	旌表华林盛，儒官寄翠微。科名新伯仲，孝行旧光辉。云影阴书幌，松花湿道衣。自惭方试吏，争得去忘机①。
七夕作（宋·钱易）　　七言律诗　押萧韵	天上人间重此宵，新情旧恨两迢迢。汉宫露密罘罳冷，秦殿灯深羯鼓焦。香粉溟濛筛绮席，蛛丝千万络烟霄。牵牛何事劳乌鹊，不使虹蜺驾作桥①。
送张无梦归天台（宋·钱易）　　七言律诗　押麻韵	暂谒明光拂斗槎，杖藜归去赤城霞。琳宫重启仙人室，金阙新辞太帝家。祇自运心奔白日，何须掷米作丹砂。云章赐重崆峒远，还向悬岑鍊五芽。
送僧归护国寺（宋·钱易）　　七言律诗　押先韵	拂衣台岭旧林泉，命服兰芽夺目鲜。一念不居常在定，十分无闷尽安禅。霜含庭柏依稀老，月到经窗暗澹圆。蠛枕沈迷难话别，半桥衰柳锁寒烟①。
拟张籍上裴晋公（宋·钱易）　　七言律诗　押真韵	午桥庄上千竿竹，绿野堂中白日春。富贵极来唯叹老，功名高后转轻身。严更未报皇城里，胜赏时游洛水滨。昨日庭趋三节度，淮西曾是执戈人。
习家池大堤（宋·钱易）　　五言绝句　押齐韵	清风习池上，落日岘山西。使君来问俗，听唱白铜鞮①。
芦花（宋·钱易）　　七言绝句　押先韵	深溪高岸罩秋烟，飒飒江风向暮天。凝洁月华临静夜，一丛丛盖钓鱼船①。
上巳至玉津园赐宴（宋·钱易）　　五言排律　押虞韵	祓禊标春巳，歌时庆鲁雩。禁园宣密宴，玉馔赐天厨。班序参三殿，衣冠盛两都。云罍倾上席，宝马闹长衢。帝泽恩何重，春风节已徂。归来白虎殿，微咏共操觚①。
和人首夏池上雨中闻笛（宋·钱易）　　五言排律　押先韵	朱华始沈泉，池塘恰雨天。鹭头飘雪暗，荷腹荡珠圆。风递谁家笛，声冲几里烟。拂波轻重起，隔树往来传。沥沥虽侵汉，遥遥已杂□。天龙吟转乐，石韵更相连。谩读襄王赋，虚誇子晋仙。宁同向散骑，肠断向漪涟①。
梦越州小江（宋·钱易）	越布缝单衾，灯青月黄浅。精魂度江水，适去无近远。湿沙平朔天，宿鸟踏古篆。巨潮淹积石，瘦白涩无藓。橹响期西陵，苍岑屏曲展。夙龄贱登临，今日生健羡。汀洲逢故妾，振袂指吴苑。向人呼旧官，血泣惭孤蹇①。
览越僧诗集有寄（宋·钱易）　　押尤韵	莫学江淹拟惠休，碧云才调已难酬。怀君知有关山梦，开卷如逢水石秋。不得归来作都讲，自惭名宦正悠悠①。
嵇康小舞词（宋·钱易）	薛九三十侍中郎，兰香花态生春堂。龙盘王气变秋雾，淮声哭月浮秋霜。宜城酒烟湿羁腹，与君强舞当时曲。玉树遗辞莫重听，黄尘染鬓无前绿。我闻襄阳白铜鞮，荒情古艳传幽悲。凄凉不抵亡国恨，尘中苦泪飞柔丝。洛阳公子擎银觞，跪奴和曲生辉光。茂陵旅梦无春草，彤管含羞裁短章①。
西游曲（宋·钱易）	花销秋老白日短，败红荒绿迷空馆。拟将清血洒昭陵，幽谷蛇啼半山晚。十年辞家勤献书，王孙不许延公车。江头祖庙祭无血，重门生草寒离离。我有黄金三尺剑，奸骨无痕古波艳。佩入函关无故人，玉握凋零七星暗①。
温泉诗（宋·钱易）　　押尤韵	悲哉天宝时，帝耄政不修。宠幸尊妇人，阴极阳已柔。外戚盛本枝，栉比封列侯。丞相大将军，备位甚悠悠。天下安既久，积渐力不周。车服金玉焕，黎庶饥寒愁。骊山温泉宫，昼幸与夜游。一游百司备，万费一日休。虽能心自快，化作神稷忧。国忠恣吞噬，林甫怀奸偷。胡雏据太原，钟鼓无计收。黄尘满长安，惨黩九庙羞。唐天未使绝，返正知疾瘳。自兹游赏地，荆棘生荒秋。旧物悉已废，蜘蛛挂重楼。览者咸寒心，一过三回头。因知帝王业，坚固宣鸿猷。岂可信嗜欲，侮弄生疮疣。雕墙峻宇诫，简牍况有由。翻思黍离章，续之应可仇①。
拟卢仝诗（宋·钱易）　　押麻韵	门前飞杨花，屋后恶水鸣青蛙。案上两卷书，尧典与舜典，留与添丁作生涯①。
蝶恋花（宋·钱易）	一枕闲欹春昼午。梦入华胥，邂逅飞琼作。娇态翠颦愁不语。彩笺遗我新奇句。几许芳心犹未诉。风竹敲窗，惊散无寻处。惆怅楚云留不住。断肠凝望高唐路。
