登湖州销暑楼（宋·陈亚）　　五言律诗　押阳韵	重楼肆登赏，岂羡石为廊。风月前湖近，轩窗半夏凉。罾青识渔浦，芝紫认仙乡。却恐当归阙，灵台为别伤①。
怀旧隐（宋·陈亚）　　七言律诗　押删韵	多愧当年未第间，卜居人外得清闲。排联花品曾非僭，爱惜苔钱不是悭。秋阁诗情天淡淡，夕溪渔思月弯弯。而今惭厚明朝禄，敢念藏愚莫买山①。
惜竹（宋·陈亚）　　五言绝句　押东韵	出槛亦不剪，从教长旧丛。年年到朱夏，叶叶是清风①。
戏答杨球（宋·陈亚）　　五言绝句	蒙君遗长笺，语意如何说。请看身上衣，裈中本无蝎。
嗤人面黑（宋·陈亚）　　五言绝句　押尤韵	笑似乌梅裂，啼如豉汁流。眉间粘帖子，已上是幞头①。
药名诗（宋·陈亚）　　七言绝句　押支韵	地居京界足亲知，倩借寻常无歇时。但看车前牛领上，十家皮没五家皮①。
戒子孙诗（宋·陈亚）　　七言绝句　押元韵	满室图书杂典坟，华亭仙客岱云根。他年若不和花卖，便是吾家好子孙①。
和魏周辅（宋·陈亚）　　七言绝句　押支韵	昔贤自是堪加罪，非敢言君爱窃诗。叵耐古人多意智，预先偷子一联诗。
诗一首（宋·陈亚）　　七言绝句　押支韵	张公吃酒李公醉，自古人言信有之。陈亚今年新及第，满城人贺李衙推①。
生查子 其一 药名寄章得象陈情（宋·陈亚）	朝廷数擢贤，旋占凌霄路。自是郁陶人，险难无移处。也知没药疗饥寒，食薄何相误。大幅纸连粘，甘草归田赋。
生查子 其二 药名闺情（宋·陈亚）	相思意已深，白纸书难足。字字苦参商，故要槟郎读。分明记得约当归，远至樱桃熟。何事菊花时，犹未回乡曲。
生查子 其三 同上（宋·陈亚）	小院雨馀凉，石竹风生砌。罢扇尽从容，半下纱厨睡。起来闲坐北亭中，滴尽真珠泪。为念婿辛勤，去折蟾宫桂。
亚字谜（宋·陈亚）	若教有口便哑，且要无心为恶。中间全没肚肠，外面强生棱角。
句（宋·陈亚）　　押尤韵	若是道人头不白，老人当日合乌头（咏白发）。
