送人南归（宋·鲍当）　　五言律诗　押庚韵	凄凄杨柳暮，时复一蝉声。沧海不可极，风帆难计程。微烟生晚浦，斜日上孤城。欲寄相思札，谁传万里情。
宿栖霞观（宋·鲍当）　　五言律诗　押尤韵	一宵会清境，不悟世间忧。天共白云晓，水和明月流。碧烟生藻井，红日映花楼。顾我无道气，拂衣难少留①。
送天台进长老（宋·鲍当）　　五言律诗　押先韵	尝闻台岭秀，积翠倚南天。鹿下深溪饮，僧从绝岭禅。浮尘满浮世，流水逐流泉。人别归心切，瓶盂上客船。
送白上人归天台（宋·鲍当）　　五言律诗　押庚韵	梵译千篇广，归心一念生。浮杯识海岸，持钵去王城。雨彴春莓滑，香盆漏叶轻。遥知守庵虎，先辨锡环声①。
孤雁（宋·鲍当）　　五言绝句　押震韵	天寒稻粱少，万里孤难进。不惜充君庖，为带边城信①。
松江夜泊（宋·鲍当）　　五言绝句　押庚韵	舟闲人已息，林际月微明。一片清江水，中涵万古情①。
题和靖隐居（宋·鲍当）　　五言绝句　押元韵	湖水春来绿，山云忧亦繁。如何隐君子，长啸掩柴门①。
酬阮逸诗卷（宋·鲍当）　　七言绝句　押先韵	木有毫端水有源，渐成盘错始潺湲。右丞画笔多平浅，平浅应知近自然①。
寄西湖择栖公（宋·鲍当）　　七言绝句　押陌韵	两信海潮喧晓夕，百年事过无遗迹。旧住招提有几人，春风苔长湖边石。
寓怀会稽吴道子遇因师（宋·鲍当）　　押删韵	隐沦与释子，时予久往还。览照不自认，况复思君颜。昨日山书至，乃梦云萝间。何必风韵息，始觉万境闲①。
句（宋·鲍当）　　押支韵	更无声接续，空有影相随（孤雁）。
