暮归（当代·周燕婷）　　五言律诗	日暮寻归径，峰高不见云。几程山共水，一路月随人。花影风前淡，溪声雨后新。偶经梧叶下，清露坠纷纷。
无题（当代·周燕婷）　　五言律诗　押尤韵	谁会登临意，天涯独倚楼。霜寒花未发，林暗鸟奚投。大漠三更月，长风一叶秋。江湖波渺渺，何处适行舟？
秋夜赏月和东遨旅途新作（当代·周燕婷）　　五言律诗　押支韵	一轮秋净月，无语自成诗。对影怜人早，叨光叹我迟。水滨云湿袂，花畔露盈卮。莫更愁圆缺，清辉定可期。
重访天涯（当代·周燕婷）　　五言律诗	碧空新雨过，鸥影逐帆飞。海日徐徐起，椰风淡淡吹。去来潮有信，今古梦同痴。此梦谁先觉？天涯系所思。
八零届同学乙酉五羊重聚（当代·周燕婷）　　五言律诗　押侵韵	未悉流光逝，风霜鬓角侵。云天随雁阔，烟树隔江深。渐少春边梦，空余壁上琴。黄花一壶酒，追忆少年心。
岁暮和友人韵寄怀智妙居士（当代·周燕婷）　　五言律诗　押庚韵	梅花犹待发，天气几番更。逐暖云无迹，添寒月有情。何缘师我佛，真个悟人生？雪意窗前近，诗愁感莫名。
暮春阳台小坐与为儿品茗论世（当代·周燕婷）　　五言律诗　押真韵	漫品林泉乐，当窗树色新。清时真有味，入世岂无尘？偶得天风顾，常思鱼水亲。春光般若好，终属少年人。
庐山如琴湖花径（当代·周燕婷）　　五言律诗　押尤韵	七月风犹腻，好花开未休。琴音时断续，峰影自沉浮。会得新秋意，来寻古径幽。空林雨初过，树杪白云流。
丁亥冬至游九寨沟童话世界（当代·周燕婷）　　五言律诗	深林藏小海，漱石见斑斓。草结冰花俏，光生雪岭寒。何人探月窟？有瀑泻云端。恍惚时空转，童年梦未删。
秋日随先生大围山小住步明汉君韵（当代·周燕婷）　　五言律诗　押先韵	寓居青嶂下，疏雨助清眠。绿径摇金菊，苍崖响玉泉。四围松静立，午夜月高悬。暂作忘机客，偕来享自然。
秋游荔波水上森林得句（当代·周燕婷）　　五言律诗　押庚韵	欲探龙宫秘，秋风结伴行。树从波上出，凉向袖边生。远壑笼烟紫，高崖落照明。诗成谁与和？啼鸟两三声。
秋日清远飞来寺（当代·周燕婷）　　五言律诗　押真韵	莫道禅窗寂，西峰是比邻。秋花三径老，眉月一痕新。石转溪声远，霜清树色匀。空山来复去，何处不宜人？
初游青海湖其地昔有野马名“青海骢”今已绝迹（当代·周燕婷）　　五言律诗	独携千里梦，来觅好湖光。柳絮尚余白，菜花犹未黄。雨丝吟作串，凫影叠成双。一自青骢隐，山川剩牧羊。
过香积寺（当代·周燕婷）　　五言律诗　押先韵	清风徐到寺，香雾散方圆。鸟啄青松侧，云过白塔前。暂离尘世界，来证佛因缘。默立重阴久，林花坐满肩。
奉和仰斋老兼怀在之（当代·周燕婷）　　五言律诗　押豪韵	天地何宽阔，依稀见凤毛。才情堪咏絮，歌赋擅裁刀。一夕繁霜重，平湖白浪高。前程千万里，不惧朔风号。
陈村兰花会所访刚毅兄（当代·周燕婷）　　五言律诗　押元韵	喜得兰花约，相携访古村。好风随我至，静室有诗存。廿载人无恙，孤光月到门。别来多少事，一一茗边论。
小年夜迎春雅集有作（当代·周燕婷）　　五言律诗　押真韵	江山晴入画，碧水映朱轮。国冀长安策，人怜发小亲。鸣鞭催快马，把酒忆前尘。收拾闲情绪，开帘待好春。
暮春华容道瞻古银杏用词韵（当代·周燕婷）　　五言律诗	相携余荫下，追思二千年。浩荡春犹在，阴晴月自圆。试凭中国梦，来证古人言。驿路斜阳外，清风满汉川。
华容古道（当代·周燕婷）　　五言律诗　押阳韵	千秋流水逝，未改绿阴长。世路平兼仄，人生热亦凉。呼风林下鸟，坠露叶边香。嗟此清幽地，曾经是战场。
新春和东遨韵（当代·周燕婷）　　七言律诗	春来那复计馀寒，自守心窗梦易安。檐角有声清嘀哒，蕉屏无影绿回环。流经曲折终归海，云喜悠闲不避山。读罢新词无个事，浇泥静待燕儿还。
