十六字令（近现代末当代初·金启孮）	眠。彻夜西风到枕边。心意懒，月上水晶帘。
调笑令（近现代末当代初·金启孮）	清泪。清泪。滴尽枕函衾被。梦中若被端相。处处皆堪断肠。肠断。肠断。晓角系愁零乱。
忆王孙（近现代末当代初·金启孮）	风姨敛迹宿云开。疏影横斜碎玉埋。静扫庭除待夜来。莫徘徊。谁拾蓬莱一股钗。
忆江南（近现代末当代初·金启孮）	人寂寂，林表浴初阳。丝柳乍拂三径露，荷风频送五更香。满目是清凉。
减字木兰花（其一）（近现代末当代初·金启孮）	荒原稷黍。成败茫茫那可语。雁翅横空。往事输他一梦中。水横山乱。紧锁双眉愁不展。今夜边声。应减庾郎鬓底青。
菩萨蛮 送友戏拟稼轩体（近现代末当代初·金启孮）	前程已过临漳水。客中几点行人泪。书剑挂雕鞍。夕阳无限山。长亭留不住。比较萧然去。鸿雁一时疏。闲听金鹧鸪。
蝶恋花（其二）（近现代末当代初·金启孮）	秋雨秋风天易暮。铁戈兜鍪，又上郊原路。古道茫茫愁几许。声声画角浑无绪。路转山回劳返顾。一派斜阳，村落黄昏鼓。毳幕难留乡梦住。塞鸿阵阵凭谁数。
采桑子（近现代末当代初·金启孮）	春来秋去谁相忆，多少离忧。怕上心头。为谁珍重护风流。夜阑无限伤心事，风也飕飕。雨也飕飕。待到明朝恐未休。
鹧鸪天（其三）（近现代末当代初·金启孮）	古寺斜阳对落晖。金山北雁又南飞。铁衣渐觉新霜重，毳幕空怜旧梦稀。怀往事，寸心违。狼烟烽火照旌旗。敕勒唱罢黄云塞，插遍茱萸犹未归。
采桑子 见柳絮（其四）（近现代末当代初·金启孮）	盈掬只逐东风转，飘泊何方。零落堪伤。乱扑征衣向夕阳。年来饱尝兜鍪味，乡梦难忘。空结愁肠。剩得炊烟与恨长。
玉连环影（其七）（近现代末当代初·金启孮）	无限。号角逼人颤。军垒森严，恐把年华换。动离忧。酿新愁。一阵晚风，黄叶又飕飕。
清平乐（其八）（近现代末当代初·金启孮）	驿亭风信。又送飞鸿阵。虎帐征人相对问。谁道不凋双鬓。黄昏塞角频吹。岭头几处寒梅。正是凄凉时候，那堪雨雪霏霏。
忆秦娥（其五）（近现代末当代初·金启孮）	征鸿绝。举头唯见燕山月。燕山月。年年几度，照人离别。倦途又是天山雪。闲愁总向心头结。心头结。归时待与，谁人相说。
荷叶杯（近现代末当代初·金启孮）	昨夜薄寒微透。知否。风烛正三更。绣帏春梦不分明。休问醉耶醒。月落屋梁愁重。谁共。犹记旧油车。荼蘼院落是儿家。飘泊遍天涯。
减字木兰花（近现代末当代初·金启孮）	别离生恨。最恨当年相慰问。病卧西厢。粉面三旬不染香。短檠闲照。月过中庭愁未了。又隔关山。今夜盈盈共谁眠。
踏莎行 送别（近现代末当代初·金启孮）	良友初诀，螀声乍歇。等闲休负今宵月。囊萤映雪自年年，此情复与谁相说。哀怨空萦，愁肠空结。那堪堤畔频啼鴂。夕阳云树自茫茫，炊烟满目添凄切。
好事近 芒种（近现代末当代初·金启孮）	雨后又微风，满地碎阴凉月。枉把好春辜负，到杜鹃啼血。年年日日总相思，况复辞花节。本欲一尘不染，奈闲情纠葛。
浪淘沙 课社（近现代末当代初·金启孮）	萧寺梵钟鸣。秋月帘栊。银笺旧恨总无穷。一抹晚烟微雨后，败壁寒蛩。往事一重重。逐梦无踪。蓬山已在别离中。叹息今生辜负了，锦字征鸿。
清平乐（近现代末当代初·金启孮）	韶华谁系。清泪空盈袂。小院无人风细细。又是晚秋天气。无端枕畔钟声。夜深孤梦难成。萧索五陵公子，贫穷辜负今生。
人月圆（近现代末当代初·金启孮）	夜凉檠暗人无睡，才雨便如秋。珍重吩咐，红颜朱貌，总须白头。花朝暝日，晨风夕月，多少闲愁。且休辜负，韶华如水，逝去难留。
