郭安仁赞（明·吴高）　　五言律诗　押阳韵	先生名进士，五马刺循阳。守己一廉足，好修千里扬。清谣多秀麦，遗爱在甘棠。款酬芳陌酒，江天路杳茫①。
甲子门怀古（明·吴高）　　七言律诗　押尤韵	烟浪云涛不尽头，夕阳残垒总生愁。英雄一去成今古，忠义千年贯斗牛。枫叶芦花秋瑟瑟，龙舟凤舰水悠悠。今逢海宇清宁日，都把兴亡付白鸥①。
咏朱严二秀才（明·吴高）　　七言律诗　押麻韵	秀出鹅城十万家，二君年少擅才华。道宗正学推韩子，琴遇知音赏伯牙。北郭薄田堪酿酒，南塘清水足烹茶。姓存名没知真隐，留得高风后世誇①。
忆古成之（明·吴高）　　七言律诗　押尤韵	三策当年动冕旒，先生钟秀出罗浮。文章天下联星象，忠孝人间迈等俦。白骨一函今在否，清诗千首永芳流。功成欲效留侯去，未必翻然物外游。
上界第一峰（明·吴高）　　七言律诗　押元韵	奇峰四百三十二，惟见兹峰势独尊。远揖华嵩为伯仲，俯看蛮岭作儿孙。中天日月岩头转，白昼云雷脚底奔。不是飞仙那可即，骖鸾何日去朝元。
卓锡泉（明·吴高）　　五言绝句　押尤韵	高僧一挥锡，觱沸自然流。怪得谈经处，能令石点头①。
忆桂山（明·吴高）　　五言绝句	曾饮桂山茶，未登桂山路。芒鞋白苧衣，相约游山去。
兴宁罗翰林孟郊故居（明·吴高）　　七言绝句　押支韵	文战当年笔似飞，龙蛇落纸墨淋漓。中书虽老心犹壮，坐看先生涤砚池①。
怀邬大昕（明·吴高）　　七言绝句　押灰韵	虎头门外浪如雷，来往舟航几度摧。竭力劳心开鹿步，先生真抱济世才①。
丽江月色（明·吴高）　　七言绝句　押庚韵	秋夜寒光彻底清，当年丞相出天兵。江流不尽银蟾影，照遍兴亡万古情。
凤湖晚渡（明·吴高）　　七言绝句　押先韵	落日潮头起暝烟，行人唤渡各争先。济川安得商岩老，骤雨狂风亦晏然①。
莲峰叠翠（明·吴高）　　七言绝句　押尤韵	芙蕖峰上景偏幽，雨过风光翠欲流。正似匡庐招李白，万松深处碧云秋。
龙津渔唱（明·吴高）　　七言绝句　押麻韵	曲曲清溪绕屋斜，数声欸乃起汀沙。夜深月白知何处，馀韵风飘出蓼花。
万寿晓钟（明·吴高）　　七言绝句　押东韵	岧峣古刹起晨钟，度柳穿花散晓风。一百八声才止歇，几人犹在梦魂中①。
半径樵归（明·吴高）　　押语韵	惠阳十万家，采薪皆此处。荷叶盖头归，知是前山雨。好鸟如有情，对人相慰语。明日仍复来，山灵不厌汝①。
题将军石（明·吴高）　　押支韵	屹立瘴江湄，疑是汉骠骑。落日明金甲，春云绣战旗。风霜存节概，雨露想恩滋。回首麒麟阁，如今更有谁。
水帘飞瀑（明·吴高）	暮春之月，春服既成。眷言乐游，求其友生。陟彼嶙峋，崖石壁立。流泉涓涓，玉虹千尺。挹泉水兮，尘缨可濯。日月其迈，云何不乐。花木畅茂，生意欣欣。浴沂咏归，思昔之人。我思昔人，匪耽逸豫。优哉游哉，聊以适志。流觞泛泛，鸣鸟嘤嘤。感时怀古，千载同心。
