度灵羊峡（明·朱学熙）　　五言律诗　押阳韵	浦帆贪利涉①，乘夜度灵羊。欲雨云情重，看山客思忙。数声寒狖啸，两岸春花香。瞬息崧台道，诸峰接渺茫。
石室山玉虚宫（明·朱学熙）　　五言律诗　押冬韵	蹑屐陟孤峰，梯云阁道重。瑶坛千嶂拔，玉笈九霞封。便可邀青鸟，相将访赤松。下方城郭晚，隐隐报疏钟。
开自石室归舟中阻雨不得发（明·朱学熙）　　五言律诗　押咸韵	夕阳不可住，回首隔仙凡。齿漱端溪水，诗留副巉岩。涛欺将塌岸，雨阻欲归帆。点检游山具，苍云满碧衫。
水月宫（明·朱学熙）　　五言律诗　押东韵	为探灵嚣迹，先寻水月宫。慧香连斗极，花雨漫瑶空。犬吠白云外，僧禅翠霭中。十年迷下界，聊此息微躬①。
苍雪崖（明·朱学熙）　　五言律诗　押青韵	终古藏天巧，于今发地灵。翠凝岚作盖，青转壁为屏。共讶移三岛，何曾倩五丁。泠然骨可蜕，奇绝冠图经。
题十九峰书院诗（明·朱学熙）　　五言律诗　押阳韵	人去石坛荒，当春瑶草芳。云连峰作构，磴尽石为房。流辈生何益，名山死不妨。飞泉盟自在，长与泻琳琅①。
飞来寺（明·朱学熙）　　七言律诗　押删韵	新晴一度一登攀，无补峡灵真厚颜。海色渐分青壁外，溪声不断绿萝间①。何人肯抗尘容卧②，有客差同怪石閒。即使招提飞不到，也应奇秘甲名山。
眺虚岩（明·朱学熙）　　五言绝句　押歌韵	远峡观难远，斯言何太讹。眺虚岩际望，直北见黄河。
仙源次韩春坊韵（明·朱学熙）　　七言绝句　押元韵	泠泠韵玉泻云根，万点琼珠溅墨痕。瀛海仙人同载笔，桃花宁问武陵源。
流香桥（明·朱学熙）　　七言绝句　押萧韵	碧桃临水影红绡，一阵风回花气飘。峡口月明仙驭返，玉笙吹过第三桥①。
化乐台诗（明·朱学熙）　　七言绝句　押青韵	说到生公讲后经，蛟龙夜出石潭听。骊珠正照维高室①，优钵花开兰叶青。
栎社（明·朱学熙）	远自罗浮巅，弭棹返凝碧。有木卷且樛，高可百馀尺。托生名山阿，结根古磐石。岁寒积风烟，可屈不可易。垂垂广亩阴，匠石不察识。不为明堂用，遂免斧斤戚。抚尔兴长谣，托尔施枕席。处夫不才间，尔真吾友籍。
狮子石（明·朱学熙）　　押阳韵	既不射为虎，又不叱为羊。遂化为狮子，据此山之阳。何不往兜率，一吼醒迷方。会挟广成辈，煮为五岳粮。
山晖堂（明·朱学熙）	真宰不绝秘，山堂开绝壁。怀哉诸名贤，明月酬空碧。天风下瑶台，满地云狼籍。
清音楼又次苏东坡韵（明·朱学熙）　　押删韵	青天倚双壁，中流划一湾。谁言尚人境，宛尔清心颜。独忆山中人，去去何时还。花迷采药径，月冷封云关。惜哉时不与，何以答名山。结椽飞涧外，薙茅乱石间。敢云殚心力，大运终循环。眷言发浩叹，银涛生翠鬟①。
