洞庭望岳阳楼（明·李义壮）　　五言律诗　押尤韵	久客思归日，江湖得暂留。君山一叶下，知是洞庭秋。日月双吟鬓，风波一钓舟。平生忧乐志，不系岳阳楼。
谒陵道中（明·李义壮）　　五言律诗　押侵韵	西北半明灭，悲风催夕阴。紫云团隧道，红叶入霜林。天地河山老，松楸雨露深。遣弓攀莫及，回首罢登临①。
雨后海珠登眺（明·李义壮）　　七言律诗　押阳韵	梦回残月转长廊，何处僧归半夜航。水色不随山色改，风声偏助雨声狂。依依鹈鸊栖林樾，个个芙蓉隔石塘。幽兴杳然从此远，不堪渔笛起沧浪。
游小金山（明·李义壮）　　七言律诗　押灰韵	一灯明灭江心寺，梦里孤蓬半夜雷。岁月共怜人易老，江山应笑我重来。平芜湿月流萤度，极浦随潮旅雁回。起对沧洲意无限，登临休上妙高台①。
望西苑（明·李义壮）　　七言律诗　押萧韵	水晶帘外百花桥，太液波寒欲上潮。篽苑春回丹壑近，禁城云老翠华遥。琼楼珠阁天俱远，银杏金桃露未消。归去蓬瀛三万里，月明犹听紫鸾箫。
早朝（明·李义壮）　　七言律诗　押文韵	天上鸣鸡迥不闻，城头残月夜初分。楼台爽气通三岛，环佩秋声杂五云。阁道鸾灯供御辇，周庐龙钺护亲军。小臣章疏何由达，空望炉烟拱圣君①。
偶山（明·李义壮）　　七言律诗　押青韵	沔南太守愚公癖，移得君山自洞庭。万顷波涛双砥柱，千年寰宇一虚亭。江深日永鱼龙出，野旷春长草木青。欲借一区酬素志，不知谁受太玄经①。
望茅山（明·李义壮）　　五言绝句　押皓韵	绛石蒸暮霞，练江拂晴昊。长风吹兰苕，波涛在芳草①。
集菩提坛示定通上人（明·李义壮）　　七言绝句　押齐韵	人人各有一菩提，争奈寻常习罔迷。只有一人迷不得，五更先已过曹溪①。
赠别伦侍御右溪王刑部青萝（明·李义壮）	昔与二三子，谒帝承明庐。拊翼欣同条，翻飞悲异途。苟无凌霄翮，徘徊守故株。春阳茁潜耀，百卉芬以敷。发轸越山侧，扬鞭燕路隅。伫立怅飞盖，沉欢意何如。离索古所叹，志士慎驰驱。丹云荫纤服，朱华迎轻车。愧无杂佩赠，揽结空踟蹰。慎言明令德，庶以永终誉①。
天马歌（明·李义壮）	先皇法古轻时巡，属车九九磨重轮。长驱八骏日不息，坐令四海无纤尘。先皇去后几千载，内厩名驹果安在。人间牢落仅见此，雾鬣霜蹄如有待。平原苜蓿黄埃深，胡笳一曲胡儿心。明月照南不照北，北风猎猎天河阴。忆昔饮尔长城窟，图画相逢犹仿佛。孙阳老矣王良哀，市上何人收骏骨。尔来千里将何之，驽骖羸服同驱驰。顿令终夜伏枥志，时时梦绕天山飞。四十馀年汗行血，零乱霜花冷如铁。四家将士锦联镳，空言踏破祁连雪。流沙寂寞青海云，钟鼓城头日易曛。都人共指镇国府，至今犹自思将军。塞徼春回尘不动，元戎一出丘山重。房星耿耿十二閒，圉师不数王毛仲①。
