赠王山人（明·邢参）　　五言律诗　押元韵	耆年身不倦，行乐在田园。覆宅榆桑郁，聚村宗族繁。魏三风格少，杜五典刑存。喜不嫌余懒，闲来每过门。
怀友诗 吴奕嗣业（明·邢参）　　五言律诗　押灰韵	共泛荒溪际，匆匆两月来。薰风老苜蓿，霖雨熟杨梅。裹茗寻僧试，看花许客陪。遥知明月夜，独棹酒船回。
寄玄敬（明·邢参）　　七言律诗　押鱼韵	函丈论文十载余，暂违接席笑慵疏。要知泉石蒙题品，谩遣椷封侯起居。满座宾朋应贳酒，一楼灯火想雠书。新春未肯经郛郭，孤负蓬门日扫除。
赠性甫（明·邢参）　　七言律诗　押真韵	僦却楼居恣赏春，临溪更得采香蘋。一瓢醴酒常浮月，数箧遗书不受尘。静语未尝关世务，醉眠多是任天真。耆年无恙贫无虑，绛帐传经喜有人。
和性甫九日松下饮酒次韵（明·邢参）　　七言律诗　押灰韵	溪上翛然松两树，共迎绛帐此中开。閒人不许弹棋入，益友从教品砚来。千岁丰姿俱偃蹇，重阳节序独徘徊。诸生乞假成吾乐，仰盻乔柯饮玉杯。
寄性甫（明·邢参）　　七言律诗　押虞韵	坐探诗翁兴不孤，野航随处勘新图。春风蒲柳鹅肫荡，夜月丝萝莺脰湖。两地独行堪贳酒，一时相忆废操觚。章泾流水清如渭，泛览何人为接舻。
次韵性甫诞日与吴彭年会饮阊门（明·邢参）　　七言律诗　押真韵	高楼张宴贺生辰，岂是阳湖两客身。车马不容惊里俗，管弦嬴得沸城闉。邵翁安乐无遗累，莱氏欢娱有老亲。自寿诗成吾合和，共为桑梓百年人。
次韵性甫留题集福庵（明·邢参）　　七言律诗　押真韵	禅院年深竹树匀，磬声清彻了情尘。空房独借高人榻，委巷原依长者邻。金石成编缘好古，丹青落笔为留春。岁穷莫叹居荒僻，台馈邦侯辄命人。
性甫游杭以诗见示次韵（明·邢参）　　七言律诗　押阳韵	西湖佳胜播馀杭，一到千金未易偿。避俗不趍公府畔，怀贤先扣隐居旁。清狂冒雨登黄鹤，沉醉临风卧紫阳。行李独携诗数首，归来都诧少年场。
寒食与朱尧民张梦晋郊行读道旁遗碑感而风咏（明·邢参）　　七言绝句　押先韵	冷落郊原值禁烟，红桃一树倩人怜。行来尽拂残碑看，若个能知后百年。
题东禅璿公房（明·邢参）　　押陌韵	东城少僧寺，赖此堪寄迹。独往路不迂，尝来意还适。暖风逗莺花，宿雨滋燕麦。不有高闲徒，凭谁话今昔。
