平黎婺山赠庄参戎（明·阙名）　　七言律诗　押东韵	登坛今日论谁雄，迅扫彝氛樽俎中。铜柱孤悬烟瘴外，金章新拜玺书隆。春回雾岭千家雨，剑倚炎方万谷风。更筑睥睨天堑固，燕然勒石颂元功①。
题司傅野选君万玉山房卷（明·阙名）　　七言律诗　押寒韵	名园修竹自檀栾，劲节千竿傍药栏。疏影月中摇委佩，轻音云际响琅玕。纡回似向潇湘绕，杳霭疑从兔苑看。敢对此君犹问主，玉山清彻照人寒。
咏落花和魏季郎黄公绍邓希父蒋兆卿（明·阙名）　　七言律诗　押微韵	惜春长自坐春晖，谁道春光处处非。妒雨暗催蜂使去，狂风空逐麝香微。辞条尚作莺莺舞，落絮还同燕燕飞。争似绛桃园里色，留花不发待郎归。
送杨肖韩计郭谪判两淮（明·阙名）　　七言律诗　押尤韵	才高鹦鹉占时流，官领均输出帝州。丛桂正含淮海色，明珠谁抱汉宫愁。人间得失蕉中鹿，宦底浮沉水上鸥。盐铁且从文学议，大鹏终计碧霄游①。
咏萍（明·阙名）　　七言律诗　押侵韵	锦鳞密砌不容针，只为根儿做不深。曾与白云争水面，岂容明月下波心。几番浪打应难灭，数阵风吹不复沉。多少鱼龙藏在厎，渔翁无处下钩寻。
石人耸翠（明·阙名）　　七言绝句　押灰韵	起立中霄护碧苔，耸身直欲谢氛埃。擎天柱地应长在，未许居人作谶猜。
石坂晴岚（明·阙名）　　七言绝句　押覃韵	百峰山头石坂潭，雨兴云雾晴飞岚。廖公芳迹已千载，真人此地时扪参。
铜鼓春涛（明·阙名）　　七言绝句　押先韵	海晏春潮高接天，蛟龙吹浪拍山巅。暖风更拥洪崖雾，飞作越南万井烟。
文径吊古（明·阙名）　　七言绝句	汴宋炎灰散海云，翠华踪迹不堪闻。大忠争说文丞相，千载谁知义士魂。
龙溪仙蜕（明·阙名）　　七言绝句　押先韵	神仙之事何渺然，龙溪蜕骨至今传。此去蓬莱应几许，寻真采药定何年。
凤山石室（明·阙名）　　七言绝句　押寒韵	紫阳真人久不作，勾漏丹砂那可餐。吾将炼药向石室，身骑彩凤觅琅玕。
苏渡怀贤（明·阙名）　　七言绝句　押先韵	钟鼎丹成骨已仙，东坡空唤渡头船。我来二老俱陈迹，绿水青山尚俨然①。
张公洞（明·阙名）	张公婴世网，久抱烟霞致。兹焉远于役，登探始快意。晨邀二三子，振策戒徒隶。搜奇历榛莽，揽胜穷幽邃。言指灵洞游，贾勇各将事。于铄我皇明，奇甸标玉旨。卓彼称先觉，文庄昌其委。后来更数公，济济嗣英轨。寥落百馀年，于今无乃是。尝闻岳降神，申甫同一揆。元运有代谢，考时则可矣。谓予言无徵，请质东坡氏。金鸡第一星，文笔无双士。兹言谁与归，徵应当在此。主人顾予笑，子言良有以。作者非人一，吾生愧衰鄙。置此且勿谈，努力前修企。庶几异代名，或与兹峰比。语毕发长啸，何物终不毁。磨崖各大书，乾坤吾与尔。
芝兰湖（明·阙名）　　押阳韵	芝兰生深林，无人常自芳。君子处阶前，明德惟馨香。游鱼创罝罗，好鸟名鸳鸯。微风动林岸，此心共回翔①。
东安城陈太保祠陈璘像赞（明·阙名）	将军磊落出人群，历尽疆场百战身。天子正开麟阁待，勿言臣鬓已垂银。解甲归来贼垒空，凯歌旌散酒旗风。主恩未报身还在，血战谁论第一功①。
