紫极宫（明·陈琏）　　五言律诗　押文韵	琳宇栖真地①，喧嚣寂不闻。鹿眠沾草露，鹤下破松云。门揭黄金榜，经镌白玉文。曾言修炼士，来此息尘氛。
訾家洲宴集偶成柬董伯琪诸先生（明·陈琏）　　五言律诗　押庚韵	訾洲名胜地，雅集萃群英。绮席临花径，香醪泻玉罂。菰蒲池上鹭，杨柳水边莺。何限沧浪兴，临流更濯缨。
登逍遥楼（明·陈琏）　　五言律诗	幽抱凭谁写，高楼试一登。天边双鸟白，烟外数峰青。岁月淹王粲，莼鲈动季鹰。自惭叨厚禄，无以报朝廷。
喜晴（明·陈琏）　　五言律诗　押庚韵	三月偏多雨，今朝忽睹晴。落花千万点，好鸟两三声。幽草沿阶绿，赪霞入树明。呼童携酒去，聊作赏春行。
题典史邵永龄割股手卷（明·陈琏）　　五言律诗　押先韵	慈母病沉绵，淹淹值暮年。精神俱已耗，药石苦难痊。割股时调膳，焚香夜吁天。此心诚可重，不愧世人传。
书堂秋意为蒋教谕赋（明·陈琏）　　五言律诗　押青韵	秋声惊落木，凉气入虚棂。讲罢风过席，吟馀月在庭。酒分邻瓮绿，灯照壁书青。习静多真趣，还期学考亭。
晚步（明·陈琏）　　五言律诗　押微韵	缓步出南郊，疏林带夕晖。鸦归云作阵，鹭聚雪生辉。桂岭秋来早，漓江叶落稀。偶逢垂钓者，宴坐澹忘机。
题江知事耕学卷（明·陈琏）　　五言律诗　押青韵	学稼勤南亩，传家守一经。草田春放犊，茅屋夜收萤。身岂终嘉遁，名期照汗青。自从鹰鹗荐，归梦绕岩扃。
送柳城幕长古绍先（明·陈琏）　　五言律诗　押阳韵	酌别溪亭上，薰风拂面凉。绿披蕉叶嫩，红绽藕花香。衡岳连天远，湘江入海长。相逢定何日，客思转茫茫。
和司训廖慎初新年述怀韵（明·陈琏）　　五言律诗	炎岭春常早，幽居乐自如。小桃红灼灼，嫩柳绿疏疏。开酒浮新蚁，摊书落蠹鱼。每怀龙马瑞，终日玩河图。
和莫明德新居韵二首（明·陈琏）　　五言律诗　押盐韵	涉世情何苦①，幽居兴独忺。梅花经雪瘦，橄榄着霜甜。石径羊肠小，云峰马耳尖。杜门无一事，诗思定来添。
送柳州府史邓茂（明·陈琏）　　五言律诗　押支韵	郡史朝京去，临流惜别离。银壶桑落酒，锦轴竹枝词。雕鹗云霄志，骅骝汗血姿。行当书上考，拜命出丹墀。
雉山寺（明·陈琏）　　五言律诗　押侵韵	禅林依石壁，僧舍倚江浔。雨过石长润，云归山自阴。听经来野雉，击磬起幽禽。记我登临惯，悬崖有旧吟。
筠窗为修仁邹典史赋（明·陈琏）　　五言律诗	碧筱娟娟净，虚棂面面通。露华寒翡翠，月影舞虬龙。酒熟开新瓮，香清试古铜。幽居何限乐，喜有晋人风。
萧然室（明·陈琏）　　五言律诗　押先韵	松筠最深处，一室喜萧然。宝剑闲藏匣，瑶琴惯上弦。鹿惊烧汞火，鹤避煮茶烟。盛有山林趣，宁知处市廛①。
司业张公玄略斋房夜坐偶赋（明·陈琏）　　五言律诗	璧水斋居夜，开轩不用灯。月华穿槛白，竹色近帘青。香爇龙涎煖，琴鸣鸐梦醒，更深浑不寐。亹亹且谈经。
厢房夜坐（明·陈琏）　　五言律诗　押麻韵	六馆清如许，斋居寂不哗。吟馀诗在稿，坐久烛生花。窗印梅花月，炉烹雪水茶。尘思俱荡涤，幽兴喜无涯。
灵谷寺（明·陈琏）　　五言律诗　押文韵	灵谷钟山下，清幽众所闻。僧传东度法，碑载六朝文。雨过石长润，云来树莫分。我时闲纵步，踏破碧苔纹。
得家书闻舍弟琦来京喜而有赋（明·陈琏）　　五言律诗　押灰韵	偶得乡人信，今秋道尔来。家书千里至，怀抱一时开。准拟同联句，安排共举杯。从今思更切，频上凤凰台。
藏杏为医者赋（明·陈琏）　　五言律诗　押麻韵	一坞千株杏，春来喜著花。托根真得所，生意自无涯。鸐背沾红雨，莺声隔綵霞。几时林下去，相对饭胡麻。
