送王克敏赴安丰录事兼简元中宣差（明·陶安）　　五言律诗　押灰韵	同入南宫试，逡巡愧不才。都城留字别，升郡寄书来。寒雪森松桧，春阳活草莱。长官烦问讯，东楚忆持杯。
题孔隐君挽诗卷（居溧阳）（明·陶安）　　五言律诗　押阳韵	墓木年来拱，庭兰日有芳。与君虽不识，闻誉亦堪伤。田宅金渊在，源流泗水长。禹钧㈠阴德厚，遗绪未茫茫。
挽明威将军逊都台公（明·陶安）　　五言律诗　押寒韵	酒罢耆英社，官辞上将坛。庞眉年冉冉，幽宅夜漫漫。芝砌生馀馥，兰亭蔼旧欢。伤情人不见，尘锁虎皮鞍。
挽发蒙师何益甫先生（讳友闻）（明·陶安）　　五言律诗　押东韵	晚徙古城东，清贫四壁空。乾坤同逝水，林壑老西风。大梦超浮世，行踪在泮宫。呜呼今已矣，挥泪寂寥中。
题杨生诗集（字子直）（明·陶安）　　五言律诗　押麻韵	洙泗既删定，汉魏渐浮华。贵不失情性，当知有正葩。杨生吟调古，老子喜容加。白璧磨来瑩，何难成一家。
次宿迁（明·陶安）　　五言律诗　押庚韵	过尽长淮北，黄河绕故城。顺风催客去，新冻阻舟行。酒薄情偏洽，鱼肥价转轻。沂州彭别驾，隔境诵廉明。
途中偶书所见（明·陶安）　　五言律诗　押豪韵	碾轮临古道，桥柱卧枯壕。墙曝桑皮纸，锅炊枣肉糕。卖鱼携网袋，牧马绊槎槽。别有伤神处，屋空人已逃。
送易长卿二首（明·陶安）　　五言律诗　押歌韵	南仕衣难绿①，东归鬓欲皤。儒流淹赞佐，官事辍吟哦。春动芝兰砌，秋澄菡萏波。长官前进士，降揖礼容多。
东莞道中（沂水县）（明·陶安）　　五言律诗　押侵韵	鲁地多黄壤，沂源出碧岑。雪残靴迹浅，沙软辙痕深。蒿火烘荞饼，麻袍护絮襟。过山方入县，云冷日沉沉。
入临朐境（明·陶安）　　五言律诗　押删韵	宿迁离半月，方度穆陵关。到府八百里，驱车千万山。路虽多险峻，身不倦跻攀。沽酒投村店，相看一破颜。
自大关至小关（明·陶安）　　五言律诗　押真韵	山径多盘折，无劳怨苦辛。深岩不见日，冻雪几经旬。衣薄肌生粟，轮驰眼翳尘。想应慈母意，日日念①行人。
过临朐（古骈邑㈠）（明·陶安）　　五言律诗　押歌韵	沵桥临古堞，骈邑据平坡。行到无山处，方知有路多。客游何慷慨，霸业久消磨。烟树斜阳里，遥闻晚唱歌。
临淄道中（明·陶安）　　五言律诗　押庚韵	晨起不梳发，出门天未明。路迷寻辙迹，村远绝人声。淄水滔滔逝，齐城杳杳迎。两层高白塔，不似霸基倾。
客途岁晚（明·陶安）　　五言律诗　押寒韵	风雪一年残，功名半纸难。心劳杯量减，腰瘦带围宽。草枥牵驴饲，蒿薪煮鲫餐。靴泥聊拂去，旅宿且求安。
次东无棣（明·陶安）　　五言律诗　押灰韵	土屋老荒苔，丰年亦可哀。塔檐飞十级，城址拥孤台。雪积驼蹄陷，云轻鸟翅开。县庭贫少府，举酒更怜才。
送人赴幕职（明·陶安）　　五言律诗　押豪韵	浙西第一县，幕下总诸曹。兴逐云山远，心忘案牍劳。写诗嘲月兔，呼酒擘霜螯。应有宽民策，方知赞画高。
送人赴浙东（明·陶安）　　五言律诗　押盐韵	处俭爱齑淡，嗜经如蔗甜。香煤浮砚沼，短烛照书帘。鲒岸涨春雨，鳅潮沃夜蟾。十年交谊厚，两地别怀添。
送䔍彦诚赴官绍兴并寄徐国宾二首（明·陶安）　　五言律诗　押虞韵	省榜名同荐，云泥势却殊。文章动明主，字牧选英儒。联桂荣珂里，芳莲满鉴湖。廛氓应感惠，好是砺廉隅。
富春山僧隐居（明·陶安）　　五言律诗　押先韵	林壑幽闲处，烟霞卜筑缘。寸心空万虑，丈室现诸天。香掬昙花露，清疏茗树泉。冥飞逃世网，尚友子陵贤。
题刘履道行卷（明·陶安）　　五言律诗　押侵韵	分得梅溪派，湖皋润泽深。藜烟照书閤，芹雨沐儒林。白发寒毡梦，青山故国心。园亭好花竹，几度望佳音。
