情诗其一（清·仓央嘉措）　　七言绝句　押庚韵	东山崔嵬不可登，绝顶高天明月生。红颜又惹相思苦，此心独忆是卿卿。
情诗其九（清·仓央嘉措）　　七言绝句　押庚韵	欲倚绿窗伴卿卿，颇悔今生误道行。有心持钵丛林去，又负美人一片情。
情诗其八（清·仓央嘉措）　　七言绝句　押庚韵	暗香袭处佩环鸣，美眸善睐未分明。临去莞尔还一笑，忽与余兮两目成。
情诗其十一（清·仓央嘉措）　　七言绝句　押遇韵	洞房一夜照花烛，卿卿嫁作他人妇。相思如狂心如灰，为情憔悴向谁诉？
情诗其十二（清·仓央嘉措）　　七言绝句　押真韵	侯门一入似海深，欲讯卿卿问鬼神。此情惘然逝如梦，镜花水月原非真。
情诗其四（清·仓央嘉措）　　七言绝句　押阳韵	欲题新词寄娇娘，风吹雨蚀半微茫。我有相思千般意，百磨不灭铭肝肠。
情诗其七（清·仓央嘉措）　　押阳韵	竟日冥思绝妙相，碧落黄泉两茫茫。奈何红颜一时现，不需枯坐与焚香。
情诗其二（清·仓央嘉措）	愿与卿结百年好，不惜金屋备藏娇。一似碧渊水晶宫，储得珍稀与奇宝。
情诗其二十（清·仓央嘉措）	欲语幽情期红裙，平林漠漠柳枝深。除却当时画眉鸟，风情许知一佳人。
情诗其二十一（清·仓央嘉措）　　押萧韵	姹紫嫣红一时凋，舞衣不称旧舞腰。争教蜂蝶两相断，袖底羞见檀郎招？
情诗其二十七（清·仓央嘉措）	柳枝经风叶未凋，当时愁损画眉鸟。今日重入歌舞地，逢见卿卿又魂销。
情诗其二十九（清·仓央嘉措）　　押有韵	结束花帽下妆楼，雕鞍别时每牵手。怜郎愁绝还相劝，时日无多再聚首。
情诗其二十二（清·仓央嘉措）	绿窗深情不忍离，去离徊徨意转迷。久拟深山学修法，又延行程到后期。
情诗其二十八（清·仓央嘉措）	今夜新月似蛾眉，时还暂去时还归。记取临行重来约，月成钩时人成对。
情诗其二十三（清·仓央嘉措）	崔嵬东山与天齐，红颜迤逦隔云梯。相思萦系解语花，心似奔马雪蹄疾。
情诗其二十五（清·仓央嘉措）　　押阳韵	飞短流长断人肠，情怀恻恻每神伤。惆怅玉人独归去，芳草萋萋满斜阳。
情诗其二十六（清·仓央嘉措）　　押侵韵	故园迢迢忆双亲，每对卿卿泪满襟。千山万水相追寻，始信卿心胜娘心。
情诗其二十四（清·仓央嘉措）　　押阳韵	倾城美色竞群芳，品茗斗酒擅欢场。欲共卿卿两相悦，不期魂魄归帝乡。
情诗其十（清·仓央嘉措）	掌上明珠价几何，无心未曾思量著。一朝归携他人袖，那时伤情泪痕多。
情诗其十七（清·仓央嘉措）	端居布拉达宫时，仓央嘉措称上师。夜醉酒楼美女侧，衲本人间一浪子。
