宝剑（清·尤怡）　　五言律诗　押庚韵	宝剑芙蓉锷，韬光匣里横。星辰秋忽动，风雨夜还惊。边郡今多事，故人方远征。徘徊欲相赠，不独为平生①。
润州城头晚眺（清·尤怡）　　七言律诗　押尤韵	高城一面拥横流，客思遥将晚色愁。千嶂云霞方落日，大江涛浪欲惊秋。岂无铁锁防飞渡，亦有牙旗镇上游。六代纷纷竟何有，断帆渔火在瓜洲。
秋晚登楼（清·尤怡）　　七言律诗　押尤韵	淡云含雨过城头，独自凭阑豁远眸。万木秋声来大壑，乱山寒色上危楼。登临不为依人感，摇落应添揽镜愁。闻道菊花堪泛酒，共谁来此一消忧？
馆娃宫（清·尤怡）　　七言律诗　押东韵	峰顶曾闻置别宫，艳歌娇舞欲无穷。美人一去碧云冷，行客独来山殿空。香径落花春度曲，古廊依树夜鸣风。登临漫为勾吴感，旧馆荒台处处同。
江上闻笛（清·尤怡）　　七言绝句　押萧韵	沧江秋霁暮烟消，玉笛频催客思遥。回首姑苏愁不见，海门明月上寒潮。
记得（清·尤怡）　　七言绝句　押先韵	曲尘微漾薄寒天，脉脉情怀似去年。记得兰桡送君去，东风新柳板桥边。
白秋海棠（清·尤怡）　　七言绝句　押支韵	谁将清泪洒幽墀，散作瑶华别有姿。最是玉人肠断后，淡妆无语背人时①。
秋雁篇（清·尤怡）	金河八月清霜度，鸿雁嗷嗷引征路。初从塞北辞黄云，旋向江南认红树。红树黄云万里程，秋风岁岁事南征。风起沙头见清影，月明天畔闻孤声。此去汀洲宿何所，苍梧云深夜来雨。休言田野多稻粱，须识江湖有网罟。珠帘翠幕谁家楼，美人初卷珊瑚钩。一片乍横江上影，数声犹带塞门秋。忽忆征人碛中见，书成不寄情空乱。知君遥心愁共飞，思君远目迷方断。目断心飞人不归，年年空自寄相思。傥念空闺人独夜，梦回无语雁来时。
杂感（清·尤怡）　　押麌韵	春至阳气动，轻雷殷方鼓。晴川泛朝光，草树沐新雨。农人负耒出，操作及童竖。有生宁不劳，俯仰各有取。曰余本拙懒，逝将事农圃。所急在治生，岂伊慕高古。贫贱惜筋力，忧伤亦何补①。
山居杂兴（清·尤怡）	晨起草木湿，林霏散清曙。始知东峰云，夜作涧上雨。光风叶上泛，新泉草下注。群鸟林际鸣，游鱼水面聚。万物各有分，劳生转多慕。倖中成虚名，多为来者误。君看区中缘，扰扰曷有数。
刘东郊归自关中述华山之游为作诗纪之（清·尤怡）	刘君新从华阴归，为我口述华山游。华山巀嵲五千仞，金精白气西作秋。初向云台辨云树，已是希夷栖隐处。足捷如骑酒家龙，眼明未厌公超雾。径回路绝飞鸟还，青壁杳蔼凌云端。停策仰望坐叹息，安得羽翼临风翻。垂垂铁绠一千丈，烈日长风久摩荡。半足入壁出壁间，双手缘云上云上。苍龙当我来，兀奡露半背，我欲踏之势恐坠。不知天际去之几，俯视人间已无地。此时贾勇气转健，矫首三峰忽当面。峰顶玄鹤鸣向人，云中玉女遥相见。仰天长啸天宇空，浩浩万里来罡风，幸不吹堕尘埃中。五陵北原青未已，黄河无声流向东。平生浪迹长游衍，太华峰头足萧散。以兹顿遣胸中忧，却使云泉今尚婘。吾闻此语心茫然，天池仙掌纷眼前。忽忆十年意不乐，魂梦却堕东峰巅。何时拄杖凌紫烟，仙人金液非我意，试看峰头玉井莲①。
