闺中閒咏（清·张学雅）　　七言绝句　押东韵	竹院萧萧人语空，夜来风雨太匆匆。侵晨独倚阑干角，閒数池莲几朵红。
浣溪沙 春日（清·张学雅）	无事闲庭不启扉。箧香空叠旧罗衣。绿浓红淡恨依依。睡起海棠香梦足，隔帘芍药淡烟迷。春来春去总堪疑。
浣溪沙（清·张学雅）	向晚妆成懒出帷。徘徊对镜蹙愁眉。自怜欢少只多悲。花弄影时庭正午，鸟惊啼处日西垂。觉来幽梦已难追。
减字木兰花 临镜（清·张学雅）	晓寒侵箔。锦帐佳人初梦觉。情绪如痴。一种幽魂枉自持。菱花乍起。忽见嫦娥来月里。髻腻云香。鬓掠兰花时样妆。
海棠春 秋海棠（清·张学雅）	西风吹展胭脂片。愁绝处睡醒难辨。试卷晓帘看，酒晕杨妃面。雾笼烟锁供肠断，花史还嫌秋色淡。故把雨丝飘，染得红堪玩。
蝶恋花 春晚（清·张学雅）	九十韶光怜未赏。一地芳菲，似与愁争长。幽鸟初惊莺两两。昼眠人静闲书幌。霁雨初晴天色爽。寂掩重门，风弄花枝响。蛱蝶恋花飞不放。几回绕遍空枝上。
拂霓裳 病起（清·张学雅）	暗年芳。日暄初换薄衣裳。扶病起，含情对镜懒梳妆。任繁红消索，从柳絮轻狂。损春光。唯怜兰蕙、伴我清凉。多情须戒，潘仁鬓、易沾霜。从今后，愁来切莫细思量。一翻风雨过，落尽满园香。最堪伤。依依茸草、绿遍回塘。
满江红 春景（清·张学雅）	高阁烟笼，旭光初照垂杨院。粉蝶黄蜂花下度，韶光堪玩。乳燕飞时莺又老，芳菲无限肠空断。红笺书、恨小字题愁，挥檀翰。纱窗静，写为伴。栏杆外，红尘乱。正池塘草长，烟波平岸。闲坐兰闺垂绣幕，隔墙唯听幽禽唤。说十分春色九分消，增长叹。
桂枝香 咏桂（清·张学雅）	生随满月，香散在清秋，岂遭蜂蝶。潇洒小山丛茂，群芳敢杂。成蹊桃李争春艳，到如今，也堪羞杀。一秋三度，天香缭绕，广寒宫阙。真称得，中央配色。更琼叶难凋，情傲霜雪。一种凄凉风韵，霏霏金屑。而今谁把吴刚斧，丹梯千级虚陈设。珠英万斛，姮娥自贮，未容攀折。
生查子  见《林下词选》、王昶《国朝词综》（清·张学雅）	梦醒烛条斜，何事频添泪。清夜正迢迢，绿焰煎心碎。绣帐冷薰篝，香腻鸳鸯被。懒卸玉搔头，一刺和衣睡。
菩萨蛮 柳絮（清·张学雅）	飞绵糁径无消息。因风管领东南陌。小榭正无聊。漫天作雪飘。珠帘愁未捲。浪迹浮踪远。舞怯点池塘。萍浮绿渺茫。
菩萨蛮 代闺怨（清·张学雅）	纤纤眉月窥帘小。夜深人静闲庭悄。香袖倚栏杆。玉阶花露寒。钿筝弦断续。懒奏归云曲。微湿素笺红。灯前带泪封。
蝶恋花 夜雨（清·张学雅）	门掩苍苔春寂寂。暮雨潇潇，隔著窗儿滴。小院黄昏人独立。一双飞鸟归栖急。万里潇湘云雾湿。帘外风声，疑是吹芦荻。肠断梅花和泪泣。还惊夜半高楼笛。
蝶恋花 春晚（清·张学雅）	紫燕双飞春去了。桃李枝头，留得春多少。帘箔重重人悄悄。相思一半萦芳草。空忆故园归去好。正是池塘，绿满荷钱小。深院垂杨烟缭绕。落红荒榭啼鹃老。
烛影摇红 秋思（清·张学雅）	摇落江天，一庭淡日闲清昼。素衣时怯晓风侵，睡起笼金兽。病后东阳消瘦。凭高几度空回首。篱边疏菊，天际孤鸿，年光依旧。不解双蛾，偏将恼恨深深覆。莲房泣露粉香愁，池水风吹皱。昨夜雨轻寒骤，海棠满砌胭脂透。暮蝉疏柳，黄叶堆阶，断肠时候。
浪淘沙慢 冬至夜作   见《林下词选》、顾贞观成德《今词初集》（清·张学雅）	正凄凄，黯然独坐，一灯明灭。情绪此时难说，柳眉空锁双叶。奈诗句慵题逢令节。怕描出、寸肠千结。念往事、星霜容易换，空庭又飘雪。悲咽。耿耿雁鸣天阔。不道悄悄画堂深处，有个人愁绝。抱影自寻思，清夜魂怯。昏烟凝白，向小窗、独语一钩残月。兰麝消、鸳衾空叠。香闺静、更筹将歇。凄风凛、嫩寒侵透袷。想何处、可使遣愁，除入梦，蘧蘧幻成个蝴蝶。
