严陵江（清·张英）　　五言律诗　押灰韵	千嶂桐庐道，清风几溯洄。不知天子贵，犹是故人来。垂钓本无意，披裘亦浪猜。翻嫌人好事，高筑子陵台①。
赠何匡山次梅村先生韵（清·张英）　　七言律诗　押阳韵	蚤年逸兴在沧浪，水国移家发半苍。但有一经扬子宅，曾无千树木奴庄。清琴浊酒莺花日，雨笠烟蓑蟹稻乡。棠荫渐高身渐隐，已将心事托渔郎。
送钱饮光归里门（清·张英）　　七言律诗　押先韵	湖海人归已廿年，卜居犹待卖文钱。欲谐禽向三山约，须觅枞江二顷田。花雨红时携锸往，荷香深处抱书眠。剪镫频话家园好，未遂沧浪意惘然。
夏浅（清·张英）　　七言律诗　押阳韵	身逐霜蹄底事忙，吾庐高寄水云乡。旧营花坞三间屋，新购溪桥十亩庄。村绕绿畴偏衍沃，峰围紫翠总苍茫。何缘却向风尘老，白尽髭须减尽狂。
安平晚渡（清·张英）　　七言律诗　押微韵	津头遥见碧波飞，一叶扁舟趁落晖。风力满帆成独往，棹歌临水送将归。孤城战垒空埋骨，草舍渔村半掩扉。为语行人莫惆怅，时清鱼鸟已忘机①。
赠螺浮黄门次龚合肥韵（清·张英）　　七言律诗　押元韵	十年霜雪老黄门，抗疏群知国体尊。岳鹿折来真有胆，山龙补处自无痕。漫言盘错昭臣节，偏向风尘识主恩。亲见闾阎凋敝甚，《郑图》还与绘千村。
四郊杂诗（清·张英）　　七言绝句　押麻韵	不须桃李斗夭斜，底事芙蕖飐晚霞。最是野田芳草畔，一枝闲澹女郎花。
平陵宜山堂诗（清·张英）　　押阳韵	我闻宜山堂，结构平陵阳。群公争赋诗，佳咏皆琅琅。何处最宜山，奇峰出短墙。石屋一片云，黛色映筼筜。隔帘见幽壑，入户飞层冈。枯藤与古木，掩映多奇光。峰影落清泉，水面还苍苍。何时最宜山，山静觉昼长。朝霞与夕烟，树色分微茫。春明山翠浓，夏雨山风凉。明月出远岫，秋峰群相望。何人最宜山，先生称古狂。芒鞋筇竹杖，荷衣薜荔裳。看山无朝暮，一卷或一觞。手招西爽来，披襟从徜徉。斯景与斯人，是名宜山堂。
枯松行（清·张英）　　押先韵	慈仁古松树，苍老不记年。高下近十株，为态各自妍。中有双龙鳞，蟠曲香台前。松顶近可摩，高枝才覆肩。屈彼百尺势，空阶恣蜿蜒。横侧益奇绝，影若蛟螭眠。涛声走平地，双树撑如拳。似此苍劲质，止宜空山巅。藉以一片石，濯以清浅泉。谡谡响绝壑，垂手招列仙。何将故山态，老却车尘边。横遭厮养辱，强索冠盖怜。冠盖那复顾，日落生寒烟。一夕风雨过，萎黄何忽焉。众松失颜色，台殿增寂然。惜彼凌霜姿，遽随群卉迁。吾子勿复叹，物各全其天。
郊行（清·张英）　　押元韵	性拙寡所谐，蚤岁归田园。篮舆游近郊，指顾农家村。暧暧茅茨接，依依桑柘繁。今年雨泽时，耕获及高原。良苗怀好风，浅碧翻波痕。叹彼耨者劳，汗滴秋禾根。我独饱稻粱，毕世惭君恩。
四郊杂诗 其二（清·张英）	少小日长思隐几，冬烘头脑意难堪。一从失却青青须，始觉人间午睡甜。
拟古田家诗（清·张英）	柴门拥溪水，溪响无朝昏。农夫荷锄倦，独倚秋树根。顾我田畴好，念我桑麻繁。脉脉不能语，感兹风雨恩。风雨岁时熟，古俗今犹存。遥指烟生处，亲戚满前村。稚子驱鸡犬，夜来忘闭门。何以酬清时，努力从田园。昔爱诵《豳风》，亦常歌《小雅》。桑柘栖鸡豚，结庐在中野。春菑方扶犁，秋禾倏盈把。野老乐时和，高枕瓜棚下。田家老瓦盆，新醪月中泻。击鼓赛先农，调瑟娱方社。何必桃花源，此境足潇洒。风尘久误人，我岂悠悠者。新晴土膏动，原上春草生。陂塘引涧壑，活活春水鸣。桑阴悦好鸟，布谷时一声。夜来饱饭牛，朝来从耦耕。耦耕一畦毕，淡泊心无营。偶然召邻叟，索取壶觞倾。高谈视天壤，把酒欢平生。面无忧喜色，胸无宠辱情。始知于陵子，灌园逃公卿。
读汉书（清·张英）	壮哉霍子孟，易置多英风。离席按剑时，发议惊群公。走马杜鄠间，曾孙方困穷。手挈天子玺，授之咸阳宫。海枯石可烂，孰能訾其功。珠襦黄金匣，甫葬茂陵东。狐鸣尚冠里，妻子烟尘空。秺侯杀弄儿，累世亢其宗。子孟庇阿显，九族罹悯凶。割爱与殉私，延促霄壤同。臣术惟敬慎，庶几保厥终。
读元道州贼退示官吏诗慨然有作（清·张英）	我爱元次山，诗篇独简质。短章如长谣，仁心自洋溢。至欲委符节，甘心就鱼麦。昔人志康济，岂云耽暇逸。置身君民间，无能澹忧恤。汗颜拖长绅，不如腰带铚。贤哲耻旷官，斯义久萧瑟。谁无湖畔山，浩歌抚遗帙。
