出西郊道过摩诃庵经前明宦寺葬地（清·方登峄）　　五言律诗　押寒韵	易代一抔土，累累葬宦官。馀威剩碑碣，流毒在衣冠。树接宫云密，钟敲佛火残。东京乔固冢，鬼哭北邙寒①。
望南信不到（清·方登峄）　　五言律诗　押寒韵	不见儿书至，应知下笔难。有心慰衰老，无计说平安。关塞寒云早，门庭落叶残。倘逢南雁过，便当室家完。
七兄以诗慰病和答（清·方登峄）　　五言律诗　押东韵	形骸百炼后，心事五更中。苦海终无岸，愁城岂易攻。道危迷老马，边远失归鸿。谁谓青天阔，浮云亦碍空。
侄庄携何陋居集苏庵集诗读之感赋（清·方登峄）　　七言律诗　押支韵	五十年前罹祸日，征车行后我生时。岂知今日投荒眼，又读先人出塞诗。久远孙谋文字累，苍茫天意始终疑。携来笑尔非无意，似此生还亦有期。
纪事（清·方登峄）　　七言律诗　押阳韵	争看金甲健儿装，玉辇云移下凤皇①。都尉鱼丽开细柳，将军猿臂射长杨。蟊孤露冷摇秋月，韎韐风高带晓霜。大阅至尊非好武，良弓不为太平藏。
与毛会侯（清·方登峄）　　七言律诗　押寒韵	耆英洛社旧登坛，四十归来早罢官。赴召有谁谗贾谊，输租今已累儿宽。休嫌华发功名薄，毕竟青山岁月难。诗酒柴桑堪闭户，文章千古不凋残①。
端州采砚行（清·方登峄）	紫云砚采端州畔，端州城峙牂牁岸。峡束羚羊复北趋，十里青山耸天半。山腰有穴仅容人，山脚端溪流涆涆。溪源暗与穴凹通，积水灌中泥不暵。瓠罂往汲如传杯，水枯石出寒云散。豚膏然纸匍匐行，旭日无光晓不旦。俯身直入中渐宽，东西中洞三途判。西洞望之皆却足，劖凿伤崖崖欲断。中洞东洞半里穿，岩壁嶙峋起玉案。上岩石质艳且纯，马肝色比朝霞灿。质润色青分中岩，不及下岩居其冠。微白冉冉淡秋光，抚手摩之生石汗。石髓精华结渊底，生成独与水为伴。七晕九晕鸲鹆睛，微尘细藻秋花乱①。欲散不散氤氲生，互虹气聚黄龙贯②。蕉叶凝脂鳣血红，雀点斑斑洒墨翰③。细粟丹砂玉带长，绿匀翡翠苔花曼④。奔为火捺聚金线，绛云割取分霄汉⑤。水冲石蚀虫齧余，黄金细缕添宫线⑥。三岩辨色色不同，莹瑕无掩莹光面。朝天岩产阿婆滩，碝砢易紊玫环炫⑦。西坑北岭屏风山，披离败锦松纹见⑧。宣崖虎患采者稀，坑远梅花质尤贱⑨。什袭琉璃百砚充，不及水岩余一片。香山宰相⑩粤制府⑾，前后开岩相继武。钩索不惜捐千金，尺寸蓝田杂硎砮。日役黄冈数十人⑿，胥吏督程运斤斧。匿好献丑工师情，荆璞由来能预剖。迂性生平有砚痴，操舟三泊黄冈浦。比户千家琢石声，村民恃此充羹釜。购得下岩六寸余，五星灼耀东南聚。色和容暖融春膏，昭仪臂滑罗襦舞。莹洁神凝太液冰，生气濛濛时欲雨。缇䌌十重等鸿宝，磨砻搜辑心良苦。产者无多购者多，山灵侧耳听我歌。砚兮砚兮慎所择，须向石渠虎观挥毫驰骋帝王侧。否则穷深山，游大泽，枕图书而倚岩阿，供高人文士淋漓纷葩之笔墨。毋入富豪丛，毋使市儿窃，终古风尘埋玉玦。砚兮砚兮生莫竭，常使霄汉之间饶奇物。待我他年此地续旧游，买船载石神术移山向吴越。
秦女休行（清·方登峄）	一尺髻，三尺刀。仇人头，在女腰。渭水深，华山高。血风腥，天冥冥，手提髑髅气峥嵘。法吏执之付以理，女欲报仇，先办一死。后来又有庞娥亲，千古英雄在女子①。
盘中诗（清·方登峄）	木刻鸠，纸剪马。飞山头，走山下。露贯殊，纫为襦。云裁衣，烂光辉。是耶非，孰辨之。六月桑，吐蚕丝。冬之蕙，茁新枝。尔所思，非其时。素者发，丹者泪。心恻恻，老已至。骨肉残，风雨驶。寸有长，尺有短。双轮驰，不可挽。我所急，天所缓。击瓦鼓，声乌乌。白云满天歌且呼，歌周四角旋中区①。
老枪来（清·方登峄）	老枪来，江边滚滚飞尘埃。七月维秋，鬻彼马牛。马牛泽泽，易我布帛。大车是将，爰集于疆。来莫入城，俟天子命以行。天子曰都，远人适馆饩以糈。高颧眢目卷髭须，狐冠草履游中衢。观者鼓掌相轩渠，岁以为期兮日月徂。归去，归去，豢尔牛马驹①。
古诗（清·方登峄）	勿效步兵哭，应比士龙笑。有时笑亦哭，不在音与貌。钟鼓可以哀，长歌可以吊。寸心无营求，流泉净泥淖。味淡声亦希，渊然涵众妙。笑哭两不关，天半发清啸①。
村北（清·方登峄）　　押支韵	野旷朝霭清，峰高日半规。远风吹水气，澹林结幽姿。策蹇访故人，村北路逶迤。碧阴漾千亩，凉露沁心脾。刈麦走田父，妇子相追随。老翁欣得食，回头顾其儿。大儿束麦把，小儿抱豆枝。歌笑偕邻叟，饮濯清湍湄。留连缓去路，寓目心情怡。田间有真乐，朝市知者谁？
霜迟乐（清·方登峄）	七月不落霜，卜魁城边糜子黄。八月霜不落，千夫下田总欢乐。官田刈谷载满车，官兵急公先完租。毳帐牛车十日路，驱向城中易茶布。和茶煮谷布裁衣，卒岁不忧寒与饥。人人尽乐霜迟好，荞麦沙田收更早。但愿年年不出兵，官兵皆作农夫老。
