舟抵淡水，台湾总督联合官绅到车站欢迎，谨赋一律志谢（清·施景琛）　　七言律诗　押尤韵	十年三度访瀛洲，破浪乘风纪壮游。难得衣冠观上国，敢将砥柱负中流。桑麻况味惊更改，桃李交情感唱酬。自是群公推挽重，舟车名刺不胜收。
赠民政长官高田元治郎（清·施景琛）　　七言律诗　押江韵	扶桑东去水淙淙，风度端凝忆曲江。五日岂存京兆想，十年定见健儿降①。酒龙诗虎罗官廨，玉敦珠盘笃友邦。故国改弦吾辈责，尊前热血已盈腔。
台北厅长井村大吉招饮龟山第二发电所公廨，即席奉赠（清·施景琛）　　七言律诗　押灰韵	相逢海外尽奇才，我亦何曾壮志灰。流水声中刚驻策，桃花香里又衔杯。吟风自笑诗如草，题石还愁字易苔。多感因缘联翰墨，群仙抗手上蓬莱。
赠林叔臧京卿（清·施景琛）　　七言律诗　押真韵	椒糈登筵岁又新，朝衣恍惚认京尘。东西莫说吴和越，朝暮谁分楚与秦。万事都成黄雀后，两家难共绿杨春。七鲲风月同杯酒，热闹场中冷落人。
赠李景韩参事（清·施景琛）　　七言律诗　押先韵	羽扇纶巾望若仙，未容身世学寒蝉。多君情谊非关酒，如我功名不值钱。四座看花饶眼福，十年骑鹤博腰缠。故家今日萧条甚，愿与牵萝托仔肩。
赠辜君显荣（清·施景琛）　　七言律诗　押鱼韵	中年豪气未消除，博得奇勋愿不虚①。苏武寄书犹有雁，冯驩弹铗岂无鱼②。齐盐北海恒通市③，汉扇南阳自结庐。尊酒论交裙屐盛，管弦声里月明初。
赠林君薇阁（清·施景琛）　　七言律诗　押豪韵	东风一曲倚檀槽，杜牧风流亦足豪。得友且拚元亮酒，愤时况读屈原骚。懒云身世嗟吾倦，馋水功名羡汝高。知否三山弦诵夕，莘莘学子故人袍①。
赠魏君润庵（清·施景琛）　　七言律诗　押文韵	笔削春秋一席分①，词锋曾扫万人军。旗亭送别歌三叠，舞榭催归酒半醺。弹指年华成逝水，酸心门巷易斜曛。放翁团扇家家画，声价如侬值几文②？
游瑞芳金山（清·施景琛）　　七言律诗　押元韵	群山万壑似荆门，瓦屋鱼鳞别有村。欧冶大开天地铸，邓钱终荷帝王恩。草人事业殊罗掘，瓯脱精华转保存。衮衮忧贫成底事，神州龙马待开源。
工商会长木下新三郎开催园游会，口占奉赠（清·施景琛）　　七言律诗　押阳韵	此生何福入仙乡，玉盏琼浆取次尝。杨柳楼台春未老，枇杷门巷日方长。谢君棋局丁丁响，荀令衣痕叠叠香。十里东风花事好，且从潘岳问河阳①。
蔡君法平两宴北投松涛园留题一律（清·施景琛）　　七言律诗　押灰韵	岚翠无端落酒杯，隔帘人影费疑猜。骊歌宛转行将别，蝶梦依稀唤欲回。竹院似逢僧共话①，蓬门半为我频开。桃花莫怨东风老，前度刘郎感又来。
赠林君季商（清·施景琛）　　七言律诗　押麻韵	醉眼愁看姊妹花①，后庭犹自唱天涯。倦游竟下陈蕃榻②，病渴新尝陆羽茶。都尉风流年尚少③，周郎月旦愿非奢。此间虽乐应思蜀，记否长安帝子家④？
赠嘉义厅长津田毅一（清·施景琛）　　七言律诗　押虞韵	宋嫂鱼羹压卓炉，居然有鸟唤提壶。万花帘慎开宫锦，五马门庭拜郡符。迟我贾生犹太息，壮君宗泽共三呼①。玉颜若问春消息，胜得珠江蛋妇无②。
台南馆开催茶话会即席赠台南、嘉义、阿堠三厅长（清·施景琛）　　七言律诗　押东韵	一帆直送马当风，高阁滕王酒正中。患难余生惊独客，遭逢盛会拜群公。山山水水身殊倦，燕燕莺莺语未通。憔悴形容新耳目，此行岂许作痴聋。
赠赵君云石（清·施景琛）　　七言律诗　押庚韵	海外论诗浪得名，英雄儿女罄平生。伤心故国家何在，横涕新亭岁几更。笑我才华成画饼，叹君骨肉等分羹。中原今日还多事，鹤唳风声处处惊。
全台绅商公燕台南馆，即席奉赠（清·施景琛）　　七言律诗　押庚韵	落拓青衫泪欲盈，琵琶呜咽不成声。汉家伏腊今犹在，晋代衣冠近未更。燕雀处堂知自警，驽骀伏枥感哀鸣。尊前无限伤心事，抛却天涯旧弟兄。
赠连君雅堂（清·施景琛）　　七言律诗　押鱼韵	十年阔别久无书，时局艰难况起居。热泪不知何处洒，愁眉能得几回舒。唐宫忍见衔花鹿，汉室宁忘得水鱼。差幸武灵犹变法，吾生百愿傥非虚。
赠台湾日日新闻社、台湾新闻社、台南新闻社记者及南社、栎社、瀛社诸词宗（清·施景琛）　　七言律诗　押先韵	肠断桄榔黯黯天，弃民身世有谁怜？东山丝竹中年感，北海琴樽异地缘。田岛英风怀五百，孔门遗教仗三千。诗人寄托原余事，此去休忘祖逖鞭。
赠台湾总督府属池浦和三郎、台南厅属牧野斌、盐务专卖所支配人钜鹿赫太郎（清·施景琛）　　七言律诗	相逢海外若平生，谁主谁宾谢送迎①。千里不胜轮铁倦，同文多感译鞮清。晓风残月余诗梦，豪竹哀丝带酒醒。东亚且联唇齿谊，两家门户各支撑。
林君薇阁饯别一力酒馆，感赋一律（清·施景琛）　　七言律诗　押灰韵	抛砖引玉上吟台，争奈离筵酒又催。易水有歌终怛恻，扬州无梦枉疑猜。前头鹦鹉浑难诉，满地梨花亦可哀。恼煞薛涛笺骤贵，裙钗也解索诗来。
