庚戌1790秋暮赴澎湖赈恤风灾遇飓折至东吉洋默祷于神始抵澎之峙里澳诗以志险（清·杨廷理）　　五言律诗　押真韵	为议澎民赈，劳予百战身。风波惊乃觉，天佑祷逾神。浪息鱼龙静，光开日月新。不知漂泊者，曾有未安人①。
庚戌1790秋暮赴澎湖赈恤风灾遇飓折至东吉洋默祷于神始抵澎之峙里澳诗以志险（清·杨廷理）　　五言律诗　押阳韵	风急难为定，纵横东吉洋。惊人千顷浪，抚己九回肠。云气倏开爽，天心宁①混茫。不波殊可庆，恋阙敢相忘②。
庚戌1790秋暮赴澎湖赈恤风灾遇飓折至东吉洋默祷于神始抵澎之峙里澳诗以志险（清·杨廷理）　　五言律诗　押蒸韵	利涉惟忠信，姱修无一能。望洋情绪怯，飞渡眼花腾。宦海原如此，惊涛见未曾①。嗒然何所恃，方寸实堪凭②。
庚戌1790秋暮赴澎湖赈恤风灾遇飓折至东吉洋默祷于神始抵澎之峙里澳诗以志险（清·杨廷理）　　五言律诗　押寒韵	渐见月如昼①，金波万里宽。参差鱼舍远，高下浪花寒。夷险皆前定，驰驱敢畏难。嗟予还泛泛，久矣绘图看②。
绥定晓行（清·杨廷理）　　七言律诗　押庚韵	月伴长庚向晓明，烟光澹沱隐岩城。薄寒未厌征裘重，长路偏知客骑轻。塞树森森含翠色，溪流曲曲送泉声。到来了却公家事，一盏清樽话短檠。
漫兴（清·杨廷理）　　七言律诗　押删韵	看云玩雪六年闲，人笑粗疏自笑顽。钓艇不来伊丽水，芒鞋谁上格登山。一庭枯柳留空影，尺幅虚花伴醉颜。车马追陪边塞久，此心未信出天悭。
城中即事（清·杨廷理）　　七言律诗　押齐韵	半日坚冰半日泥，牵车走马涴轮蹄。风开翠盖松舒秀，鸟啄青条柳破荑。檐溜倒垂新束笋，土膏初动旧方圭。遥知堑道颓山雪，泼眼琼瑶处处迷。
九日晨起闷坐（清·杨廷理）　　七言律诗　押阳韵	斜风密雨到重阳，忆到身家百感茫。觅句了无新意味，从公难改旧衷肠。潮声远近喧清梦①，虫语周遭近小床。毕竟似僧还是客，披衣起坐费思量②。
九月十五夜苦雨（清·杨廷理）　　七言律诗	匝月秋霖不肯晴，中宵屡起看云情。披①升田甲容迟丈，输运仓储耐缓徵。溪涨泥深肩负苦，雷奔电掣鬼神惊。剧怜一片光明影，却在亭云暗里行②。
辛未生日志感（清·杨廷理）　　七言律诗　押东韵	六五光阴弹指中，遐陬三至效孤忠①。云霞过眼都陈迹，冷暖随人亦苦衷。歧路叠更心倍小，流言难禁耳须聋。功名青史知非偶，未信苍颜得转童②。
畏雨（清·杨廷理）　　七言律诗　押先韵	一日阴晴屡看天，晚收伊始兆丰年。扬花恰遇秋阳暴，撷实频惊宿雨绵。手执瓣香虔拜祷，心悬釐祝凛冰渊。浮云终惜东风扫，枉使愚忱苦自煎①。
将抵洞子头阻水（清·杨廷理）　　七言绝句　押麻韵	沿岭松杉鸟道斜，炊烟起处辨人家。西风夜雨连宵泊，饱听滩声走白沙。
