京东杂感（清·洪升）　　五言律诗　押蒸韵	雾隐前山烧，林开小市灯。软沙平受月，春水细流冰。远望穷高下，孤怀感废兴。白头遗老在，指点十三陵。
送吴位三归宣城（清·洪升）　　五言律诗　押侵韵	宋家丞相后，乔木到如今。之子独古处，对人无俗心。偶来京洛道，旋反敬亭阴。芳草白云外，春山深复深。
雪望（清·洪升）　　五言律诗　押文韵	寒色孤村暮，悲风四野闻。溪深难受雪，山冻不流云。鸥鹭飞难辨，汀沙望莫分。野桥梅几树，并是白纷纷①。
蒙山道中（清·洪升）　　五言律诗　押东韵	乱石绕东蒙，崎岖古道通。一身千里外，匹马万山中。密树遥遮日，轻花细逐风。望云双泪落，岂是为途穷！
寒食（清·洪升）　　五言律诗　押先韵	七度逢寒食，何曾扫墓田。他乡长儿女，故国隔山川。明月飞乌鹊，空山叫杜鹃。高堂添白发，朝夕泪如泉。
柬李东琪（清·洪升）　　七言律诗　押寒韵	闻君昨日到长安，驿路风尘乍解鞍。古寺楼台高避暑，晴天松柏昼生寒。亲知把臂他乡少，贫贱论交此地难。我自飘零归未得，秋江劝尔弄渔竿①。
衢州杂感（清·洪升）　　七言律诗　押麻韵	巑岏岭势矗仙霞，阻遏妖氛建虎牙。障日丛篁宁容骑，连云列戟不通鸦。居人乱后惟荒垒，巢燕归来止数家。一片夕阳横白骨，江枫红作战场花①。
将游大梁（清·洪升）　　五言绝句　押文韵	匹马嘶荒野，群山拥乱云。迢迢二千里，去哭信陵君。
公子行（清·洪升）　　七言绝句　押豪韵	春明门外酒楼高，称体新裁蜀锦袍。花里一声歌《子夜》，当筵脱与郑樱桃。
钓台（清·洪升）　　七言绝句　押真韵	逃却高名远俗尘，披裘泽畔独垂纶。千秋一个刘文叔，记得微时有故人①。
答友人（清·洪升）　　七言绝句　押删韵	君问西泠陆讲山，飘然一钵竟忘还。乘云或化孤飞鹤，来往天台雁宕间①。
京东杂感（清·洪升）	胜国巡游地，孤城有废宫。周垣春草外，园殿夕阳下。狐搰沙翻雪，鸱蹲树啸风。唯馀旧村落，鸡犬似新丰。
石门（清·洪升）　　押元韵	先贤逝已久，予亦宿石门。天寒鸟自归，林表斜阳昏。吏隐计难得，讵知忧世屯。栖栖终短褐，此意向谁言①？
征途晓发（清·洪升）　　押麻韵	夜发蓟丘道，马蹄踏霜华。月照千里白，不辨冰与沙。行行三十里，始闻啼曙鸦。朔风起何处，隐隐鸣悲笳。徒侣惨不乐，从者咸咨嗟。扬鞭强笑语，前村有酒家。
