台中访傅鹤亭陈枕山二君（清·赖绍尧）　　五言律诗　押先韵	数载惊暌隔，相看各问年。形容怜我瘦，文笔羡君妍。近市心偏野，能閒俗亦仙。赠投无别物，袖里有新篇。
送献堂旭东如桢三君之中国（清·赖绍尧）　　七言律诗　押尤韵	低首樊笼貉一丘，飘然忽作御风游。鲲鹏变化渺千里，鸾凤翱翔隘十洲。大海珊瑚凭网取，小山丛桂漫淹留。年来我亦伤幽废，欲附沧溟泛钓舟。
弱水（清·赖绍尧）　　七言律诗　押鱼韵	隔绝蓬山日倚闾，迢迢弱水一封书。上言努力加餐饭，中有相思慰索居。独唱愔愔谁和汝，绮怀渺渺转愁余。无端错把洪乔怨，欲托灵犀当鲤鱼。
送陈瘦云之禹域（清·赖绍尧）　　七言律诗　押尤韵	橐笔初为万里游，春风一棹入神州。海天袖手看龙战，宗社伤心有鬼谋。尽有新诗题到处，虽非吾土且淹留。此行若过汉阳渡，吊古先翻鹦鹉洲。
哭蔡启运社长（清·赖绍尧）　　七言律诗　押阳韵	诗星一夜坠光芒，湖海同声哭蔡襄。文彩风流今未已，飞扬跋扈我犹狂。敢凭后死雄坛坫，欲起先生质瓣香。穗帐不亲坟草宿，招魂谁为觅巫阳。
秋尽（清·赖绍尧）　　七言律诗　押侵韵	霜风谡谡度空林，重九才过岁又侵。感遇未成芳草句，悲秋肯拟槁梧吟。消磨白发非初志，睥睨青樽起壮心。漫道床头无长物，篱边尚有万黄金。
落花（清·赖绍尧）　　七言律诗　押微韵	是空是色想非非，才逐春来又送归。委地从教风雨妒，漫天疑作劫灰飞。不仁造物陈刍狗，有恨江山带落晖。寂寂园亭朝复暮，忍看红瘦绿偏肥。
寄题谢颂臣先生生圹（清·赖绍尧）	男儿生不能裹尸马革事穷边，立功万里勒燕然。又不能隐形服气归神仙，白日尸解升青天。当学漆园傲吏委形骸，下饲蝼蚁上乌鸢。不尔亦当将身化猿鹤，日与虫沙相周旋。人生世上疣赘耳，溃痈决后均茫然。达人方寸喻此理，一视死生无流连。叹彼仆仆堪舆者，槁项黄馘真可怜。吾友颂臣更豪放，未死先为埋骨圹。科山山下筑生坟，前祖后妻相依傍。坟成鸡黍邀故人，走也未往神先送。万①里驰词拟赠君，未敢长歌将哭当。曾闻孔圣言，死骨当速朽。肉体非黄金，不坏亦何有。又闻宗教家，灵魂乃为宝。身②壳本六尘，火之无不可。先生儒学探天机，旁通禅理兼能诗。馀事间及青乌术，葬经岂受古人欺。或疑身后经营计太早，不过平时妄塞悲。数首生挽渊明诔，一篇生祭楚人辞。他年路过科山麓，我欲招魂一问之。
酒中放歌（清·赖绍尧）	君不见，晋魏之间多风流，刘公放诞阮公愁。刘公作词颂酒德，天真烂熳与天游。解酲五斗无不可，随身一锸①何所求。阮公咏怀词慷慨，八十馀篇多烦忧。有时忽作穷途哭，六旬大醉不能休。此中哀乐各有癖，偶然以酒忘形役。人生世上值艰虞，二公之技谁接迹。我从百代溯风骚，中夜起舞忽悲歌。倾壶且作十日饮，酒痕不敌泪痕多。螟蛉蜾蠃②半天下，白眼相看奈汝何。
次韵答梅樵见赠（清·赖绍尧）	君不见嵇康性懒好奇癖，头面不洗动经夕。忽然锻灶学养生，思向瀛洲煮白石。神仙怪诞亦何为，吊古山阳馀故宅。怜君两度值沧桑，十载海天滞魂魄。当涂典午事须臾，天教险巇增阅历。近者诛茅卜仙郊，一卷农书手不释。兴酣直欲无古人，美酒一斗诗盈百。绝交拟致山公书，甘贫未肯呼将伯。明朝约我相过从，草堂为君生颜色。
