除夕（近现代·何满子）　　七言律诗	抛书对酒当除夜，憔悴斯人独送穷。不免输身迎冷暖，何如放眼看鸡虫。文章得售贤阳五，孺子成名憾嗣宗。坚白纷纷那有定，由他智叟笑愚公。
赓和聂公自寿新章（近现代·何满子）　　七言律诗　押东韵	管宁白帽栖辽东，也未执鞭牛马中。怀璧楚人应有罪，求仙秦帝总成空。朱三本是无行汉，冯道方称不倒翁。参透天魔五蕴舞，瞿昙修得六神通。
步卢鸿基韵再酬绀弩（近现代·何满子）　　七言律诗　押支韵	新语言难入旧诗，君能曳重若轻驰。可怜出鸟流涎日，正是伤筋动骨时。无冕之王忽戴帽，有心吞钓更何辞。前生作孽今生受，莫怨文章若魍魑。
和聂公自寿依原韵（近现代·何满子）　　七言律诗　押支韵	从来民可使由之，乐得省心诈作痴。老树著花真有趣，杂文做骨漫吟诗。恰逢梁灏登科岁，也是周婆祝寿时。须谢天公降大任，酸甜苦辣已全知。
聂绀弩诔词（近现代·何满子）　　七言律诗　押尤韵	公方生世水横流，操戟拟求万户侯。忽疾韩康难卖药，转教定远猛回头。手挥辛辣诙谐笔，身历古今天地愁。可叹胸中一本帐，欹床欲吐未能酬。
七十古稀今不稀三章 蓦地六十九，打油三章，时1988年春节也（近现代·何满子）　　七言律诗　押微韵	七十古稀今不稀，算来应叹此身微。文章只合充肥料，菩萨原来披外衣。五岳三山惊喝令，九儒十丐总招诽。臣之壮也窝囊极，投老踟蹰谁与归。
和S诗人《有寄》（近现代·何满子）　　七言律诗　押尤韵	江山北望见蜃楼，钩不可偷国可偷。某氏祠堂香火旺，林家铺子鬼神愁。十年磨剑双晴赤，三鸟盘空一石投。各路英雄齐夺寨，摩拳擦掌赴中流。
1989年岁朝开笔 其一（近现代·何满子）　　七言律诗　押尤韵	岁朝开笔复何求，未做文章先打油。奴隶舞仍枷下跳，霸王鞭自幕中抽。洛阳纸贵辞非美，梁苑池荒客反稠。苦恨蜗居偏局蹐，临街指点羡洋楼。
西湖杂咏  三十年代初（近现代·何满子）　　七言绝句　押微韵	燕子盈盈掠水飞，游船亭午渐稀微。苏公堤上春光腻，柳絮多情惹我衣。
过汨罗江（近现代·何满子）　　七言绝句	烽烟欲蔽楚天高，春草江南入梦遥。行到潇湘肠断处，乡思无那诵离骚。
出狱戏效樊川体（近现代·何满子）　　七言绝句　押庚韵	浪迹江湖惯我行，也知才短此身轻。十年一觉文坛梦，赢得胡风分子名。
拉车自嘲（近现代·何满子）　　七言绝句　押齐韵	一脚高来一脚低，浑如蹇卫负耕犁。江湖把式卖膏药，鞭赶疲熊爬陡梯。
扬州瘦西湖口占（近现代·何满子）　　七言绝句	嶙峋瘦骨一西湖，西子西来病未除。应是减肥风尚女，画眉深浅入时无？
镇江杂咏 北固楼（近现代·何满子）　　七言绝句	南徐佳处是江干，北固楼头倚画栏。六代豪华今不见，潇潇秋雨看金山。
题汪曾祺画红梅（近现代·何满子）　　七言绝句　押蒸韵	虬曲红梅似紫藤，文人操笔摒师承。丹青岂诉苍生苦，枝上缤纷血泪凝。
依韵答L《偶成》（近现代·何满子）　　七言绝句　押元韵	卷帘媪后鼓金盆，风雨如磐欲断魂。夕照天街无限好，剧怜弹指近黄昏。
赠黄伟经（近现代·何满子）　　七言绝句　押微韵	料峭春寒百卉稀，江南江北盼生机。羡君珍护繁花圃，不怨为人作嫁衣。
富乐山蜀宫女塑像（近现代·何满子）　　七言绝句　押庚韵	一水盈盈涵古今，蜀宫琴女若含情。空山不语湘裙冷，脉脉无声胜有声。
梓潼方昌帝君庙（近现代·何满子）　　七言绝句　押阳韵	梓潼大帝号文昌，应庇斯文免祸殃。底事古今文字狱，文人罹难一场场。
1986年元日漫吟（近现代·何满子）　　七言绝句	生涯背道不离经，水复山重花未明。行到荒崖疑有路，朔风扫地已凝冰。
