湘江漫游联句（近现代·毛泽东）　　五言律诗	晚霭峰间起，归人江上行。云流千里远（以上萧瑜），人对一帆轻。落日荒林暗（以上毛泽东），寒钟古寺生。深林归倦鸟（以上萧瑜），高阁倚佳人（毛泽东）。
挽戴安澜将军（近现代·毛泽东）　　五言律诗　押微韵	外侮需人御，将军赋采薇。师称机械化，勇夺虎罴威。浴血冬瓜守，驱倭棠吉归。沙场竟殒命，壮志也无违。
人民解放军占领南京（近现代·毛泽东）　　七言律诗	钟山风雨起苍黄，百万雄师过大江。虎踞龙盘今胜昔，天翻地覆慨而慷。宜将剩勇追穷寇，不可沽名学霸王。天若有情天亦老，人间正道是沧桑。
送瘟神（近现代·毛泽东）　　七言律诗　押歌韵	绿水青山枉自多，华佗无奈小虫何！千村薜荔人遗矢，万户萧疏鬼唱歌。坐地日行八万里，巡天遥看一千河。牛郎欲问瘟神事，一样悲欢逐逝波。
长征（近现代·毛泽东）　　七言律诗	红军不怕远征难，万水千山只等闲。五岭逶迤腾细浪，乌蒙磅礴走泥丸。金沙水拍云崖暖，大渡桥横铁索寒。更喜岷山千里雪，三军过后尽开颜。
吊罗荣桓同志（近现代·毛泽东）　　七言律诗	记得当年草上飞，红军队里每相违。长征不是难堪日，战锦方为大问题。斥鴳每闻欺大鸟，昆鸡长笑老鹰非。君今不幸离人世，国有疑难可问谁？
有所思（近现代·毛泽东）　　七言律诗　押支韵	正是神都有事时，又来南国踏芳枝。青松怒向苍天发，败叶纷随碧水驰。一阵风雷惊世界，满街红绿走旌旗。凭阑静听潇潇雨，故国人民有所思。
和周世钊同志（近现代·毛泽东）　　七言律诗　押灰韵	春风浩荡暂徘徊，又踏层峰望眼开。风起绿洲吹浪去，雨从青野上山来。尊前谈笑人依旧，域外鸡虫事可哀。莫叹韶华容易逝，卅年仍到赫曦台。
和柳亚子先生（近现代·毛泽东）　　七言律诗	饮茶粤海未能忘，索句渝州叶正黄。三十一年还旧国，落花时节读华章。牢骚太盛防肠断，风物长宜放眼量。莫道昆明池水浅，观鱼胜过富春江。
和郭沫若同志（近现代·毛泽东）　　七言律诗　押灰韵	一从大地起风雷，便有精生白骨堆。僧是愚氓犹可训，妖为鬼蜮必成灾。金猴奋起千钧棒，玉宇澄清万里埃。今日欢呼孙大圣，只缘妖雾又重来。
洪都（近现代·毛泽东）　　七言律诗　押先韵	到得洪都又一年，祖生击楫至今传。闻鸡久听南天雨，立马曾挥北地鞭。鬓雪飞来成废料，彩云长在有新天。年年后浪推前浪，江草江花处处鲜。
读报诗之一（近现代·毛泽东）　　七言律诗　押麻韵	反苏忆昔闹群蛙，今日欣看大反华。恶煞腐心兴鼓吹，凶神张口吐烟霞。神州岂止千重恶，赤县原藏万种邪。遍寻全球侵略者，惟余此处一孤家。
读《封建论》，呈郭老（近现代·毛泽东）　　七言律诗　押阳韵	劝君少骂秦始皇，焚坑事业要商量。祖龙魂死秦犹在，孔学名高实秕糠。百代都行秦政法，十批不是好文章。熟读唐人封建论，莫从子厚返文王。
登庐山（近现代·毛泽东）　　七言律诗　押先韵	一山飞峙大江边，跃上葱茏四百旋。冷眼向洋看世界，热风吹雨洒江天。云横九派浮黄鹤，浪下三吴起白烟。陶令不知何处去，桃花源里可耕田？
答友人（近现代·毛泽东）　　七言律诗	九嶷山上白云飞，帝子乘风下翠微。斑竹一枝千滴泪，红霞万朵百重衣。洞庭波涌连天雪，长岛人歌动地诗。我欲因之梦寥廓，芙蓉国里尽朝晖。
冬云（近现代·毛泽东）　　七言律诗	雪压冬云白絮飞，万花纷谢一时稀。高天滚滚寒流急，大地微微暖气吹。独有英雄驱虎豹，更无豪杰怕熊罴。梅花欢喜漫天雪，冻死苍蝇未足奇。
戏改杜甫《咏怀古迹》其三（近现代·毛泽东）　　七言绝句　押元韵	群山万壑赴荆门，生长林彪尚有村。一去紫台连朔漠，独留青冢向黄昏。
为女民兵题照（近现代·毛泽东）　　七言绝句　押阳韵	飒爽英姿五尺枪，曙光初照演兵场。中华儿女多奇志，不爱红装爱武装。
为李进同志题所摄庐山仙人洞照（近现代·毛泽东）　　七言绝句　押冬韵	暮色苍茫看劲松，乱云飞渡仍从容。天生一个仙人洞，无限风光在险峰。
五云山（近现代·毛泽东）　　七言绝句　押齐韵	五云山上五云飞，远接群峰近拂堤。若问杭州何处好，此中听得野莺啼。
