避寇离乡道中（近现代·洪存恕）　　五言律诗　押鱼韵	落日满修途，担簦喘未舒。可堪衰老渐，犹是乱离初。野戍禁张旆，山邮拒递书。一村带林水，却望似吾庐。
岁暮还家杂诗（二首）（近现代·洪存恕）　　五言律诗　押阳韵	觅径越重岗，凄凉瓦砾傍。地偏频盗贼，世短亦沧桑。衰草笼眢井，寒藤攒坏墙。故家鸡黍谊，白首总难忘。
客长沙度元宵节（近现代·洪存恕）　　五言律诗　押阳韵	新春仍丧乱，元夕且徜徉。鸿雁哀嗷断，鱼龙角抵忙。灯光纷射斗，鼓吹欲翻湘。乐国犹难处，人稠货价昂。
元日（近现代·洪存恕）　　五言律诗	久冷雪为祟，初晴云不卿。岁新唯草色，世短尚兵尘。衣敝官如丐，樽空妻作宾。邻童为我寿，讳老可胜嗔。
凉夜（近现代·洪存恕）　　五言律诗　押支韵	滟滟霜浮瓦，溶溶月浸篱。凉蛩生细籁，落木有奇姿。新理陈编得，生涯败絮知。一廛何处受，故国靖氛迟。
冬日杂诗（四首）（近现代·洪存恕）　　五言律诗	雪霁当残腊，城隅颇厌嚣。鴃鸣老妪语，兔脱壮丁逃。市冷商屯货，田荒农带刀。此邦敢云陋，托命六年侨。
桂阳往嘉禾道中（三首）（近现代·洪存恕）　　五言律诗　押支韵	避氛仍畏暑，朝行不待炊。云生山更异，草长路多疑。偃旆残兵怯，行缠老妇疲。风蝉鸣自得，世乱尔何知。
乱后复经耒阳（近现代·洪存恕）　　五言律诗　押尤韵	斜日江城近，经年战垒留。蒿深欲迷径，苇白尚明洲。冷市鱼虾断，空堂蝙蝠稠。旧奴何处至，骨立不胜秋。
赠友人（近现代·洪存恕）　　五言律诗　押先韵	恶俗何由避，唯当善自全。休妨雀穿屋，且任犊蹊田。面上唾无拭，胸中蒂尽蠲。浑金与柔水，供子作铭悬。
观巢城中学有感（近现代·洪存恕）　　五言律诗	鲜血领巾色，新歌腰鼓腔。由来树人地，倏变舞魔场。异说诋贤圣，垂髫侮老苍。讲堂三舍避，幸免扣胫伤。
回首（近现代·洪存恕）　　五言律诗　押尤韵	回首此神州，纷争岁月稠。绾符雄割据，秉秫困诛求。鸟死功成羿，龙兴德迈周。野人何企羡，一饱抵封侯。
访旧（近现代·洪存恕）　　五言律诗　押冬韵	山下访吾宗，近村人少逢。荒溪横独木，危坂卧长松。恶笋穿垣出，乱流绕砌淙。几家馀颗粒，欲断犬鸡踪。
书所见（二首） 其一（近现代·洪存恕）　　五言律诗　押真韵	茅屋午烟断，禾田夏草匀。路多新税吏，村少旧耕人。麦粳如珠玉，鸡豚等凤麟。乐郊何处得，襁负去频频。
咏时事（近现代·洪存恕）　　五言律诗　押麻韵	废苑无乔木，颓篱尚晚花。好春谁作社，乱世各倾家。足赤输粮叟，饥黄挑菜娃。丁男争应募，袱被赴边沙。
咏时事（近现代·洪存恕）　　五言律诗　押尤韵	无端生派别，左以右为仇。豆釜燃萁急，瓜田抱蔓休。居然成铁错，谁与保金瓯。忍看役城旦，纷纷死道周。
无题（八首录四）（近现代·洪存恕）　　五言律诗　押真韵	晴余游兴新，冒冷出村频。落木无高鸟，澄潭有静鳞。四山浮积雪，一径入修筠。惬此清超境，何心向热尘。
感时务（近现代·洪存恕）　　五言律诗　押寒韵	庭飘败叶乾，微阳隐树端。归鸦堕烟暝，旅雁度云寒。风紧虫声乱，霜繁菊气殚。无端感时务，不乐酒杯宽。
寄存省弟武昌（二首）（近现代·洪存恕）　　七言律诗　押鱼韵	等閒别我二千里，年少昂昂志有馀。不屑栖身藉竿牍，也应撑腹有诗书。车前奋臂螗宁幸，镜里看头虎不如。要识年来家食稳，菜根犹胜武昌鱼。
劝刘君（近现代·洪存恕）　　七言律诗　押元韵	江淮寇势挟雷奔，吾邑弹丸存不存。相隔日长无竹报，所居地僻岂桃源。田园应弃如尘垢，宇合谁生有蒂根。老我天涯心尚壮，鸡鸣起舞欲偕琨。
避寇至沅陵（近现代·洪存恕）　　七言律诗　押元韵	盘纡岭路车驰过，才见炊烟绕塔昏。地脊丛蒿欲连郭，山深茂树惯藏村。栖身稍近牛溲秽，问姓俄来鴂语温。谁信苗乡风土好，无家犹似住桃源。
