渡江云 眉山舟中，清真韵（近现代末当代初·白敦仁）	残霞明古渡，紫帆未舣，断岸锁云沙。故园秋正好，未信河梁，此日是离家。油衣换却，乍冷入、鸳瓦霜华①。听戍漏，角声低晚，阵阵起寒鸦。兴嗟。添香深意，赌茗闲情，与荒波日下。空自怜、分钗零语，亲写吴纱。云鬟定梦平羌月，趁水驿，还过苍葭。吟望久，汀洲又落苹花。
木兰花慢 己卯贱辰，诸朋旧携酒见存，就登凤坪绝顶，诸公并有佳构。余既客峨眉四月，寒山落木，倍切归怀，率赋此解以应（近现代末当代初·白敦仁）	刻丹崖峻峭，乍风雨、洗霜林。对障岫云低，藏峰雪远，山馆高吟。青琴。凤弦漫理，怕清商，百感不成音。消领樽前意好，胜游更试而今。登临。屐齿陟岖嵚，俊侣醉相寻。叹玉琯年涯，金荃词笔，一样乡心。高岑。故园甚处，向斜阳，烟树自萧森。招得归魂去否，夜窗一枕寒砧。
徵招 庚辰暮春，与石尊饮峨眉县城，环顾云山，醉次闻歌，感音而作（近现代末当代初·白敦仁）	樽前一晌销魂意。匆匆总无归计。听得几回歌。数春期日次。客情浑未已。更休说、落花愁思。拭泪谈兵，解衣沽酒，旧狂难理。迢递眼中青，芳洲外、霏微乱烟无际。未怕不重来，有残英藉地。一樽服复几。忍轻负、快晴天赐。碧山远，落日归来，怅暮云双屐。
意难忘 次清真韵（近现代末当代初·白敦仁）	衣浅宫黄。记璇闺夜约，共引瑶觞。离情怜好梦，孤枕遗余香。风动竹，月生凉。拼泪点淋浪。念旧衫、痕多未涤，忍更端详。青灯对影双双。怎无多迅羽，顿瘦萧郎。流年惊短鬓，侵晓怯新妆。珍重意，几回肠。纵百感何妨。忆小楼、兰膏倦沐，应灭容光。
瑞鹤仙 闺人以素绢刺玉溪生“心有灵犀一点通”句见寄（近现代末当代初·白敦仁）	碧烟笼翠树。念彩凤双梧，交柯曾住。千金刺冰缕。寄犀心一点，断肠休诉。樊南秀句。算谱入、吴弦更苦。正千山，雁脚云深，消得庾郎愁赋。风露。月寒香臂，雾冷烟鬟，不如归去。年华轻负。春已是、花无主。想盘龙破镜，文鸳孤枕，应解征人意否。待拼将、两鬓愁青，为君成素。
少年游（近现代末当代初·白敦仁）	一汀烟草万愁根。春色为谁新。马脚惊沙，骎骎不断，落日倦游人。弥天又见杀机发，留命俟河清。鸦啄人肠，风惊鹤唳，挥泪赋芜城。
琵琶仙（近现代末当代初·白敦仁）	花雨酥香，紫尘外、倦客青骢犹急。飞絮还拂金鞍，风丝共飘泊。归路渺、芳洲渐绿，更谁遣、子规声切。一剪春波，红桥旧曲，清梦能识。更休问、芳酌催花，怕愁里、都非旧时节。多少绿凄红怨，老花前莺蝶。清漏永、长空似水，对玉蟾、几许狂客。忍念银烛天街，夜寒风笛。
长亭怨慢（近现代末当代初·白敦仁）	对芳树云横平野。旧事关心，月明楼下。几许流年，倦怀羁思泪堪把。绿杨诗好，都莫向莓墙写。翠叶几回新，不奈得，闲情凋谢。日夜。望高城不见，忍念旧时游冶。残红玉剪，可还识、去年琼榭。向碧树、两两飞来，又商略、斜阳如画。记花影参差，多少香尘随马。
祝英台近 梵众姨丈以苏小墓草一株见遗，既枯矣，丰茸离骊，犹残青青之意，湖山胜迹，不可无词（近现代末当代初·白敦仁）	剪愁根，裁恨叶，春寄岭梅外。残碧潜星，依约酒痕在。绝怜南国烟花，西陵车马，剩斜日苍松如盖。换光彩。烛花未结同心，孤凄照无奈。断雨飘歌，青骢更谁待。堪嗟旧佩幽兰，新添燕麦，甚一梦湖山都改。
三姝媚 庚辰秋重客峨眉（近现代末当代初·白敦仁）	晴峦秋讯早。换啼烟空林，数声新鸟。杖策重来，荡旧情禁得，清商愁调。古涧荒苔，咽瘦石、风湍声小。旧约山灵，新吐岩花，伴人凄悄。容易高丘斜照。剩坏阵鸦盘，樛枝蝉噪。送目归云，有断鸿知我，伤高怀抱。溅泪花黄，办几处、重阳闲眺。待把茱萸亲插，风前破帽。
玉楼春四首（近现代末当代初·白敦仁）	吴侬那识春风怨。出意钩帘惊乍看。晚风发薄不胜梳，初月眉弯新却扇。绿云帐底眠葱倩。黄鸟枝头春睍睆。一场愁梦雨兼风，落尽夭红君不见。
莺啼序 庚辰饯秋，次梦窗丰乐楼韵（近现代末当代初·白敦仁）	看花尚余泪眼，渺秋尘步绮。旧情委，暗紫衰红，暂结沉恨烟际。岁月又、登高过却，零风断雨终无霁。向天涯、歌尽离声，乱蕊都坠。百感樽前，对酒念远，是危楼倦倚。画栏外、叶叶湘云，泪珠空溅寒翠。旧香换、蛮花野色，闹红趁、吴枫江水。办仙槎、流恨蓬瀛，问今何世。幽兰佩老，燕麦愁深，怕数岁华美。消几许、梅嫣柳睐，故国春情，雨暮云朝，楚峰疑事。银潢未挽，金风还奏，寥天惊落衔芦雁，满江湖、此日归无地。羁孤怨极长宵，伴客残更，夜堂暗催凉纬。飞空破镜，绕屋梁尘，争枕欹睡迟。便许有、乘风双翼，玉宇能攀，可奈寒高，凤楼十二。云屏不动，孤颦深掩，鱼鳏龙寡无意绪，黯啼红、烛背人垂泪。瑶扃梦里重重，冷落关榆，荡魂万里。
鹧鸪天二首（近现代末当代初·白敦仁）	覆水年华照鬓觞。樽前无泪与红香。黄梅时节千家雨，一叶相思到小廊。烧烛短，引杯长。愁边得句不成章。金猊香烬银荷黯，帘外轻雷送晚凉。
鹧鸪天 瓶中芍药，一夕萎去，履平有词甚美，遂次其韵（近现代末当代初·白敦仁）	一笑回灯委恨新。铜泉清泚接芳尘。愁将冷落瑶台意，证到炎凉劫外身。三嗅泣，独醒人。经年良约负湔裙。银毫别有将离怨，不在维扬十里春。
扫花游 寄石尊（近现代末当代初·白敦仁）	枣帘昼寂，傍倦枕蝉嘶，倍增凄楚。送春无数。叹新欢易歇，故人难驻。半熟黄梅，更好无风无雨。小园路。待挈壶灌花，花发人去。前事知几许。有赚客清觞，联情缃素。怨怀怎赋。对新枝细子，旧题红处。澹极斜阳，冷落山眉翠妩。黯凝伫。掩孤弦、未歌先苦。
花犯 南台探梅，因念客岁山居吟赏之乐，歌以抒怀（近现代末当代初·白敦仁）	冷禅天、疏葩细萼，朦胧破春靓。雾寒风静。疑旧赏千林，雪岫香映。翠禽不到山窗暝。幽人谁唤醒。负晓月、一床花梦，揭帘看雁影。琼枝冷落傍瑶台，匆匆照眼处，不成觞咏。谁念我、欺风露，还寻芳径。相思付、玉龙恨管，人意视、霏英今更冷。但自把、一枝簪首，年光休猛省。
醉吟商小品 四月初一夜闻杜鹃，是夜履平来宿，遂邀同赋。履平有《踏莎行》一首甚美，惜今佚其稿（近现代末当代初·白敦仁）	万恨幻春红，梦影更随春去。夜窗啼处。泪血和风雨。一点花心凄苦。禽音解否。
最高楼 野塘雨霁，莲叶初齐。忆往年偕闺人玩月桂湖，夜坐交加亭上，荷风送香，远闻笛语，感念芳时，率拈此解（近现代末当代初·白敦仁）	香簪畔，依约是微波。芳节惜蹉跎。云鬟水佩朝烟重，湖天月槛夜寒多。璧花枝，金酒盏，梦中过。长相念，露凉花外笛。凭谁问、泪零花下客。心宛转，鬓消磨。鸳鸯密意情天老，铜波影、无那愁何。尽凄凉，芳塘雨，胜闻歌。
满庭芳 三赋绿阴（近现代末当代初·白敦仁）	林表黄昏，樽前绿鬓，一般不赖消凝。小斜廊外，展转是浮生。莫道无花更好，无花也，那便无情。凭谁与，婆娑斫去，好月更分明。冥冥。四天外，红桑如拱，碧海波倾。问蛮花可识，酒意纵横。人道宫槐未落，早凝碧、池上歌声。君知否，系绿牵青，身是旧金铃。
