感事（近现代·秋瑾）　　五言律诗　押歌韵	竟有危巢燕，应怜故国驼。东侵忧未已，西望计如何？儒士思投笔，闺人欲负戈。谁为济时彦，相与挽颓波？
咏琴志感（近现代·秋瑾）　　五言律诗　押侵韵	泠泠七弦琴，所思在翠岑。成连奋逸响，中散叹销沉。世俗惟趋利，人谁是赏音？若无子期耳，总负伯牙心。
日人石井君索和即用原韵（近现代·秋瑾）　　七言律诗　押东韵	漫云女子不英雄，万里乘风独向东。诗思一帆海空阔，梦魂三岛月玲珑。铜驼已陷悲回首，汗马终惭未有功。如许伤心家国恨，那堪客里度春风。
黄海舟中日人索句并见日俄战争地图（近现代·秋瑾）　　七言律诗　押灰韵	万里乘云去复来，只身东海挟春雷。忍看图画移颜色，肯使江山付劫灰？浊酒不销忧国泪，救时应仗出群才。拼将十万头颅血，须把乾坤力挽回。
柬志群（近现代·秋瑾）　　七言律诗　押灰韵	河山触目尽生哀，太息神州几霸才。牧马久惊侵禹域，蛰龙无术起风雷。头颅肯使闲中老，祖国宁甘劫后灰？无限伤心家国恨，长歌慷慨莫徘徊。
赤壁怀古（近现代·秋瑾）　　七言绝句　押东韵	潼潼水势向江东，此地曾闻用火攻。怪道侬来凭吊日，岸花焦灼尚馀红。
去常德舟中感赋（近现代·秋瑾）　　七言绝句　押真韵	一出江城百感生，论交谁可并汪伦？多情不若堤边柳，犹是依依远送人。
杜鹃花（近现代·秋瑾）　　七言绝句　押齐韵	杜鹃花发杜鹃啼，似血如朱一抹齐。应是留春留不住，夜深风露也寒凄。
残菊（近现代·秋瑾）　　七言绝句　押寒韵	岭梅开候晓风寒，几度添衣怕倚栏。残菊由能傲霜学，休将白眼向人看。
秋海棠（近现代·秋瑾）　　七言绝句	栽植恩深雨露同，一丛浅淡一丛浓。平生不借春光力，几度开来斗晚风。
赋柳（近现代·秋瑾）　　七言绝句　押萧韵	独向东风舞楚腰，为谁颦恨为谁娇？灞陵桥畔销魂处，临水傍堤万万条。
杞人忧（近现代·秋瑾）　　七言绝句　押尤韵	幽燕烽火几时收，闻道中洋战未休。漆室空怀忧国恨，难将巾帼易兜鍪。
读书口号（近现代·秋瑾）　　七言绝句　押鱼韵	东风吹绿上阶除，花院箫疏夜月虚。侬也痴心成脉望，画楼长蠹等身书。
题《芝龛记》（八首选三）（近现代·秋瑾）　　七言绝句　押尤韵	古今争传女状头，谁说红颜不封侯。马家妇共沈家女，曾有威名振九州。
望乡（近现代·秋瑾）　　七言绝句　押先韵	白云斜挂蔚蓝天，独自登临一怅然。欲望家乡何处似？乱峰深里翠如烟。
梅（十首选二）（近现代·秋瑾）　　七言绝句　押支韵	本是瑶台第一枝，谪来尘世具芳姿。如何不遇林和靖？飘泊天涯更水涯。
喜雨漫赋（近现代·秋瑾）　　七言绝句　押歌韵	渊龙酣睡谁驱起，飞向青天作怒波。四野农民皆额首，名亭直欲继东坡。
对酒（近现代·秋瑾）　　七言绝句　押豪韵	不惜千金买宝刀，貂裘换酒也堪豪。一腔热血勤珍重，洒去犹能化碧涛。
柬徐寄尘（近现代·秋瑾）　　七言绝句　押支韵	祖国沦亡已若斯，家庭苦恋太情痴。只愁转眼瓜分惨，百首空成花蕊词。
失题（近现代·秋瑾）	登天骑白龙，走山跨猛虎。叱吒风云生，精神四飞舞。大人处世当与神物游，顾彼豚犬诸儿安足伍！不见项羽酣呼钜鹿战，刘秀雷震昆阳鼓。年约二十馀，而能兴汉楚；杀人莫敢当，万世钦英武。愧我年二七，于世尚无补。空负时局忧，无策驱胡虏。所幸在风尘，志气终不腐。每闻鼓鼙声，心思辄震怒。其奈势力孤，群才不为助。因之泛东海，冀得壮士辅。
