魏城驿（清末民国初·胡薇元）　　七言律诗　押尤韵	鸟帽疲驴作壮游，五年犹记魏城秋。消磨意气思田里，散落诗词遍酒楼。井底公孙人几辈，隆中诸葛自名流。重来燕子新巢觅，也共春光到益州。
望江南（清末民国初·胡薇元）	丰台艳，姚冶芍田霞。九折阑干千叶种，二分风力六畦花。夜雨放云芽。
喜迁莺 牡丹呈𥒸砭老人（清末民国初·胡薇元）	倚东风，烘旭日，浓艳簇瑶京。银盘轻粉露华清。颜色称倾城。绮陌青，春酒绿，早办阿娇金屋。天香腻染美人衣，晓惹御香归。
卜算子（清末民国初·胡薇元）	新种橘奴肥，冷艳梅魂瘦。回首江州驿路长，百里烟痕皱。生不识春愁，暗入郎怀袖。南国香罗尽带归，莫买相思豆。
十拍子（清末民国初·胡薇元）	渌水环堤渐退，青山拥岸难描。十幅蒲帆来更往，卧听寒云枕上潮。大江东去涛。中酒愁过旅雁，推篷惊起潜蛟。谁把凉州哀怨笛，触动元龙意气豪。月明红板桥。
采桑子（清末民国初·胡薇元）	郎行恰被春催去，谩了鹦哥。冷了金鹅。无限相思逐素波。峰回路转三巴水，西接岷峨。北接牂牁。待到春来换得么。
步虚词（清末民国初·胡薇元）	百载尚书私第，数家流水桥边。玉楼疏影堕花钿。香草美人深院。遥指江头秋雁，剧怜沙外饥鸢。英雄几辈可能传。只记当时巴蔓。
鬲溪梅令（清末民国初·胡薇元）	斜风细雨蹇家桥。藕花凋。记得临江门外，涨新潮。小红吹玉箫。锦帆无恙舣归桡。暗魂销。香草楼中歌舞，怅萧条。卷帘孤月娇。
阑干万里心（清末民国初·胡薇元）	横江高槛上帘钩。倚遍城西香草楼。画出天涯无限愁。片帆收。卷尽瞿塘滟滪秋。
六州歌头（清末民国初·胡薇元）	湘帆卸后，来寓古渝州。琴和砚，书和剑，枕和瓯。暂勾留。万古三巴路，宕渠水，涪陵岸，明月峡，香炉岭，少年游。远眺江天夕照，沙横雁，雁更横秋。甚琵琶商妇，沦落也知愁。客思悠悠。上高楼。昔题襟处，拂云树，黄陵渡，渺扁舟。儿女怨，英雄泪，不监州。不封侯。酒债寻常有，新抛却，鹔鹴裘。陶处士，浑难耐，斗升谋。苦忆当时京洛，曹邱客，旧日朋俦。看无边波涌，孤艇去如鸥。烟锁芳洲。
花发沁园春 榕村小隐图（清末民国初·胡薇元）	盥足红泉，劖心白石，几年归隐幽谷。龛山对牖，渠水穿阶，点染万重乔木。萱花无恙，先制就、莱衣褶幅。最好是、荷锸而耕，早收莲稻十斛。风静榕阴昵语。忆解组潇湘，栗里辞禄。接篱倒著，块垒填胸，漫问世间蕉鹿。金龟换酒，记取胜游宜续。休孤负。一卷长沙，贾生无限歌哭。
唐多令 莲子（清末民国初·胡薇元）	云影蘸波光。秦淮锦伞张。一枝枝吹向陂塘。乱落珠英香梦熟，有湖目，抱深房。艳陌野烟凉。琼宫的历长。江干竹子女儿箱。赢得宜男低亚水，入淮秀，伴归航。
买陂塘 花䰅（清末民国初·胡薇元）	甚东风、吹成蝶梦，华鬘小劫如许。吴淞剪取和愁冷，钗股玉房笼住。侬意苦。生恨煞、狂蜂乱委翩翻聚。销凝短句。是螺亸千鬟，蝉分两翼，香国酒边语。啼莺晓，截翠揉红几度。辛酸覆额谁与。湘娥种种裁难称，千万忍抛情绪。香断取。密缕柔丝，点点零星雨。脂环细数。待别换天工，分调手段，还拥艳魂处。
贺新凉 题沈刺史芝英诗集，用黄仲则怀太白韵（清末民国初·胡薇元）	蘅杜才人老。记羁栖嘉陵江上，啸歌凭吊。博得方州如斗大，绿幕黄莲清眺。任骚屑美人芳草。髀肉功名京洛梦，点吴霜毕竟风情好。剩一卷，柴桑稿。长唫那管监州笑。记当时风流小宋，闻声相告。惟问八叉贤刺史，双鬓白来多少。可还忆寒蛩郊岛。见说乌斯行役去，待弓衣织遍烦青鸟。文字债，几时了。
月下笛 燕（清末民国初·胡薇元）	风定榕阴，停鞭乍睹，似曾相识。红襟玉剪，独怜花下娇色。三分板渚三分柳，偏解后三分佳客。看玉珂交挽，昵他香伴，往来如织。一碧芳心窄。想浑软腰支，翻飞无力。卿应共惜惺惺，原不相隔。嫣然喜得周郎顾，恨莫驻悤悤驹隙。恰记取话呢喃，梦入仙源路湿。
