西游杂诗（金·郦权）　　五言律诗　押删韵	茅店鸡声外，柴车犬吠间。疏星涵积水，残月堕昏山。好梦人何在，秋风我独还。梨园有名酒，聊此慰间关。
七夕（金·郦权）　　五言律诗　押歌韵	缥缈针楼外，天教彩羽过。步云榆送影，拂月桂交柯。绣缕萦芳袂，瓜莲得巧梭。嫦娥如解妒，还与试斜河。
八渡崖（金·郦权）　　七言律诗　押尤韵	奔湍百折似蟠虬，响入山根汇复流。咫尺苍崖溪八渡，等閒藜杖我频游。层崖障日樵声晚，寒谷呼风树影秋。安得剩栽溪上竹，一庵领尽两山幽。
留仲泽（金·郦权）　　七言律诗　押麻韵	朝衫酒湿紫宸霞，暂辍旌旗拥使华。驰马弯弓真将种，载书囊笔自名家。江湖万里春回雁，燕赵千林月满花。明日升沈便霄壤，更留玉树倚蒹葭。
寄唐州幕官刘无党（金·郦权）　　七言律诗　押支韵	白发青衫宦苦卑，边荒谁识凤麟姿。河西落魄高书记，剑外清贫杜拾遗。紫玉山高传楚梦，蠙珠渊静照黄陂。禁中颇牧他年事，先遣江淮草木知。
除夜（金·郦权）　　七言律诗　押庚韵	殊方节物老堪惊，病怯诸邻爆竹声。梨栗异时乡国梦，琴书此夕故人情。眼看历日悲存殁，泪溅屠苏忆弟兄。白发明朝四十七，又随春草一番生。
闻砧（金·郦权）　　七言绝句　押寒韵	玉关消息到长安，处处砧声捣夜阑。想得月残哀响断，一灯清泪剪刀寒。
夷门遣怀（金·郦权）　　七言绝句　押真韵	梁园花木艳精神，尽属东风点缀人。雪压老梅香不起，问君消得几多春。
慈恩寺塔（金·郦权）　　七言绝句　押庚韵	慈恩石刻半公卿，时遇闻人为指名。龙虎榜中休著眼，一篇俚赋误平生。
济源庙海子内有二鼋人以将军目之投饼饵则至（金·郦权）　　七言绝句　押灰韵	我欲燃犀起蛰雷，漫誇海蘸纸钱灰。将军不是池中物，也为区区饼饵来。
裴公亭（金·郦权）　　七言绝句　押先韵	十里莲塘际碧山，入潭无数竹根泉。诗狂欲洒亭间壁，却愧文公与乐天。
郊行二首（金·郦权）　　七言绝句　押先韵	十里脩篁翠拂天，青田漠漠水溅溅。高林忽断惊回首，不觉奇峰堕眼前。
木樨（金·郦权）	菊小未堪摘，荒池悴芙蕖。穷秋不慰眼，幽独将焉如。殷勤蕊宫子，种桂庭之除。乘閒弄馀花，散落荒山隅。从兹云月裔，漂泊生江湖。娟娟耐冻枝，便与群芳殊。琉璃剪芳葆，蛾黄拂仙裾。唾袖花点碧，漱金粟生肤。好风一披拂，九里香萦纡。兰蕙不敢友，荃荪正僮奴。妄意此尤物，化工异吹嘘。不然九天香，安得独付渠。托物寄深缊，古今一三闾。收揽名草木，自比君子徒。惟兹不挂口，无乃圣不居。抑夫古简编，断缺秦火馀。君看齐鲁臣，史笔逸其书。惜哉不可晓，临风为嗟吁。尤怜元祐前，不及附欧苏。末路益可惜，例进宣和初。仙根岂易致，百死不一苏。昔游汴离宫，识此倾城姝。摩挲三品石，尚想狎客娱。却后十五年，微霜半粘须。一枝再经眼，相对怜羁孤。不知苦何事，玉骨乃尔癯。故人怜我老，尺书远招呼。要趁秋香浓，共此碧玉壶。遥知婵娟客，与我笑一俱。
竹林寺矮松（金·郦权）	苍烟霭山曲，回溪抱脩筠。中藏古佛宫，荒僻无四邻。灵松插殿脚，偃蹇今几春。何年霹雳雨，抉石搜潜鳞。谪重飞举难，堕此蜿蜒身。联拳缩爪股，气屈不得伸。卧枝老无力，支撑藉樵薪。无风自悲吟，失水固不神。安知才不才，祸福了已分。南山耸千嶂，直干排风云。正以中绳墨，中道遭斧斤。岂知无用资，千岁保其真。何必求先容，养此老囷轮。我亦爱奇节，岁晏守贱贫。他时来汝伴，露顶挂葛巾。
自鹤壁游善应洹山（金·郦权）	清晨发鹤山，瘦马陵峻岭。春风吹雪谷，朝雾湿云影。羊肠抱倾崖，绝壑如下井。硖关山却立，老眼入绝境。人家跨清溪，桑柘郁数顷。西行复几里，嵓谷栖短景。穷溪水源清，溜溜如细绠。下流泉满山，势合久方骋。滩光落镜明，岚气霏雨冷。何年凿青壁，两佛入禅定。残僧久零落，遗塔寄烟瞑。荒凉布金地，杂遝樵牧径。同游成六逸，轰饮助高兴。留连更坐卧，谈笑发嘲咏。感物复叹嗟，醉语忽径廷。青山不爱宝，岁岁出矾矿。公场沸千夫，利井供百鼎。谁开争夺源，败此丘壑胜。颇思呼有力，掷入万里迥。天神定笑我，痴绝谩生瘿。长怀古畸人，飞梦绕箕颍。
