黄帝赞诗（魏晋·曹毗）　　押真韵	轩辕应玄期，幼能总百神。体练五灵妙，气含云露津。掺石曾城岫，铸鼎荆山滨。豁焉天扉开，飘然跨腾鳞。仪辔洒长风，褰裳蹑紫宸①。
咏冬诗（魏晋·曹毗）　　押蒸韵	绵邈冬夕永，凛厉寒气升。离叶向晨落，长风振条兴。夜静轻响起，天清月晖澄。寒冰盈渠结，素霜竟栏凝。今载忽已暮，来纪奄复仍①。
夜听捣衣诗（魏晋·曹毗）　　押侵韵	寒兴御纨素，佳人理衣襟。冬夜清且永，皎月照堂阴。纤手叠轻素，朗桁叩鸣砧。清风流繁节，回飙洒微吟。嗟此往运速，悼彼幽滞心。二物感余怀，岂但声与音①。
正朝诗（魏晋·曹毗）	灵春散初泽，棼煴青阳舒。佳袍忽已故，今载奄复初。软节畅宇宙，和风被八区①。
霖雨诗（魏晋·曹毗）　　押元韵	洪霖弥旬日，翳翳四区昏。紫电光牖飞，迅雷终天奔①。
郗公墓诗（魏晋·曹毗）　　押文韵	青松罗前隧，翠碑表高坟。玉颜无馀映，蕙风有馀薰①。
晋江左宗庙歌十一首 其一十一 四时祠祀歌（魏晋·曹毗）	肃肃清庙。巍巍圣功。万国来宾。礼仪有容。钟鼓振。金石熙。宣兆祚。武开基。神斯乐兮。理管弦。有来斯和。说功德。神斯乐兮。洋洋玄化。润被九壤。民无不悦。道无不往。礼有仪。乐有式。咏九功。永无极。神斯乐兮①。
杜兰香作诗（魏晋·曹毗）	阿母处灵岳，时游云霄际。众女侍羽仪，不出墉宫外。飙轮送我来，岂复耻尘秽。从我与福俱，嫌我与祸会①。
复作诗（魏晋·曹毗）　　押支韵	逍遥云雾间，呼吸发九嶷。游女不稽路，弱水何不之①。
晋江左宗庙歌十一首 歌高祖宣皇帝（魏晋·曹毗）　　押虞韵	于赫高祖，德协灵符。应运扰乱，厘整天衢。勋格宇宙，化动八区。肃以典刑，陶以玄珠。神石吐瑞，灵芝自敷。肇基天命，道均唐虞①。
箜篌诗（魏晋·曹毗）　　押尤韵	东士君子，雅善箜篌（○《书钞》百十）。
诗（魏晋·曹毗）	分风为二，擘流为两①。
军中诗（魏晋·曹毗）　　押阳韵	挥戈辉白刃，𩸥𩸥若寒霜（○杜公瞻编珠二）。
