帆（魏晋·湛方生）　　押有韵	彭蠡纪三江，庐岳主众阜。白沙净川路，青松蔚岩首。此水何时流，此山何时有。人运互推迁，兹器独长久。悠悠宇宙中，古今迭先后①。
还都帆诗（魏晋·湛方生）	高岳万丈峻，长湖千里清。白沙穷年洁，林松冬夏青。水无暂停流，木有千载贞。寤言赋新诗，忽忘羁客情①。
天晴诗（魏晋·湛方生）　　押霰韵	屏翳寝神辔，飞廉收灵扇。青天莹如镜，凝津平如研。落帆修江渚，悠悠极长眄。清气朗山壑，千里遥相见①。
诸人共讲《老子》诗（魏晋·湛方生）　　押屑韵	吾生幸凝湛，智浪纷竞结。流宕失真宗，遂之弱丧辙。虽欲反故乡，埋翳归途绝。涤除非玄风，垢心焉能歇。大矣五千鸣，特为道丧设。鉴之诚水镜，法秽皆朗彻①。
诗（魏晋·湛方生）　　押齐韵	仲秋有秋色，始凉犹未凄。萧萧山间风，泠泠积石溪①。
诗（魏晋·湛方生）　　押歌韵	发鞍踞平陆，秣马青山阿。浊酒炙枯鱼，鼎食何必过①。
怀归谣（魏晋·湛方生）	辞衡门兮至欢。怀生离兮苦辛。岂羁旅兮一慨。亦代谢兮感人。四运兮遒尽。化新兮岁故。氛惨惨兮凝晨。风凄凄兮薄暮。雨雪兮交纷。重云兮四布。天地兮一色。六合兮同素。山木兮摧披。津壑兮凝冱。感羁旅兮苦心。怀桑梓兮增慕。胡马兮恋北。越鸟兮依阳。彼禽兽兮尚然。况君子兮去故乡。望归涂兮漫漫。盻江流兮洋洋。思涉路兮莫由。欲越津兮无梁①。
秋夜诗 其一（魏晋·湛方生）	悲九秋之为节。物凋悴而无荣。岭颓鲜而殒绿。木倾柯而落英。履代谢以惆怅。睹摇落而兴情。信皋壤而感人。乐未毕而哀生。秋夜清兮何秋夕之转长。夜悠悠而难极。月皦皦而停光。播商气以清温。扇高风以革凉。水激波以成涟。露凝结而为霜。凡有生而必凋。情何感而不伤。苟灵符之未虚。孰兹恋之可忘。何天悬之难释。思假畅之冥方。拂尘衿于玄风。散近滞于老庄。揽逍遥之宏维。总齐物之大纲。同天地于一指。等太山于毫芒。万虑一时顿渫。情累豁焉都忘。物我泯然而同体。岂复寿夭于彭殇①。
游园咏（魏晋·湛方生）	谅兹境之可怀。究川阜之奇势。水穷清以澈鉴。山邻天而无际。乘初霁之新景。登北馆以悠瞩。对荆门之孤阜。傍鱼阳之秀岳。乘夕阳而含咏。杖轻策以行游。袭秋兰之流芬。幕长猗之森修。任缓步以升降。历丘墟而四周。智无涯而难恬。性有方而易适。差一毫而遽乖。徒理存而事隔。故羁马思其华林。笼雉想其皋泽。矧流客之归思。岂可忘于畴昔①。
庐山神仙诗（魏晋·湛方生）　　押萧韵	吸风玄圃，饮露丹霄。室宅五岳，宾友松乔①。
后齐诗（魏晋·湛方生）　　押有韵	解缨复褐，辞朝归薮。门不容轩，宅不盈亩。茂草笼庭，滋兰拂牖。抚我子侄，携我亲友。茹彼园蔬，饮此春酒。开棂攸瞻，坐对川阜。心焉孰托，托心非有。素构易抱，玄根难朽。即之匪远，可以长久①。
庭前植稻苗赞（魏晋·湛方生）　　押职韵	茜茜嘉苗，离离阶侧。弱叶繁蔚，圆株疏植。清流津根，轻露濯色。
秋夜诗 其二（魏晋·湛方生）	白露霏以静降①。
诗（魏晋·湛方生）　　押沃韵	鼓棹行游瞩①。
秋夜诗 其三（魏晋·湛方生）	气入肌以凄凛，风洒林而萧索①。
